"Plot Title: upstream_test"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20954780, SEN S/N: 20954780)","Temp, °C (LGR S/N: 20954780, SEN S/N: 20954780)","Coupler Detached (LGR S/N: 20954780)","Coupler Attached (LGR S/N: 20954780)","Host Connected (LGR S/N: 20954780)","Stopped (LGR S/N: 20954780)","End Of File (LGR S/N: 20954780)"
101,07/21/21 12:53:50 PM,40.1,7.22,,,,,
102,07/21/21 12:54:00 PM,40.1,7.22,,,,,
103,07/21/21 12:54:10 PM,40.1,7.22,,,,,
104,07/21/21 12:54:20 PM,40.1,7.21,,,,,
105,07/21/21 12:54:30 PM,40.1,7.21,,,,,
106,07/21/21 12:54:40 PM,40.1,7.21,,,,,
107,07/21/21 12:54:50 PM,40.5,7.21,,,,,
108,07/21/21 12:55:00 PM,40.9,7.22,,,,,
109,07/21/21 12:55:10 PM,40.9,7.21,,,,,
110,07/21/21 12:55:20 PM,40.9,7.21,,,,,
111,07/21/21 12:55:30 PM,41.3,7.21,,,,,
112,07/21/21 12:55:40 PM,41.3,7.21,,,,,
113,07/21/21 12:55:50 PM,41.3,7.21,,,,,
114,07/21/21 12:56:00 PM,41.7,7.21,,,,,
115,07/21/21 12:56:10 PM,41.7,7.20,,,,,
116,07/21/21 12:56:20 PM,42.1,7.20,,,,,
117,07/21/21 12:56:30 PM,42.4,7.21,,,,,
118,07/21/21 12:56:40 PM,42.4,7.21,,,,,
119,07/21/21 12:56:50 PM,42.4,7.21,,,,,
120,07/21/21 12:57:00 PM,42.8,7.20,,,,,
121,07/21/21 12:57:10 PM,42.8,7.21,,,,,
122,07/21/21 12:57:20 PM,43.2,7.21,,,,,
123,07/21/21 12:57:30 PM,43.2,7.21,,,,,
124,07/21/21 12:57:40 PM,43.2,7.20,,,,,
125,07/21/21 12:57:50 PM,43.2,7.20,,,,,
126,07/21/21 12:58:00 PM,43.2,7.20,,,,,
127,07/21/21 12:58:10 PM,43.6,7.20,,,,,
128,07/21/21 12:58:20 PM,43.6,7.20,,,,,
129,07/21/21 12:58:30 PM,43.6,7.20,,,,,
130,07/21/21 12:58:40 PM,43.6,7.20,,,,,
131,07/21/21 12:58:50 PM,43.6,7.21,,,,,
132,07/21/21 12:59:00 PM,44.0,7.20,,,,,
133,07/21/21 12:59:10 PM,44.0,7.21,,,,,
134,07/21/21 12:59:20 PM,44.0,7.20,,,,,
135,07/21/21 12:59:30 PM,44.0,7.20,,,,,
136,07/21/21 12:59:40 PM,44.0,7.21,,,,,
137,07/21/21 12:59:50 PM,44.0,7.21,,,,,
138,07/21/21 01:00:00 PM,44.0,7.20,,,,,
139,07/21/21 01:00:10 PM,44.0,7.20,,,,,
140,07/21/21 01:00:20 PM,44.0,7.20,,,,,
141,07/21/21 01:00:30 PM,44.0,7.21,,,,,
142,07/21/21 01:00:40 PM,44.4,7.20,,,,,
143,07/21/21 01:00:50 PM,44.0,7.20,,,,,
144,07/21/21 01:01:00 PM,44.4,7.21,,,,,
145,07/21/21 01:01:10 PM,44.0,7.21,,,,,
146,07/21/21 01:01:20 PM,44.4,7.21,,,,,
147,07/21/21 01:01:30 PM,44.4,7.20,,,,,
148,07/21/21 01:01:40 PM,44.4,7.20,,,,,
149,07/21/21 01:01:50 PM,44.4,7.20,,,,,
150,07/21/21 01:02:00 PM,44.0,7.21,,,,,
151,07/21/21 01:02:10 PM,44.4,7.21,,,,,
152,07/21/21 01:02:20 PM,44.4,7.21,,,,,
153,07/21/21 01:02:30 PM,44.4,7.21,,,,,
154,07/21/21 01:02:40 PM,44.4,7.21,,,,,
155,07/21/21 01:02:50 PM,44.4,7.21,,,,,
156,07/21/21 01:03:00 PM,44.4,7.21,,,,,
157,07/21/21 01:03:10 PM,44.4,7.21,,,,,
158,07/21/21 01:03:20 PM,44.4,7.22,,,,,
