Serial_number:
2020421
Project ID:

Location:

Station01
UNIT: kPa
Offset: 0,000000 kPa
TEMPERATURE
UNIT: °C
Date;Time;ms;Station01;TEMPERATURE
30 dic. 2021;16:15:00;0;63,8314;9,867
30 dic. 2021;16:30:00;0;63,8347;9,881
30 dic. 2021;16:45:00;0;63,8394;9,891
30 dic. 2021;17:00:00;0;63,8416;9,896
30 dic. 2021;17:15:00;0;63,8504;9,895
30 dic. 2021;17:30:00;0;63,8578;9,890
30 dic. 2021;17:45:00;0;63,8719;9,883
30 dic. 2021;18:00:00;0;63,8835;9,877
30 dic. 2021;18:15:00;0;63,8896;9,863
30 dic. 2021;18:30:00;0;63,8988;9,848
30 dic. 2021;18:45:00;0;63,9090;9,833
30 dic. 2021;19:00:00;0;63,9175;9,817
30 dic. 2021;19:15:00;0;63,9247;9,803
30 dic. 2021;19:30:00;0;63,9379;9,788
30 dic. 2021;19:45:00;0;63,9446;9,776
30 dic. 2021;20:00:00;0;63,9640;9,760
30 dic. 2021;20:15:00;0;63,9854;9,748
30 dic. 2021;20:30:00;0;63,9995;9,737
30 dic. 2021;20:45:00;0;64,0045;9,726
30 dic. 2021;21:00:00;0;64,0157;9,714
30 dic. 2021;21:15:00;0;64,0271;9,701
30 dic. 2021;21:30:00;0;64,0408;9,689
30 dic. 2021;21:45:00;0;64,0486;9,677
30 dic. 2021;22:00:00;0;64,0547;9,666
30 dic. 2021;22:15:00;0;64,0601;9,658
30 dic. 2021;22:30:00;0;64,0551;9,650
30 dic. 2021;22:45:00;0;64,0574;9,643
30 dic. 2021;23:00:00;0;64,0560;9,635
30 dic. 2021;23:15:00;0;64,0554;9,626
30 dic. 2021;23:30:00;0;64,0483;9,620
30 dic. 2021;23:45:00;0;64,0305;9,611
31 dic. 2021;00:00:00;0;64,0160;9,600
31 dic. 2021;00:15:00;0;63,9996;9,590
31 dic. 2021;00:30:00;0;63,9909;9,578
31 dic. 2021;00:45:00;0;63,9795;9,568
31 dic. 2021;01:00:00;0;63,9673;9,554
31 dic. 2021;01:15:00;0;63,9641;9,540
31 dic. 2021;01:30:00;0;63,9423;9,525
31 dic. 2021;01:45:00;0;63,9194;9,509
31 dic. 2021;02:00:00;0;63,9083;9,489
31 dic. 2021;02:15:00;0;63,8890;9,460
31 dic. 2021;02:30:00;0;63,8829;9,440
31 dic. 2021;02:45:00;0;63,8773;9,418
31 dic. 2021;03:00:00;0;63,8724;9,402
31 dic. 2021;03:15:00;0;63,8708;9,384
31 dic. 2021;03:30:00;0;63,8725;9,372
31 dic. 2021;03:45:00;0;63,8679;9,364
31 dic. 2021;04:00:00;0;63,8586;9,348
31 dic. 2021;04:15:00;0;63,8599;9,324
31 dic. 2021;04:30:00;0;63,8588;9,297
31 dic. 2021;04:45:00;0;63,8627;9,272
31 dic. 2021;05:00:00;0;63,8677;9,249
31 dic. 2021;05:15:00;0;63,8760;9,231
31 dic. 2021;05:30:00;0;63,8757;9,220
31 dic. 2021;05:45:00;0;63,8874;9,206
31 dic. 2021;06:00:00;0;63,8891;9,188
31 dic. 2021;06:15:00;0;63,9016;9,169
31 dic. 2021;06:30:00;0;63,9036;9,150
31 dic. 2021;06:45:00;0;63,9233;9,137
31 dic. 2021;07:00:00;0;63,9403;9,125
31 dic. 2021;07:15:00;0;63,9591;9,115
31 dic. 2021;07:30:00;0;63,9831;9,124
31 dic. 2021;07:45:00;0;63,9979;9,143
31 dic. 2021;08:00:00;0;64,0131;9,170
31 dic. 2021;08:15:00;0;64,0202;9,193
31 dic. 2021;08:30:00;0;64,0297;9,219
31 dic. 2021;08:45:00;0;64,0350;9,248
31 dic. 2021;09:00:00;0;64,0467;9,281
31 dic. 2021;09:15:00;0;64,0547;9,315
31 dic. 2021;09:30:00;0;64,0684;9,355
31 dic. 2021;09:45:00;0;64,0648;9,398
31 dic. 2021;10:00:00;0;64,0605;9,444
31 dic. 2021;10:15:00;0;64,0589;9,491
31 dic. 2021;10:30:00;0;64,0580;9,541
31 dic. 2021;10:45:00;0;64,0538;9,593
31 dic. 2021;11:00:00;0;64,0366;9,643
31 dic. 2021;11:15:00;0;64,0265;9,691
31 dic. 2021;11:30:00;0;64,0185;9,731
31 dic. 2021;11:45:00;0;64,0155;9,767
31 dic. 2021;12:00:00;0;64,0110;9,806
31 dic. 2021;12:15:00;0;64,0054;9,846
31 dic. 2021;12:30:00;0;63,9880;9,884
31 dic. 2021;12:45:00;0;63,9723;9,920
31 dic. 2021;13:00:00;0;63,9545;9,952
31 dic. 2021;13:15:00;0;63,9439;9,983
31 dic. 2021;13:30:00;0;63,9341;10,012
31 dic. 2021;13:45:00;0;63,9223;10,040
31 dic. 2021;14:00:00;0;63,9108;10,067
