,Lat,Lon,Date,EOS_no,Flux_ave,Tract,Point,CO2_ppm_ave,SynopID,ele_estimate,dist_m,
93,-78.19962,-0.32421,6/30/2021,EOS_2,0.09,7,14,373.5968992,1,,,
90,-78.19965,-0.32467,6/30/2021,EOS_2,0.235,7,13,519.6016949,2,,,
79,-78.19988,-0.32504,6/30/2021,EOS_2,0.295,7,12,414.1914894,3,,,
84,-78.19979,-0.32539,6/30/2021,EOS_2,0.015,7,11,372.8846154,4,,,
86,-78.19971,-0.32578,6/30/2021,EOS_2,0.09,7,10,627.3978495,5,,,
80,-78.19987,-0.32634,6/30/2021,EOS_2,0.145,7,9,535.2198582,6,,,
81,-78.19986,-0.3261,6/30/2021,EOS_2,0.43,7,8,521.4201681,7,,,
94,-78.19959,-0.32436,6/29/2021,EOS_2,1.22,7,7,615.4989744,8,,,
92,-78.19962,-0.32482,6/29/2021,EOS_2,2.605,7,6,417.4536752,9,,,
91,-78.19962,-0.3251,6/29/2021,EOS_2,0.105,7,5,488.0076336,10,,,
89,-78.19968,-0.32535,6/29/2021,EOS_2,0.54,7,4,401.7448598,11,,,
88,-78.19968,-0.32562,6/29/2021,EOS_2,0.16,7,3,218.4488136,12,,,These lat lon are wrong
85,-78.19978,-0.32605,6/29/2021,EOS_2,0.61,7,2,607.0784884,14,,,These lat lon are wrong
87,-78.19969,-0.32574,6/29/2021,EOS_2,1.91,7,1,NA,13,,,These lat lon are wrong
26,-78.20158934,-0.328979306,6/29/2021,EOS_1,0.205,1,3,660.3868333,15,,,
23,-78.20174005,-0.329199666,6/29/2021,EOS_1,0.345,1,1,1350.39,16,,,
25,-78.20160217,-0.329128001,6/29/2021,EOS_1,1.15,1,2,4886.8135,17,,,
40,-78.20056256,-0.328370109,6/18/2021,EOS_1,0.6,1,1,3074.637,18,,,
39,-78.20059894,-0.328579992,6/18/2021,EOS_1,0.75,1,2,3049.187288,19,,,
38,-78.20061226,-0.328784762,6/18/2021,EOS_1,0.505,1,3,2175.085667,20,,,
37,-78.20063456,-0.329016019,6/18/2021,EOS_1,0.515,1,4,1004.647,21,,,
41,-78.20053046,-0.329127079,6/18/2021,EOS_1,0.305,1,5,791.8428814,22,,,
36,-78.20077496,-0.329209557,6/18/2021,EOS_1,0.135,1,6,381.5823333,23,,,
35,-78.20085207,-0.329362275,6/18/2021,EOS_1,0.99,1,7,344.7406667,24,,,
33,-78.20102566,-0.329538379,6/18/2021,EOS_1,0.915,1,8,343.489,25,,,
32,-78.20119271,-0.329732839,6/18/2021,EOS_1,0.245,1,9,408.2201667,26,,,
31,-78.20133805,-0.32989176,6/18/2021,EOS_1,0.385,1,10,487.4621667,27,,,
24,-78.20169998,-0.33014724,6/18/2021,EOS_1,2.665,1,11,386.1658333,28,,,
21,-78.20186938,-0.33028286,6/18/2021,EOS_1,0.845,1,12,525.8558333,29,,,
19,-78.20220206,-0.330495508,6/18/2021,EOS_1,0.505,1,13,658.354,30,,,
17,-78.2023676,-0.330636995,6/18/2021,EOS_1,0.45,1,14,755.060625,31,,,
2,-78.20378,-0.3315833,6/22/2021,EOS_1,0.025,1,1,215.0745,32,,,
1,-78.2038,-0.3317,6/22/2021,EOS_1,-0.035,1,2,204.0916667,33,,,
3,-78.2036,-0.3314834,6/22/2021,EOS_1,0.75,1,3,210.5327869,34,,,
4,-78.20327,-0.3313166,6/22/2021,EOS_1,0.17,1,4,258.9661667,35,,,
6,-78.20315,-0.3314833,6/22/2021,EOS_1,0.43,1,5,239.1148148,36,,,
11,-78.20288,-0.33115,6/22/2021,EOS_1,0.26,1,6,260.1783333,37,,,
12,-78.20288,-0.3310167,6/22/2021,EOS_1,1.315,1,7,262.0501667,38,,,
14,-78.20272,-0.3308667,6/22/2021,EOS_1,0.25,1,8,270.7918333,39,,,
15,-78.20253,-0.33075,6/22/2021,EOS_1,0.025,1,9,273.8465,40,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
