"","Lat","Lon","Date","EOS_no","Flux_ave","Tract","Point","CO2_ppm_ave"
"1",-78.2038,-0.3317,2021-06-22,"EOS_1",-0.035,1,2,204.091666666667
"2",-78.20378,-0.3315833,2021-06-22,"EOS_1",0.025,1,1,215.0745
"3",-78.2036,-0.3314834,2021-06-22,"EOS_1",0.75,1,3,210.532786885246
"4",-78.20327,-0.3313166,2021-06-22,"EOS_1",0.17,1,4,258.966166666667
"5",-78.20317,-0.3312167,2021-06-23,"EOS_1",2.28,1,1,924.727272727273
"6",-78.20315,-0.3314833,2021-06-22,"EOS_1",0.43,1,5,239.114814814815
"7",-78.20314,-0.32817,2021-06-29,"EOS_2",3.7,6,4,3776.49579831933
"8",-78.203133,-0.3307,2021-06-23,"EOS_1",0.5,1,3,1329.33928571429
"9",-78.20313,-0.3309667,2021-06-23,"EOS_1",2.59,1,2,961.553571428571
"10",-78.20312,-0.3313,2021-06-22,"EOS_1",0.28,2,1,595.990416666667
"11",-78.20308,-0.3305667,2021-06-23,"EOS_1",0.655,1,4,2277.49090909091
"12",-78.20303,-0.3311667,2021-06-22,"EOS_2",1.88,1,1,902.583333333333
"13",-78.20303,-0.3309333,2021-06-22,"EOS_1",0.665,2,3,794.278644067797
"14",-78.20302,-0.3310667,2021-06-22,"EOS_1",0.46,2,2,750.337234042553
"15",-78.20295,-0.3307333,2021-06-22,"EOS_1",0.975,2,4,852.326041666667
"16",-78.20288,-0.33115,2021-06-22,"EOS_1",0.26,1,6,260.178333333333
"17",-78.20288,-0.3310167,2021-06-22,"EOS_1",1.315,1,7,262.050166666667
"18",-78.20275,-0.3311833,2021-06-22,"EOS_2",0.88,1,2,693.833333333333
"19",-78.20272,-0.3308667,2021-06-22,"EOS_1",0.25,1,8,270.791833333333
"20",-78.20253,-0.33075,2021-06-22,"EOS_1",0.025,1,9,273.8465
"21",-78.2025,-0.3312,2021-06-22,"EOS_2",0.395,1,3,949.166666666667
"22",-78.20243,-0.3306333,2021-06-23,"EOS_1",0.29,2,1,1898.19642857143
"23",-78.20242,-0.3305333,2021-06-23,"EOS_1",0.945,2,2,1685.89285714286
"24",-78.202417,-0.3304667,2021-06-23,"EOS_1",0.65,2,3,3530.66071428571
"25",-78.2023676,-0.330636995,2021-06-18,"EOS_1",0.45,1,14,755.060625
"26",-78.202267,-0.3305,2021-06-23,"EOS_1",1.335,3,1,3189.73684210526
"27",-78.20225,-0.3312333,2021-06-22,"EOS_2",0.195,1,4,923.666666666667
"28",-78.20220206,-0.330495508,2021-06-18,"EOS_1",0.505,1,13,658.354
"29",-78.20215,-0.3301833,2021-06-23,"EOS_1",0.68,3,2,1541.94736842105
"30",-78.202139,-0.331269,2021-06-23,"EOS_2",0.05,3,1,998.378928571429
"31",-78.202139,-0.331147,2021-06-23,"EOS_2",0.855,2,10,927.101607142857
"32",-78.202035,-0.331034,2021-06-23,"EOS_2",0.525,3,2,1204.74446428571
"33",-78.202,-0.33,2021-06-23,"EOS_1",1.34,3,3,1601.33333333333
"34",-78.20195,-0.3313,2021-06-22,"EOS_2",0.465,1,5,1398.42372881356
"35",-78.20195,-0.3295833,2021-06-23,"EOS_1",0.585,3,5,1280.85714285714
"36",-78.201933,-0.3298,2021-06-23,"EOS_1",0.82,3,4,1711.41071428571
"37",-78.201917,-0.3294667,2021-06-23,"EOS_1",1.015,3,6,2987.60714285714
"38",-78.201913,-0.3309,2021-06-23,"EOS_2",0.265,3,3,1517.34035714286
"39",-78.201894,-0.330688,2021-06-23,"EOS_2",0.39,3,4,1016.89
"40",-78.20186938,-0.33028286,2021-06-18,"EOS_1",0.845,1,12,525.855833333333
"41",-78.201867,-0.3293,2021-06-23,"EOS_1",0.93,3,7,1258
"42",-78.20182,-0.3313167,2021-06-22,"EOS_2",0.765,1,6,1062.16666666667
"43",-78.201754,-0.330225,2021-06-23,"EOS_2",0.515,3,6,2584.64142857143
"44",-78.20174005,-0.329199666,2021-06-29,"EOS_1",0.345,1,1,1350.39
"45",-78.20169998,-0.33014724,2021-06-18,"EOS_1",2.665,1,11,386.165833333333
"46",-78.201696,-0.330142,2021-06-23,"EOS_2",2.165,4,1,1332.43087719298
"47",-78.201689,-0.330559,2021-06-23,"EOS_2",0.21,3,5,1351.19035714286
"48",-78.20160217,-0.329128001,2021-06-29,"EOS_1",1.15,1,2,4886.8135
"49",-78.20158934,-0.328979306,2021-06-29,"EOS_1",0.205,1,3,660.386833333333
"50",-78.201568,-0.329992,2021-06-23,"EOS_2",2.34,4,2,2757.37964285714
"51",-78.20156755,-0.328423753,2021-06-29,"EOS_1",1.675,1,6,10000
"52",-78.20155,-0.33135,2021-06-22,"EOS_2",0.1,1,7,709.1
"53",-78.20154274,-0.328833461,2021-06-29,"EOS_1",3.005,1,4,10000
"54",-78.201535,-0.331484,2021-06-23,"EOS_2",0.03,2,8,164.930701754386
"55",-78.20153184,-0.328469351,2021-06-29,"EOS_1",1.26,1,5,2010.39733333333
"56",-78.201497,-0.329797,2021-06-23,"EOS_2",0.58,4,3,3597.03642857143
"57",-78.201437,-0.331227,2021-06-23,"EOS_2",0.655,2,9,510.683392857143
"58",-78.201389,-0.33,2021-06-23,"EOS_2",3.765,4,4,3996.965
"59",-78.20133805,-0.32989176,2021-06-18,"EOS_1",0.385,1,10,487.462166666667
"60",-78.20119271,-0.329732839,2021-06-18,"EOS_1",0.245,1,9,408.220166666667
"61",-78.20116,-0.32943,2021-06-29,"EOS_2",6.45,6,5,11244.3
"62",-78.20113211,-0.326919369,2021-06-29,"EOS_1",1.1,2,3,2462.46033333333
"63",-78.201066,-0.331125,2021-06-23,"EOS_2",0.415,2,11,2247.595
"64",-78.20102566,-0.329538379,2021-06-18,"EOS_1",0.915,1,8,343.489
"65",-78.20096212,-0.327123804,2021-06-29,"EOS_1",0.105,2,2,906.351333333333
"66",-78.20095,-0.3268667,2021-06-30,"EOS_1",0.155,2,3,749.0935
"67",-78.20093,-0.3271833,2021-06-30,"EOS_1",0.255,1,1,500.774
"68",-78.20091,-0.32937,2021-06-29,"EOS_2",1.445,6,6,787.701754385965
"69",-78.20085207,-0.329362275,2021-06-18,"EOS_1",0.99,1,7,344.740666666667
"70",-78.20078,-0.3269833,2021-06-30,"EOS_1",0.105,2,2,772.653666666667
"71",-78.20077496,-0.329209557,2021-06-18,"EOS_1",0.135,1,6,381.582333333333
"72",-78.20075509,-0.3273167,2021-06-29,"EOS_1",0.905,2,1,2151.68733333333
"73",-78.20068,-0.3270833,2021-06-30,"EOS_1",0.465,2,1,854.561333333333
"74",-78.20063456,-0.329016019,2021-06-18,"EOS_1",0.515,1,4,1004.647
"75",-78.20061226,-0.328784762,2021-06-18,"EOS_1",0.505,1,3,2175.08566666667
"76",-78.20059894,-0.328579992,2021-06-18,"EOS_1",0.75,1,2,3049.18728813559
"77",-78.20056256,-0.328370109,2021-06-18,"EOS_1",0.6,1,1,3074.637
"78",-78.20053046,-0.329127079,2021-06-18,"EOS_1",0.305,1,5,791.842881355932
"79",-78.19988,-0.32504,2021-06-30,"EOS_2",0.295,7,12,414.191489361702
"80",-78.19987,-0.32634,2021-06-30,"EOS_2",0.145,7,9,535.219858156028
"81",-78.19986,-0.3261,2021-06-30,"EOS_2",0.43,7,8,521.420168067227
"82",-78.19983,-0.3263833,2021-06-30,"EOS_1",0.075,4,1,426.601833333333
"83",-78.1998,-0.32645,2021-06-30,"EOS_1",0.395,4,2,273.103166666667
"84",-78.19979,-0.32539,2021-06-30,"EOS_2",0.015,7,11,372.884615384615
"85",-78.19978,-0.32605,2021-06-29,"EOS_2",0.61,7,2,607.078488372093
"86",-78.19971,-0.32578,2021-06-30,"EOS_2",0.09,7,10,627.397849462366
"87",-78.19969,-0.32574,2021-06-29,"EOS_2",1.91,7,1,NA
"88",-78.19968,-0.32562,2021-06-29,"EOS_2",0.16,7,3,218.448813559322
"89",-78.19968,-0.32535,2021-06-29,"EOS_2",0.54,7,4,401.744859813084
"90",-78.19965,-0.32467,2021-06-30,"EOS_2",0.235,7,13,519.601694915254
"91",-78.19962,-0.3251,2021-06-29,"EOS_2",0.105,7,5,488.007633587786
"92",-78.19962,-0.32482,2021-06-29,"EOS_2",2.605,7,6,417.453675213675
"93",-78.19962,-0.32421,2021-06-30,"EOS_2",0.09,7,14,373.596899224806
"94",-78.19959,-0.32436,2021-06-29,"EOS_2",1.22,7,7,615.498974358974
"95",-78.19957,-0.3265667,2021-06-30,"EOS_1",0.225,4,3,437.226666666667
