"","lat","lon","ele","Date","EOS_no","Flux_ave","Point","CO2_ppm_ave"
"1",-0.348865036,-78.19927803,4022.241943,2021-07-06,"EOS_2",1.345,1,679.154761904762
"2",-0.348781804,-78.19933327,3946.83,2021-07-06,"EOS_1",2.675,1,429.518333333333
"3",-0.348346364,-78.19960727,3893.96,2021-07-06,"EOS_1",1.06,2,432.023333333333
"4",-0.347928023,-78.19968296,3898.584229,2021-07-06,"EOS_2",2.15,2,637.111111111111
"5",-0.34753,-78.19978,3901.922607,2021-07-06,"EOS_1",1.005,3,416.085333333333
"6",-0.347236013,-78.199747,3901.922607,2021-07-06,"EOS_2",1.485,3,695.757894736842
"7",-0.34692,-78.19972,3901.922607,2021-07-06,"EOS_1",0.22,4,486.624166666667
"8",-0.34653,-78.19991,NA,2021-07-07,"EOS_2",0.44,7,825.372093023256
"9",-0.346494969,-78.19986904,3909.583984,2021-07-07,"EOS_2",0.08,4,868.351351351351
"10",-0.34634904,-78.19994297,3905.208008,2021-07-07,"EOS_2",0.135,5,557.011904761905
"11",-0.34614603,-78.19987801,3770.019287,2021-07-07,"EOS_1",1.81,1,373.735666666667
"12",-0.345861968,-78.19988103,3900.53125,2021-07-07,"EOS_1",0.785,2,346.127
"13",-0.345701035,-78.19970903,3909.414795,2021-07-07,"EOS_1",0,3,330.741166666667
"14",-0.345181022,-78.19956503,3918.22998,2021-07-07,"EOS_2",0.33,6,814.162162162162
"15",-0.344571993,-78.19850598,3921.438232,2021-07-07,"EOS_2",4.315,8,883.511627906977
"16",-0.344322966,-78.19818998,3922.810547,2021-07-07,"EOS_2",1.23,9,894.6
"17",-0.344057009,-78.19814798,3926.927979,2021-07-07,"EOS_1",1.185,5,582.222166666667
"18",-0.34384897,-78.19835301,3925.694092,2021-07-07,"EOS_2",1.95,10,813.311475409836
"19",-0.343675967,-78.19805503,3928.063232,2021-07-07,"EOS_1",2.105,6,458.9585
"20",-0.343425013,-78.19790198,3930.491699,2021-07-07,"EOS_2",2.31,11,822.416666666667
"21",-0.342978006,-78.19775403,3930.751465,2021-07-07,"EOS_1",0.485,8,467.383333333333
"22",-0.342973983,-78.19773199,3934.751953,2021-07-07,"EOS_1",2.08,7,607.213770491803
"23",-0.34262496,-78.19784104,3933.246094,2021-07-07,"EOS_2",2.45,12,839.416666666667
"24",-0.342177032,-78.19864302,3933.367432,2021-07-07,"EOS_2",0.625,13,676.25
"25",-0.341911996,-78.19876296,3933.121582,2021-07-07,"EOS_1",1.73,9,327.185333333333
"26",-0.341539001,-78.19867504,3935.279785,2021-07-07,"EOS_2",2.47,14,559.333333333333
"27",-0.341425007,-78.19882499,3932.828369,2021-07-09,"EOS_1",0.505,3,NA
"28",-0.341425007,-78.19882499,3932.828369,2021-07-09,"EOS_2",0.075,3,500.75
"29",-0.340821007,-78.19940502,3939.108887,2021-07-09,"EOS_1",1.25,2,NA
"30",-0.340821007,-78.19940502,3939.108887,2021-07-09,"EOS_2",0.16,2,588.083333333333
"31",-0.340459999,-78.199575,3737.085449,2021-07-09,"EOS_1",0.175,1,NA
"32",-0.340459999,-78.199575,3737.085449,2021-07-09,"EOS_2",-0.665,1,469.75
