,Lat,Lon,Date,EOS_no,Flux_ave,Tract,Point,VaisalaType,CO2_ppm_ave,GAVI_waterTempAve,BaroPress_kpa,AirTemp_c,Total_hPa,adjusted_ppm,DateTime,sampleID,DOC,TDN,ID,Notes
25,-78.2023676,-0.330636995,6/18/21,EOS1,0.45,1,14,new,1546.986154,7.5945,62.4894,7.816,627.3824,1715.493786,6/18/21 16:00,EOS1_6-18-21_15:55,2.643,0.1286,EOS1,station 4
28,-78.20220206,-0.330495508,6/18/21,EOS1,0.505,1,13,new,1339.763077,7.67625,62.4765,7.817,627.2534,1485.95789,6/18/21 15:30,NA,NA,NA,NA,NA
40,-78.20186938,-0.33028286,6/18/21,EOS1,0.845,1,12,new,1066.578462,7.71375,62.4679,7.823,627.1674,1183.100985,6/18/21 15:15,NA,NA,NA,NA,NA
45,-78.20169998,-0.33014724,6/18/21,EOS1,2.665,1,11,new,774.4938462,7.745,62.447,7.825,626.9584,859.3492507,6/18/21 14:45,NA,NA,NA,NA,NA
59,-78.20133805,-0.32989176,6/18/21,EOS1,0.385,1,10,new,986.9953846,7.80175,62.4506,7.828,626.9944,1095.07967,6/18/21 14:30,NA,NA,NA,NA,NA
60,-78.20119271,-0.329732839,6/18/21,EOS1,0.245,1,9,new,829.4030769,7.89225,62.4348,7.836,626.8364,920.4262494,6/18/21 14:15,NA,NA,NA,NA,NA
64,-78.20102566,-0.329538379,6/18/21,EOS1,0.915,1,8,new,685.215,7.9255,62.4433,7.841,626.9214,760.3268293,6/18/21 13:45,EOS1_6-18-21_13:38,2.791,0.1907,EOS1,~175m
69,-78.20085207,-0.329362275,6/18/21,EOS1,0.99,1,7,new,715.9692308,8.009,62.4284,7.844,626.7724,794.6122934,6/18/21 13:30,NA,NA,NA,NA,NA
71,-78.20077496,-0.329209557,6/18/21,EOS1,0.135,1,6,new,810.2323077,8.0995,62.413,7.857,626.6184,899.4165224,6/18/21 13:15,NA,NA,NA,NA,NA
74,-78.20063456,-0.329016019,6/18/21,EOS1,0.515,1,4,new,2014.324615,8.21225,62.3907,7.875,626.3954,2236.719952,6/18/21 12:30,NA,NA,NA,NA,NA
75,-78.20061226,-0.328784762,6/18/21,EOS1,0.505,1,3,new,4336.816923,8.29475,62.3688,7.886,626.1764,4817.05608,6/18/21 12:00,NA,NA,NA,NA,NA
76,-78.20059894,-0.328579992,6/18/21,EOS1,0.75,1,2,new,6561.855,8.27225,62.3725,7.89,626.2134,7288.120455,6/18/21 11:45,NA,NA,NA,NA,NA
77,-78.20056256,-0.328370109,6/18/21,EOS1,0.6,1,1,new,6833.712308,8.32425,62.3557,7.897,626.0454,7591.788998,6/18/21 11:15,EOS1_6-18-21_11:15,2.393,0.1063,EOS1,
78,-78.20053046,-0.329127079,6/18/21,EOS1,0.305,1,5,new,1584.144615,8.15625,62.3952,7.868,626.4404,1758.938182,6/18/21 12:45,NA,NA,NA,NA,NA
2,-78.20378,-0.3315833,6/22/21,EOS1,0.025,1,1,new,428.5969231,8.6585,62.4594,6.76,627.0824,475.4753116,6/22/21 11:15,EOS1_6-22-21_11:13,3.747,0.1204,EOS1,
10,-78.20312,-0.3313,6/22/21,EOS1,0.28,2,1,new,1328.852308,7.38875,62.5181,6.714,627.6694,1473.027335,6/22/21 14:30,EOS1_6-22-21_14:40,3.15,0.124,EOS2,
12,-78.20303,-0.3311667,6/22/21,EOS2,1.88,1,1,old,916.6153846,7.90075,62.4772,6.739,627.2604,1372.750964,6/22/21 13:45,EOS2_6-22-21_13:36,3.883,0.1674,EOS2,
1,-78.2038,-0.3317,6/22/21,EOS1,-0.035,1,2,new,400.201,8.755,62.4576,6.759,627.0644,443.9843501,6/22/21 11:45,NA,NA,NA,NA,NA
14,-78.20302,-0.3310667,6/22/21,EOS1,0.46,2,2,new,1515.992857,7.2365,62.5198,6.704,627.6864,1680.433209,6/22/21 15:00,NA,NA,NA,NA,NA
18,-78.20275,-0.3311833,6/22/21,EOS2,0.88,1,2,old,686,7.6175,62.5096,6.728,627.5844,1026.138152,6/22/21 14:00,NA,NA,NA,NA,NA
3,-78.2036,-0.3314834,6/22/21,EOS1,0.75,1,3,new,420.7692308,8.67725,62.454,6.756,627.0284,466.8255368,6/22/21 12:00,NA,NA,NA,NA,NA
13,-78.20303,-0.3309333,6/22/21,EOS1,0.665,2,3,new,1594.876923,7.037,62.5477,6.704,627.9654,1767.206405,6/22/21 15:15,NA,NA,NA,NA,NA
96,-78.2025,-0.3312,6/22/21,EOS2,0.395,1,3,old,848,7.51475,62.5154,6.721,627.6424,1267.979901,NA,NA,NA,NA,NA,NA
4,-78.20327,-0.3313166,6/22/21,EOS1,0.17,1,4,new,511.7616667,8.4675,62.4612,6.751,627.1004,567.7224979,6/22/21 12:30,EOS1_6-22-21_12:24,3.698,0.128,EOS1,
15,-78.20295,-0.3307333,6/22/21,EOS1,0.975,2,4,new,1712.567692,6.96825,62.5656,6.707,628.1444,1897.154061,6/22/21 15:30,EOS1_6-22-21_15:45,3.024,0.08755,EOS1,
27,-78.20225,-0.3312333,6/22/21,EOS2,0.195,1,4,old,938.9230769,7.38875,62.5181,6.714,627.6694,1403.337396,6/22/21 14:45,NA,NA,NA,NA,NA
6,-78.20315,-0.3314833,6/22/21,EOS1,0.43,1,5,new,484.6728,8.3405,62.4655,6.748,627.1434,537.6402185,6/22/21 12:45,NA,NA,NA,NA,NA
34,-78.20195,-0.3313,6/22/21,EOS2,0.465,1,5,old,1403.384615,7.13425,62.5371,6.701,627.8594,2095.463646,6/22/21 15:00,NA,NA,NA,NA,NA
16,-78.20288,-0.33115,6/22/21,EOS1,0.26,1,6,new,520.74,8.18675,62.469,6.745,627.1784,577.62168,6/22/21 13:15,NA,NA,NA,NA,NA
42,-78.20182,-0.3313167,6/22/21,EOS2,0.765,1,6,old,1070.846154,7.037,62.5477,6.704,627.9654,1598.279868,6/22/21 15:15,NA,NA,NA,NA,NA
17,-78.20288,-0.3310167,6/22/21,EOS1,1.315,1,7,new,525.76,7.90075,62.4772,6.739,627.2604,583.1253581,6/22/21 13:30,NA,NA,NA,NA,NA
52,-78.20155,-0.33135,6/22/21,EOS2,0.1,1,7,old,718.3076923,6.96825,62.5656,6.707,628.1444,1071.686244,6/22/21 15:45,EOS2_6-22-21_15:35,3.806,0.1231,EOS2,
19,-78.20272,-0.3308667,6/22/21,EOS1,0.25,1,8,new,546.0692308,7.7205,62.4907,6.735,627.3954,605.5399379,6/22/21 14:00,NA,NA,NA,NA,NA
20,-78.20253,-0.33075,6/22/21,EOS1,0.025,1,9,new,546.2615385,7.6175,62.5096,6.728,627.5844,605.5983241,6/22/21 14:15,NA,NA,NA,NA,NA
5,-78.20317,-0.3312167,6/23/21,EOS1,2.28,1,1,old,927.3846154,11.45275,62.4457,6.775,626.9454,1404.899821,6/23/21 10:30,EOS1_6-23-21_10:34,2.786,0.07962,EOS1,
8,-78.203133,-0.3307,6/23/21,EOS1,0.5,1,3,old,1335.5,10.8625,62.4524,6.763,627.0124,2019.293163,6/23/21 11:15,NA,NA,NA,NA,NA
9,-78.20313,-0.3309667,6/23/21,EOS1,2.59,1,2,old,964.6923077,11.34625,62.4489,6.772,626.9774,1460.886328,6/23/21 11:00,NA,NA,NA,NA,NA
