,Lat,Lon,Date,EOS_no,Flux_ave,Tract,Point,VaisalaType,CO2_ppm_ave,GAVI_waterTempAve,BaroPress_kpa,AirTemp_c,Total_hPa,adjusted_ppm,DateTime,sampleID,DOC,TDN,ID,Notes
11,-78.20308,-0.3305667,6/23/21,EOS1,0.655,1,4,old,2365.384615,10.638,62.4522,6.761,627.0104,3573.983273,6/23/21 11:30,EOS1_6-23-21_11:42,1.835,0.07048,EOS1,
22,-78.20243,-0.3306333,6/23/21,EOS1,0.29,2,1,old,2009.769231,10.451,62.4498,6.759,626.9864,3034.954317,6/23/21 12:00,NA,NA,NA,NA,NA
23,-78.20242,-0.3305333,6/23/21,EOS1,0.945,2,2,old,1665.083333,10.06775,62.4592,6.756,627.0804,2511.196652,6/23/21 12:15,EOS1_6-23-21_12:11,3.197,0.08359,EOS1,
24,-78.202417,-0.3304667,6/23/21,EOS1,0.65,2,3,old,3780.307692,9.87725,62.4685,6.756,627.1734,5697.359311,6/23/21 12:45,NA,NA,NA,NA,NA
26,-78.202267,-0.3305,6/23/21,EOS1,1.335,3,1,old,3367.384615,9.54925,62.4882,6.754,627.3704,5068.856547,6/23/21 13:00,EOS1_6-23-21_12:55,3.446,0.1113,EOS1,
29,-78.20215,-0.3301833,6/23/21,EOS1,0.68,3,2,old,1551.461538,9.3875,62.4856,6.754,627.3444,2334.253294,6/23/21 13:15,NA,NA,NA,NA,NA
30,-78.202139,-0.331269,6/23/21,EOS2,0.05,3,1,new,2027.898462,10.2605,62.4544,6.758,627.0324,2249.854787,6/23/21 12:00,EOS2_6-23-21_12:00,4.042,0.1101,EOS2,12:00-12:15
31,-78.202139,-0.331147,6/23/21,EOS2,0.855,2,10,new,1954.189231,10.8625,62.4524,6.763,627.0124,2168.136604,6/23/21 11:15,EOS2_6-23-21_11:15,4.184,0.1312,EOS2,11:15-11:30
32,-78.202035,-0.331034,6/23/21,EOS2,0.525,3,2,new,2560.201538,10.06775,62.4592,6.756,627.0804,2840.234847,6/23/21 12:30,NA,NA,NA,NA,NA
33,-78.202,-0.33,6/23/21,EOS1,1.34,3,3,old,1606.461538,9.226,62.5012,6.755,627.5004,2415.416904,6/23/21 13:45,NA,NA,NA,NA,NA
35,-78.20195,-0.3295833,6/23/21,EOS1,0.585,3,5,old,1282.230769,8.7735,62.5259,6.754,627.7474,1924.716274,6/23/21 14:15,NA,NA,NA,NA,NA
36,-78.201933,-0.3298,6/23/21,EOS1,0.82,3,4,old,1740.538462,8.904,62.5168,6.754,627.6564,2613.968845,6/23/21 14:00,NA,NA,NA,NA,NA
37,-78.201917,-0.3294667,6/23/21,EOS1,1.015,3,6,old,3024.461538,8.67125,62.5135,6.753,627.6234,4538.995188,6/23/21 14:45,EOS1_6-23-21_14:35,3.651,0.2276,EOS1,
38,-78.201913,-0.3309,6/23/21,EOS2,0.265,3,3,new,3216.46,9.68975,62.4726,6.755,627.2144,3567.627956,6/23/21 12:45,NA,NA,NA,NA,NA
39,-78.201894,-0.330688,6/23/21,EOS2,0.39,3,4,new,2164.26,9.54925,62.4882,6.754,627.3704,2400.044007,6/23/21 13:00,NA,NA,NA,NA,NA
41,-78.201867,-0.3293,6/23/21,EOS1,0.93,3,7,old,1264.25,8.46625,62.5301,6.751,627.7894,1895.811472,6/23/21 15:00,NA,NA,NA,NA,NA
43,-78.201754,-0.330225,6/23/21,EOS2,0.515,3,6,new,5770.067692,9.0635,62.5072,6.754,627.5604,6397.039786,6/23/21 13:45,EOS2_6-23-21_13:40,3.633,0.1756,EOS2,13:40-12:55
46,-78.201696,-0.330142,6/23/21,EOS2,2.165,4,1,new,2720.930769,8.904,62.5168,6.754,627.6564,3016.19366,6/23/21 14:15,EOS2_6-23-21_14:05,1.511,0.08222,EOS2,14:05-14:20
47,-78.201689,-0.330559,6/23/21,EOS2,0.21,3,5,new,2859.567692,9.3875,62.4856,6.754,627.3444,3171.213102,6/23/21 13:30,NA,NA,NA,NA,NA
50,-78.201568,-0.329992,6/23/21,EOS2,2.34,4,2,new,5682.9,8.67125,62.5135,6.753,627.6234,6299.86347,6/23/21 14:30,NA,NA,NA,NA,NA
54,-78.201535,-0.331484,6/23/21,EOS2,0.03,2,8,new,356.84,11.45275,62.4457,6.775,626.9454,395.9432052,6/23/21 10:45,EOS2_6-23-21_10:35,3.845,0.1181,EOS2,10:35-10:50
56,-78.201497,-0.329797,6/23/21,EOS2,0.58,4,3,new,8168.887692,8.5685,62.5309,6.752,627.7974,9053.610088,6/23/21 15:00,NA,NA,NA,NA,NA
57,-78.201437,-0.331227,6/23/21,EOS2,0.655,2,9,new,1048.069231,11.147,62.4496,6.767,626.9844,1162.857336,6/23/21 11:00,NA,NA,NA,NA,NA
58,-78.201389,-0.33,6/23/21,EOS2,3.765,4,4,new,8780.649231,8.3385,62.5352,6.752,627.8404,9731.061435,6/23/21 15:15,EOS2_6-23-21_15:12,0.9314,0.06087,EOS2,15:12-12:25
63,-78.201066,-0.331125,6/23/21,EOS2,0.415,2,11,new,4929.915385,10.638,62.4522,6.761,627.0104,5469.664213,6/23/21 11:45,NA,NA,NA,NA,NA
7,-78.20314,-0.32817,6/29/21,EOS2,3.7,6,4,old,4027.230769,8.9875,62.4279,7.248,626.7674,6054.864651,6/29/21 10:00,EOS2_6-29-21_9:55,0.8266,0.06108,EOS2,9:55-10:0
44,-78.20174005,-0.329199666,6/29/21,EOS1,0.345,1,1,new,3144.36,8.95075,62.4275,7.249,626.7634,3489.783353,6/29/21 10:00,EOS1_6-29-21_9:57,4.558,0.1381,EOS1,
48,-78.20160217,-0.329128001,6/29/21,EOS1,1.15,1,2,new,10096.79091,8.972,62.4248,7.244,626.7364,11206.38178,6/29/21 10:15,NA,NA,NA,NA,NA
49,-78.20158934,-0.328979306,6/29/21,EOS1,0.205,1,3,new,7189.789231,8.90575,62.4308,7.239,626.7964,7979.266913,6/29/21 10:45,EOS1_6-29-21_10:40,4.961,0.1887,EOS1,
51,-78.20156755,-0.328423753,6/29/21,EOS1,1.675,1,6,new,10000,8.6375,62.4463,7.22,626.9514,11095.729,6/29/21 12:00,NA,NA,NA,NA,NA
53,-78.20154274,-0.328833461,6/29/21,EOS1,3.005,1,4,new,10000,8.75275,62.4268,7.232,626.7564,11098.654,6/29/21 11:00,NA,NA,NA,NA,NA
55,-78.20153184,-0.328469351,6/29/21,EOS1,1.26,1,5,new,4793.089231,8.6925,62.434,7.224,626.8284,5319.166243,6/29/21 11:30,NA,NA,NA,NA,NA
61,-78.20116,-0.32943,6/29/21,EOS2,6.45,6,5,old,11596.30769,8.972,62.4248,7.244,626.7364,17434.48911,6/29/21 10:30,NA,NA,NA,NA,NA
62,-78.20113211,-0.326919369,6/29/21,EOS1,1.1,2,3,new,5841.547692,7.82575,62.4654,7.196,627.1424,6479.94941,6/29/21 14:00,EOS1_6-29-21_14:05,1.634,0.0659,EOS1,
65,-78.20096212,-0.327123804,6/29/21,EOS1,0.105,2,2,new,1870.216923,7.8905,62.4624,7.196,627.1124,2074.690358,6/29/21 13:45,NA,NA,NA,NA,NA
68,-78.20091,-0.32937,6/29/21,EOS2,1.445,6,6,old,777.3846154,8.83075,62.4286,7.235,626.7744,1168.197821,6/29/21 10:45,EOS2_6-29-21_10:40,2.5,0.0806,EOS2,10:40-10:55
72,-78.20075509,-0.3273167,6/29/21,EOS1,0.905,2,1,new,4475.566154,8.0465,62.4594,7.198,627.0824,4965.087468,6/29/21 13:30,EOS1_6-29-21_13:20,2.645,0.09103,EOS1,
85,-78.19978,-0.32605,6/29/21,EOS2,0.61,7,2,new,1268.172308,8.53225,62.4384,7.215,626.8724,1407.279904,6/29/21 12:00,NA,NA,NA,NA,NA
87,-78.19969,-0.32574,6/29/21,EOS2,1.91,7,1,NA,NA,NA,NA,NA,NA,NA,6/29/21 11:30,EOS2_6-29-21_11:30,3.44,0.1274,EOS2,11:30-11:45
88,-78.19968,-0.32562,6/29/21,EOS2,0.16,7,3,new,447.5353846,8.3385,62.4499,7.206,626.9874,496.5489676,6/29/21 12:30,NA,NA,NA,NA,NA
89,-78.19968,-0.32535,6/29/21,EOS2,0.54,7,4,new,830.9692308,8.16175,62.4495,7.2,626.9834,921.9810527,6/29/21 13:00,NA,NA,NA,NA,NA
91,-78.19962,-0.3251,6/29/21,EOS2,0.105,7,5,new,1095.706154,8.0465,62.4594,7.198,627.0824,1215.550548,6/29/21 13:30,NA,NA,NA,NA,NA
92,-78.19962,-0.32482,6/29/21,EOS2,2.605,7,6,new,1002.355385,7.8905,62.4624,7.196,627.1124,1111.944302,6/29/21 13:45,NA,NA,NA,NA,NA
94,-78.19959,-0.32436,6/29/21,EOS2,1.22,7,7,new,1403.332308,7.82575,62.4654,7.196,627.1424,1556.697444,6/29/21 14:00,EOS2_6-29-21_14:00,4.093,0.1337,EOS2,14:00-14:00-14:15
66,-78.20095,-0.3268667,6/30/21,EOS1,0.155,2,3,new,1644.372308,8.56425,62.3659,6.826,626.1474,1826.534063,6/30/21 11:00,NA,NA,NA,NA,NA
67,-78.20093,-0.3271833,6/30/21,EOS1,0.255,1,1,new,1201.129231,8.31275,62.3698,6.768,626.1864,1334.11874,6/30/21 10:00,NA,NA,NA,NA,NA
70,-78.20078,-0.3269833,6/30/21,EOS1,0.105,2,2,new,1651.496923,8.5275,62.3602,6.823,626.0904,1834.589139,6/30/21 10:45,NA,NA,NA,NA,NA
73,-78.20068,-0.3270833,6/30/21,EOS1,0.465,2,1,new,1814.661538,8.36025,62.3745,6.809,626.2334,2015.453656,6/30/21 10:30,NA,NA,NA,NA,NA
79,-78.19988,-0.32504,6/30/21,EOS2,0.295,7,12,old,412.1538462,8.50775,62.3778,6.829,626.2664,619.022998,6/30/21 11:30,NA,NA,NA,NA,NA
80,-78.19987,-0.32634,6/30/21,EOS2,0.145,7,9,old,540.6153846,8.36025,62.3745,6.809,626.2334,811.6096596,6/30/21 10:30,NA,NA,NA,NA,NA
81,-78.19986,-0.3261,6/30/21,EOS2,0.43,7,8,old,525.6153846,8.31275,62.3698,6.768,626.1864,789.0074568,6/30/21 10:00,EOS2_6-30-21_9:50,7.943,0.2281,EOS2,9:50-10:05
82,-78.19983,-0.3263833,6/30/21,EOS1,0.075,4,1,new,985.1123077,8.2105,62.3764,6.801,626.2524,1094.08681,6/30/21 12:00,NA,NA,NA,NA,NA
83,-78.1998,-0.32645,6/30/21,EOS1,0.395,4,2,new,547.8,8.15625,62.3622,6.786,626.1104,608.5150843,6/30/21 12:30,NA,NA,NA,NA,NA
84,-78.19979,-0.32539,6/30/21,EOS2,0.015,7,11,old,362.1538462,8.57975,62.372,6.828,626.2084,544.0804486,6/30/21 11:15,NA,NA,NA,NA,NA
86,-78.19971,-0.32578,6/30/21,EOS2,0.09,7,10,old,615.6153846,8.5275,62.3602,6.823,626.0904,924.8185183,6/30/21 10:45,NA,NA,NA,NA,NA
90,-78.19965,-0.32467,6/30/21,EOS2,0.235,7,13,old,525.6153846,8.2105,62.3764,6.801,626.2524,788.703259,6/30/21 12:00,NA,NA,NA,NA,NA
93,-78.19962,-0.32421,6/30/21,EOS2,0.09,7,14,old,377.5384615,8.15625,62.3622,6.786,626.1104,566.4882038,6/30/21 12:15,EOS2_6-30-21_12:15,8.737,0.2291,EOS2,12:15-12:30
95,-78.19957,-0.3265667,6/30/21,EOS1,0.225,4,3,new,896.5553846,7.9515,62.3814,6.763,626.3024,995.6663548,6/30/21 12:45,NA,NA,NA,NA,NA
97,-78.19986,-0.3261,6/30/21,EOS1,NA,3,1,new,450.1861538,8.50775,62.3778,6.829,626.2664,499.9769225,NA,NA,NA,NA,NA,NA
