"","lat","lon","ele","Date","EOS_no","Flux_ave","Point","VaisalaType","CO2_ppm_ave","COLM_waterTempAve","BaroPress_kpa","AirTemp_c","Total_hPa","adjusted_ppm"
"1",-0.348865036,-78.19927803,4022.241943,2021-07-06,"EOS_2",1.345,1,"old",684.076923076923,7.431,62.4,6.862,626.4884,1023.72289374396
"2",-0.348781804,-78.19933327,3946.83,2021-07-06,"EOS_1",2.675,1,"new",431.833846153846,7.431,62.4,6.862,626.4884,480.502477735462
"3",-0.348346364,-78.19960727,3893.96,2021-07-06,"EOS_1",1.06,2,"new",441.146153846154,7.381,62.4107,6.86,626.5954,490.719886005403
"4",-0.347928023,-78.19968296,3898.584229,2021-07-06,"EOS_2",2.15,2,"old",660.615384615385,7.3305,62.408,6.859,626.5684,988.2229177635
"5",-0.34753,-78.19978,3901.922607,2021-07-06,"EOS_1",1.005,3,"new",415.182307692308,7.28,62.4229,6.857,626.7174,461.622594297973
"6",-0.347236013,-78.199747,3901.922607,2021-07-06,"EOS_2",1.485,3,"old",738.846153846154,7.179,62.4281,6.855,626.7694,1104.5080089288
"7",-0.34692,-78.19972,3901.922607,2021-07-06,"EOS_1",0.22,4,"new",382.664702380952,7.22589285714286,62.4256857142857,6.85592857142857,626.745257142857,425.382769080995
"8",-0.34653,-78.19991,NA,2021-07-07,"EOS_2",0.44,7,"old",837,8.68,62.3143,6.899,625.6314,1258.55048836339
"9",-0.346494969,-78.19986904,3909.583984,2021-07-07,"EOS_2",0.08,4,"old",894.692307692308,8.779,62.3444,6.919,625.9324,1345.33503951147
"10",-0.34634904,-78.19994297,3905.208008,2021-07-07,"EOS_2",0.135,5,"old",556.384615384615,8.9285,62.3374,6.914,625.8624,837.076999109845
"11",-0.34614603,-78.19987801,3770.019287,2021-07-07,"EOS_1",1.81,1,"new",368.572307692308,8.9285,62.3374,6.914,625.8624,412.29801992985
"12",-0.345861968,-78.19988103,3900.53125,2021-07-07,"EOS_1",0.785,2,"new",343.722307692308,8.829,62.3173,6.907,625.6614,384.490214142045
"13",-0.345701035,-78.19970903,3909.414795,2021-07-07,"EOS_1",0,3,"new",339.346153846154,8.70665384615385,62.3194153846154,6.90115384615385,625.682553846154,379.445743095364
"14",-0.345181022,-78.19956503,3918.22998,2021-07-07,"EOS_2",0.33,6,"old",828.538461538462,8.7295,62.3238,6.903,625.7264,1245.90956798031
"15",-0.344571993,-78.19850598,3921.438232,2021-07-07,"EOS_2",4.315,8,"old",877.769230769231,8.581,62.3165,6.897,625.6534,1319.41320395289
"16",-0.344322966,-78.19818998,3922.810547,2021-07-07,"EOS_2",1.23,9,"old",892.384615384615,8.531,62.3199,6.893,625.6874,1341.12733114145
"17",-0.344057009,-78.19814798,3926.927979,2021-07-07,"EOS_1",1.185,5,"new",590.945384615385,8.481,62.3144,6.888,625.6324,660.375805536903
"18",-0.34384897,-78.19835301,3925.694092,2021-07-07,"EOS_2",1.95,10,"old",811.615384615385,8.4315,62.3167,6.885,625.6554,1219.39665322287
"19",-0.343675967,-78.19805503,3928.063232,2021-07-07,"EOS_1",2.105,6,"new",458.686153846154,8.4315,62.3167,6.885,625.6554,512.485762231574
"20",-0.343425013,-78.19790198,3930.491699,2021-07-07,"EOS_2",2.31,11,"old",833.153846153846,8.382,62.3195,6.882,625.6834,1251.52786319382
"21",-0.342978006,-78.19775403,3930.751465,2021-07-07,"EOS_1",0.485,8,"new",474.725384615385,8.232,62.3045,6.879,625.5334,530.177711543714
"22",-0.342973983,-78.19773199,3934.751953,2021-07-07,"EOS_1",2.08,7,"new",622.903076923077,8.382,62.3195,6.882,625.6834,695.834688500649
"23",-0.34262496,-78.19784104,3933.246094,2021-07-07,"EOS_2",2.45,12,"old",848.538461538462,8.282,62.3137,6.881,625.6254,1274.30563546976
"24",-0.342177032,-78.19864302,3933.367432,2021-07-07,"EOS_2",0.625,13,"old",674.461538461538,8.182,62.3087,6.877,625.5754,1012.61107191185
"25",-0.341911996,-78.19876296,3933.121582,2021-07-07,"EOS_1",1.73,9,"new",327.413076923077,8.082,62.3127,6.875,625.6154,365.453728260585
"26",-0.341787022,-78.19878601,3932.393555,2021-07-09,"EOS_1",0.505,3,NA,NA,NA,NA,NA,NA,NA
"27",-0.341539001,-78.19867504,3935.279785,2021-07-07,"EOS_2",2.47,14,"old",561,8.082,62.3127,6.875,625.6154,841.966147812762
"28",-0.34143297,-78.19878099,3934.132812,2021-07-09,"EOS_2",0.075,3,"old",509.461538461538,7.3305,62.3581,6.933,626.0694,762.471083700039
"29",-0.341156032,-78.19906999,3941.26001,2021-07-09,"EOS_1",1.25,2,NA,NA,NA,NA,NA,NA,NA
"30",-0.340792006,-78.19933302,3944.155029,2021-07-09,"EOS_2",0.16,2,"old",591,7.381,62.3304,6.936,625.7924,884.877381031648
"31",-0.34051599,-78.19958598,3947.223877,2021-07-09,"EOS_1",0.175,1,NA,NA,NA,NA,NA,NA,NA
"32",-0.340093961,-78.19952102,3951.211426,2021-07-09,"EOS_2",-0.665,1,"old",468.692307692308,7.481,62.3402,6.941,625.8904,701.908641764632
