"","lat","lon","ele","Date","EOS_no","Flux_ave","Tract","Point","VaisalaType","CO2_ppm_ave","GAVI_waterTempAve","BaroPress_kpa","AirTemp_c","Total_hPa","adjusted_ppm","DateTime","sampleID","DOC","TDN","ID","Notes"
"1",-78.19411738,-0.314737195,4263.58,2021-07-06,"EOS2",0.075,1,10,"old",375.666666666667,9.195,62.379,6.884,626.2784,565.439489238503,2021-07-06 12:00:00,"EOS2_7-6-21_12:10",3.413,0.1029,"EOS ?","atenas pre second waterfall  - EDIT made some guesses - be extra causious here plz"
"2",-78.19411738,-0.314737195,4270.79,2021-07-06,"EOS1",1.075,1,5,"old",439.278333333333,9.0615,62.3845,6.879,626.3334,660.872910066215,2021-07-06 12:15:00,"EOS1_7-6-21_13:10",3.958,0.09001,"EOS 1","? On time - EDIT made some guesses - be extra causious here plz"
"3",-78.19407203,-0.314768963,4266.904297,2021-07-05,"EOS1",0.11,1,1,"new",330.024305555556,10.4663333333333,62.4892583333333,6.67875,627.380983333333,370.10849944053,2021-07-05 13:00:00,"EOS1_7-5-21_12:55",3.866,0.1229,"EOS 1",""
"4",-78.19395502,-0.314868959,4274.375977,2021-07-05,"EOS1",0.0933333333333333,1,4,"new",736.493,9.54075,62.5076,6.67,627.5644,823.474017477847,2021-07-05 14:00:00,NA,NA,NA,NA,NA
"5",-78.19380901,-0.314857978,4269.324219,2021-07-05,"EOS1",0.373333333333333,1,2,"new",1004.30861111111,10.0475,62.5,6.674,627.4884,1124.72741966219,2021-07-05 13:30:00,NA,NA,NA,NA,NA
"6",-78.19372301,-0.315049002,4271.750488,2021-07-05,"EOS1",0.223333333333333,1,3,"new",456.918888888889,9.78275,62.5062,6.673,627.5504,511.259200526209,2021-07-05 13:45:00,NA,NA,NA,NA,NA
"7",-78.19360675,-0.315125864,4267.43,2021-07-06,"EOS2",0.265,1,9,"old",342.736111111111,9.37804166666667,62.388725,6.89166666666667,626.37565,516.123368124914,2021-07-06 11:30:00,NA,NA,NA,NA,NA
"8",-78.19360591,-0.31512511,4270.79,2021-07-06,"EOS1",-0.01,1,4,"old",141.173,9.266,62.38705,6.887,626.3589,212.519617811669,2021-07-06 11:45:00,NA,NA,NA,NA,NA
"9",-78.19360499,-0.315152016,4276.964355,2021-07-05,"EOS1",0.08,1,5,"new",238.915254237288,9.20512288135593,62.507679661017,6.66798305084746,627.565196610169,266.864548617393,2021-07-05 14:15:00,"EOS1_7-5-21_14:25",3.018,0.07629,"EOS 1",""
"10",-78.19309068,-0.315244049,4294.83,2021-07-06,"EOS1",0.285,1,3,"old",560.285918367347,9.4355,62.3798,6.894,626.2864,843.953850728368,2021-07-06 11:30:00,NA,NA,NA,NA,NA
"11",-78.19309068,-0.315244049,4294.83,2021-07-06,"EOS2",0.285,1,8,"old",771.166666666667,9.504,62.3922,6.896,626.4104,1161.7153370462,2021-07-06 11:15:00,NA,NA,NA,NA,NA
"12",-78.1927269,-0.315568848,4299.15,2021-07-06,"EOS1",0.235,1,2,"old",533.348,9.526375,62.40005,6.8975,626.4889,803.452760909294,2021-07-06 11:00:00,NA,NA,NA,NA,NA
"13",-78.19256832,-0.316138566,4293.87,2021-07-06,"EOS1",0.245,1,1,"old",624.008833333333,9.573,62.4164,6.9,626.6524,940.019118440241,2021-07-06 10:45:00,NA,NA,NA,NA,NA
"14",-78.19256832,-0.316138566,4293.87,2021-07-06,"EOS2",0.11,1,7,"old",611.416666666667,9.54875,62.4079,6.899,626.5674,921.054116232877,2021-07-06 11:00:00,NA,NA,NA,NA,NA
"15",-78.19219097,-0.31709603,4296.477539,2021-07-05,"EOS2",1.365,1,5,"old",6951.76666666667,9.09625,62.5123,6.667,627.6114,10447.049546096,2021-07-05 14:30:00,"EOS2_7-5-21_14:35",2.809,0.101,"EOS 2",""
"16",-78.19217303,-0.317249,4298.240234,2021-07-05,"EOS2",0.085,1,3,"old",683.35,9.78275,62.5062,6.673,627.5504,1029.21255297006,2021-07-05 13:45:00,NA,NA,NA,NA,NA
"17",-78.19217085,-0.316536874,4276.08,2021-07-06,"EOS2",0.255,1,6,"old",3068.05555555556,9.56683333333333,62.4165833333333,6.90016666666667,626.654233333333,4621.68123238596,2021-07-06 10:30:00,"EOS2_7-6-21_10:35",2.405,0.1359,"EOS 2",""
"18",-78.19216599,-0.317527028,4050.879395,2021-07-05,"EOS2",0.0833333333333333,1,1,"old",651.883333333333,10.56925,62.4818,6.68,627.3064,984.475405793992,2021-07-05 13:00:00,NA,NA,NA,NA,NA
"19",-78.19214696,-0.317130983,4301.711914,2021-07-05,"EOS2",0.055,1,4,"old",750.575,9.3735,62.504075,6.66925,627.52915,1129.03049238186,2021-07-05 14:00:00,"EOS2_7-5-21_14:00",3.059,0.09726,"EOS 2",""
"20",-78.19211897,-0.317367017,4293.370117,2021-07-05,"EOS2",1,1,2,"old",3097.73333333333,10.184875,62.49985,6.6755,627.4869,4671.7624651953,2021-07-05 13:15:00,"EOS2_7-5-21_13:25",3.226,0.125,"EOS 2",""
