"","lat","lon","ele","Date","EOS_no","Flux_ave","Point","VaisalaType","CO2_ppm_ave","COLM_waterTempAve","BaroPress_kpa","AirTemp_c","Total_hPa","adjusted_ppm"
"1",-0.348865036,-78.19927803,4022.241943,2021-07-06,"EOS_2",1.345,1,"old",679.154761904762,7.431,62.4,6.862,626.4884,1016.35686675393
"2",-0.348781804,-78.19933327,3946.83,2021-07-06,"EOS_1",2.675,1,"new",429.518333333333,7.431,62.4,6.862,626.4884,477.926001487956
"3",-0.348346364,-78.19960727,3893.96,2021-07-06,"EOS_1",1.06,2,"new",432.023333333333,7.381,62.4107,6.86,626.5954,480.571889920504
"4",-0.347928023,-78.19968296,3898.584229,2021-07-06,"EOS_2",2.15,2,"old",637.111111111111,7.3305,62.408,6.859,626.5684,953.062577445619
"5",-0.34753,-78.19978,3901.922607,2021-07-06,"EOS_1",1.005,3,"new",416.085333333333,7.30525,62.41545,6.858,626.6429,462.708193083796
"6",-0.347236013,-78.199747,3901.922607,2021-07-06,"EOS_2",1.485,3,"old",695.757894736842,7.179,62.4281,6.855,626.7694,1040.09496836644
"7",-0.34692,-78.19972,3901.922607,2021-07-06,"EOS_1",0.22,4,"new",486.624166666667,7.179,62.4281,6.855,626.7694,540.853928066559
"8",-0.34653,-78.19991,NA,2021-07-07,"EOS_2",0.44,7,"old",825.372093023256,8.68,62.3143,6.899,625.6314,1241.06624940972
"9",-0.346494969,-78.19986904,3909.583984,2021-07-07,"EOS_2",0.08,4,"old",868.351351351351,8.779,62.3444,6.919,625.9324,1305.72654926846
"10",-0.34634904,-78.19994297,3905.208008,2021-07-07,"EOS_2",0.135,5,"old",557.011904761905,8.9285,62.3374,6.914,625.8624,838.020751857487
"11",-0.34614603,-78.19987801,3770.019287,2021-07-07,"EOS_1",1.81,1,"new",373.735666666667,8.85375,62.3409,6.9165,625.8974,417.961057552635
"12",-0.345861968,-78.19988103,3900.53125,2021-07-07,"EOS_1",0.785,2,"new",346.127,8.87875,62.3208,6.908,625.6964,387.21924948305
"13",-0.345701035,-78.19970903,3909.414795,2021-07-07,"EOS_1",0,3,"new",330.741166666667,8.7295,62.3238,6.903,625.7264,369.827239017268
"14",-0.345181022,-78.19956503,3918.22998,2021-07-07,"EOS_2",0.33,6,"old",814.162162162162,8.7295,62.3238,6.903,625.7264,1224.29129704112
"15",-0.344571993,-78.19850598,3921.438232,2021-07-07,"EOS_2",4.315,8,"old",883.511627906977,8.581,62.3165,6.897,625.6534,1328.04485147515
"16",-0.344322966,-78.19818998,3922.810547,2021-07-07,"EOS_2",1.23,9,"old",894.6,8.531,62.3199,6.893,625.6874,1344.45673956632
"17",-0.344057009,-78.19814798,3926.927979,2021-07-07,"EOS_1",1.185,5,"new",582.222166666667,8.506,62.31715,6.8905,625.6599,650.652084008399
"18",-0.34384897,-78.19835301,3925.694092,2021-07-07,"EOS_2",1.95,10,"old",813.311475409836,8.45584426229508,62.315568852459,6.88647540983607,625.64408852459,1222.05193833779
"19",-0.343675967,-78.19805503,3928.063232,2021-07-07,"EOS_1",2.105,6,"new",458.9585,8.4315,62.3167,6.885,625.6554,512.790052049513
"20",-0.343425013,-78.19790198,3930.491699,2021-07-07,"EOS_2",2.31,11,"old",822.416666666667,8.382,62.3195,6.882,625.6834,1235.39893411026
"21",-0.342978006,-78.19775403,3930.751465,2021-07-07,"EOS_1",0.485,8,"new",467.383333333333,8.232,62.3045,6.879,625.5334,521.978040590984
"22",-0.342973983,-78.19773199,3934.751953,2021-07-07,"EOS_1",2.08,7,"new",607.213770491803,8.382,62.3195,6.882,625.6834,678.308424691963
"23",-0.34262496,-78.19784104,3933.246094,2021-07-07,"EOS_2",2.45,12,"old",839.416666666667,8.282,62.3137,6.881,625.6254,1260.60684026176
"24",-0.342177032,-78.19864302,3933.367432,2021-07-07,"EOS_2",0.625,13,"old",676.25,8.207,62.3066,6.878,625.5544,1015.39662249054
"25",-0.341911996,-78.19876296,3933.121582,2021-07-07,"EOS_1",1.73,9,"new",327.185333333333,8.132,62.3107,6.876,625.5954,365.263935644919
"26",-0.341787022,-78.19878601,3932.393555,2021-07-09,"EOS_1",0.505,3,NA,NA,NA,NA,NA,NA,NA
"27",-0.341539001,-78.19867504,3935.279785,2021-07-07,"EOS_2",2.47,14,"old",559.333333333333,8.082,62.3127,6.875,625.6154,839.464762941066
"28",-0.34143297,-78.19878099,3934.132812,2021-07-09,"EOS_2",0.075,3,"old",500.75,7.3305,62.3581,6.933,626.0694,749.433208080376
"29",-0.341156032,-78.19906999,3941.26001,2021-07-09,"EOS_1",1.25,2,NA,NA,NA,NA,NA,NA,NA
"30",-0.340792006,-78.19933302,3944.155029,2021-07-09,"EOS_2",0.16,2,"old",588.083333333333,7.406,62.3337,6.9375,625.8254,880.552538908906
"31",-0.34051599,-78.19958598,3947.223877,2021-07-09,"EOS_1",0.175,1,NA,NA,NA,NA,NA,NA,NA
"32",-0.340093961,-78.19952102,3951.211426,2021-07-09,"EOS_2",-0.665,1,"old",469.75,7.481,62.3402,6.941,625.8904,703.492630575442
