Weland,Lat,Lon,Date,EOS_no,Flux_ave,CO2_ppm_ave,Tract,Point,Tract_2,Point_2,Notes
GAVI,-78.20056256,-0.328370109,6/18/2021,EOS_1,0.6,3074.637,1,1,1,1,MainStem
GAVI,-78.20059894,-0.328579992,6/18/2021,EOS_1,0.75,3049.187288,1,2,1,2,MainStem
GAVI,-78.20061226,-0.328784762,6/18/2021,EOS_1,0.505,2175.085667,1,3,1,3,MainStem
GAVI,-78.20063456,-0.329016019,6/18/2021,EOS_1,0.515,1004.647,1,4,1,4,MainStem
GAVI,-78.20053046,-0.329127079,6/18/2021,EOS_1,0.305,791.8428814,1,5,1,5,MainStem
GAVI,-78.20077496,-0.329209557,6/18/2021,EOS_1,0.135,381.5823333,1,6,1,6,MainStem
GAVI,-78.20085207,-0.329362275,6/18/2021,EOS_1,0.99,344.7406667,1,7,1,7,MainStem
GAVI,-78.20091,-0.32937,6/29/2021,EOS_2,1.445,787.7017544,6,6,1,7,"MainStem, below waterfall"
GAVI,-78.20102566,-0.329538379,6/18/2021,EOS_1,0.915,343.489,1,8,1,8,MainStem
GAVI,-78.20119271,-0.329732839,6/18/2021,EOS_1,0.245,408.2201667,1,9,1,9,MainStem
GAVI,-78.20133805,-0.32989176,6/18/2021,EOS_1,0.385,487.4621667,1,10,1,10,MainStem
GAVI,-78.20169998,-0.33014724,6/18/2021,EOS_1,2.665,386.1658333,1,11,1,11,MainStem
GAVI,-78.20186938,-0.33028286,6/18/2021,EOS_1,0.845,525.8558333,1,12,1,12,MainStem
GAVI,-78.20220206,-0.330495508,6/18/2021,EOS_1,0.505,658.354,1,13,1,13,MainStem
GAVI,-78.2023676,-0.330636995,6/18/2021,EOS_1,0.45,755.060625,1,14,1,14,MainStem
GAVI,-78.20253,-0.33075,6/22/2021,EOS_1,0.025,273.8465,1,9,1,15,MainStem
GAVI,-78.20272,-0.3308667,6/22/2021,EOS_1,0.25,270.7918333,1,8,1,16,MainStem
GAVI,-78.20288,-0.3310167,6/22/2021,EOS_1,1.315,262.0501667,1,7,1,17,MainStem
GAVI,-78.20288,-0.33115,6/22/2021,EOS_1,0.26,260.1783333,1,6,1,18,MainStem
GAVI,-78.20315,-0.3314833,6/22/2021,EOS_1,0.43,239.1148148,1,5,1,19,MainStem
GAVI,-78.20327,-0.3313166,6/22/2021,EOS_1,0.17,258.9661667,1,4,1,20,MainStem
GAVI,-78.2036,-0.3314834,6/22/2021,EOS_1,0.75,210.5327869,1,3,1,21,MainStem
GAVI,-78.2038,-0.3317,6/22/2021,EOS_1,-0.035,204.0916667,1,2,1,22,MainStem
GAVI,-78.20378,-0.3315833,6/22/2021,EOS_1,0.025,215.0745,1,1,1,23,MainStem
GAVI,-78.20312,-0.3313,6/22/2021,EOS_1,0.28,595.9904167,2,1,2,1,"Small Trib above Station 4, river right"
GAVI,-78.20302,-0.3310667,6/22/2021,EOS_1,0.46,750.337234,2,2,2,2,"Small Trib above Station 4, river right"
GAVI,-78.20303,-0.3309333,6/22/2021,EOS_1,0.665,794.2786441,2,3,2,3,"Small Trib above Station 4, river right"
GAVI,-78.20295,-0.3307333,6/22/2021,EOS_1,0.975,852.3260417,2,4,2,4,"Small Trib above Station 4, river right"
GAVI,-78.20303,-0.3311667,6/22/2021,EOS_2,1.88,902.5833333,1,1,3,1,"Large Trib, enters Gavi, river left"
GAVI,-78.20275,-0.3311833,6/22/2021,EOS_2,0.88,693.8333333,1,2,3,2,"Large Trib, enters Gavi, river left"
GAVI,-78.2025,-0.3312,6/22/2021,EOS_2,0.395,949.1666667,1,3,3,3,"Large Trib, enters Gavi, river left"
GAVI,-78.20225,-0.3312333,6/22/2021,EOS_2,0.195,923.6666667,1,4,3,4,"Large Trib, enters Gavi, river left"
GAVI,-78.20195,-0.3313,6/22/2021,EOS_2,0.465,1398.423729,1,5,3,5,"Large Trib, enters Gavi, river left"
GAVI,-78.20182,-0.3313167,6/22/2021,EOS_2,0.765,1062.166667,1,6,3,6,"Large Trib, enters Gavi, river left"
