"","lat","lon","ele","Date","EOS_no","Flux_ave","Point","VaisalaType","CO2_ppm_ave","COLM_waterTempAve","BaroPress_kpa","AirTemp_c","Total_hPa","adjusted_ppm"
"1",-0.348865036,-78.19927803,4022.241943,2021-07-06,"EOS_2",1.345,1,"old",684.076923076923,7.179,62.4281,6.855,626.7694,1022.63297484683
"2",-0.348781804,-78.19933327,3946.83,2021-07-06,"EOS_1",2.675,1,"new",863.667692307692,7.179,62.4281,6.855,626.7694,958.538047270154
"3",-0.348346364,-78.19960727,3893.96,2021-07-06,"EOS_1",1.06,2,"new",882.292307692308,7.129,62.4254,6.853,626.7424,979.244233132308
"4",-0.347928023,-78.19968296,3898.584229,2021-07-06,"EOS_2",2.15,2,"old",660.615384615385,7.079,62.438,6.852,626.8684,987.154272881421
"5",-0.34753,-78.19978,3901.922607,2021-07-06,"EOS_1",1.005,3,"new",830.364615384615,6.978,62.4381,6.849,626.8694,921.452209197385
"6",-0.347236013,-78.199747,3901.922607,2021-07-06,"EOS_2",1.485,3,"old",738.846153846154,6.978,62.4478,6.847,626.9664,1103.59784720092
"7",-0.34692,-78.19972,3901.922607,2021-07-06,"EOS_1",0.22,4,"new",765.329404761905,6.978,62.4432964285714,6.84792857142857,626.921364285714,849.223247919944
"8",-0.34653,-78.19991,NA,2021-07-07,"EOS_2",0.44,7,"old",837,8.481,62.3144,6.888,625.6324,1257.75926033966
"9",-0.346494969,-78.19986904,3909.583984,2021-07-07,"EOS_2",0.08,4,"old",894.692307692308,8.7295,62.3238,6.903,625.7264,1345.38800345177
"10",-0.34634904,-78.19994297,3905.208008,2021-07-07,"EOS_2",0.135,5,"old",556.384615384615,8.68,62.3143,6.899,625.6314,836.604694635825
"11",-0.34614603,-78.19987801,3770.019287,2021-07-07,"EOS_1",1.81,1,"new",737.144615384615,8.68,62.3143,6.899,625.6314,819.375234950154
"12",-0.345861968,-78.19988103,3900.53125,2021-07-07,"EOS_1",0.785,2,"new",687.444615384615,8.581,62.3165,6.897,625.6534,764.108370147846
"13",-0.345701035,-78.19970903,3909.414795,2021-07-07,"EOS_1",0,3,"new",678.692307692308,8.50792307692308,62.3173615384615,6.89069230769231,625.662015384615,754.371235184024
"14",-0.345181022,-78.19956503,3918.22998,2021-07-07,"EOS_2",0.33,6,"old",828.538461538462,8.531,62.3199,6.893,625.6874,1245.17563000815
"15",-0.344571993,-78.19850598,3921.438232,2021-07-07,"EOS_2",4.315,8,"old",877.769230769231,8.382,62.3195,6.882,625.6834,1318.54717449033
"16",-0.344322966,-78.19818998,3922.810547,2021-07-07,"EOS_2",1.23,9,"old",892.384615384615,8.282,62.3137,6.881,625.6254,1340.15226879564
"17",-0.344057009,-78.19814798,3926.927979,2021-07-07,"EOS_1",1.185,5,"new",1181.89076923077,8.232,62.3045,6.879,625.5334,1313.90784996477
"18",-0.34384897,-78.19835301,3925.694092,2021-07-07,"EOS_2",1.95,10,"old",811.615384615385,8.182,62.3087,6.877,625.5754,1218.52867469684
"19",-0.343675967,-78.19805503,3928.063232,2021-07-07,"EOS_1",2.105,6,"new",917.372307692308,8.182,62.3087,6.877,625.5754,1019.78490826892
"20",-0.343425013,-78.19790198,3930.491699,2021-07-07,"EOS_2",2.31,11,"old",833.153846153846,8.082,62.3127,6.875,625.6154,1250.42305593857
"21",-0.342978006,-78.19775403,3930.751465,2021-07-07,"EOS_1",0.485,8,"new",949.450769230769,7.983,62.3303,6.872,625.7914,1055.13688776108
"22",-0.342973983,-78.19773199,3934.751953,2021-07-07,"EOS_1",2.08,7,"new",1245.80615384615,8.082,62.3127,6.875,625.6154,1384.80934249323
"23",-0.34262496,-78.19784104,3933.246094,2021-07-07,"EOS_2",2.45,12,"old",848.538461538462,8.0325,62.3081,6.873,625.5694,1273.36910302487
"24",-0.342177032,-78.19864302,3933.367432,2021-07-07,"EOS_2",0.625,13,"old",674.461538461538,7.882,62.3441,6.872,625.9294,1011.3115502856
"25",-0.341911996,-78.19876296,3933.121582,2021-07-07,"EOS_1",1.73,9,"new",654.826153846154,7.832,62.3572,6.872,626.0604,727.452529673538
"26",-0.341787022,-78.19878601,3932.393555,2021-07-09,"EOS_1",0.505,3,NA,NA,NA,NA,NA,NA,NA
"27",-0.341539001,-78.19867504,3935.279785,2021-07-07,"EOS_2",2.47,14,"old",561,7.832,62.3572,6.872,626.0604,840.945728781207
"28",-0.34143297,-78.19878099,3934.132812,2021-07-09,"EOS_2",0.075,3,"old",509.461538461538,7.129,62.3806,6.925,626.2944,761.821645090177
"29",-0.341156032,-78.19906999,3941.26001,2021-07-09,"EOS_1",1.25,2,NA,NA,NA,NA,NA,NA,NA
"30",-0.340792006,-78.19933302,3944.155029,2021-07-09,"EOS_2",0.16,2,"old",591,7.179,62.3796,6.927,626.2844,883.898380067138
"31",-0.34051599,-78.19958598,3947.223877,2021-07-09,"EOS_1",0.175,1,NA,NA,NA,NA,NA,NA,NA
"32",-0.340093961,-78.19952102,3951.211426,2021-07-09,"EOS_2",-0.665,1,"old",468.692307692308,7.28,62.356,6.932,626.0484,701.356737021668
