"","Lat","Lon","Date","EOS_no","Flux_ave","Tract","Point","VaisalaType","CO2_ppm_ave","GAVI_waterTempAve","BaroPress_kpa","AirTemp_c","Total_hPa","adjusted_ppm"
"1",-78.2038,-0.3317,2021-06-22,"EOS_1",-0.035,1,2,"new",400.201,8.61025,62.4772,6.761,627.2604,579.989031283619
"2",-78.20378,-0.3315833,2021-06-22,"EOS_1",0.025,1,1,"new",428.596923076923,8.48775,62.4812,6.762,627.3004,620.703659577601
"3",-78.2036,-0.3314834,2021-06-22,"EOS_1",0.75,1,3,"new",420.769230769231,8.645,62.4641,6.759,627.1294,609.988753075033
"4",-78.20327,-0.3313166,2021-06-22,"EOS_1",0.17,1,4,"new",511.761666666667,8.755,62.4576,6.759,627.0644,742.390629412019
"5",-78.20317,-0.3312167,2021-06-23,"EOS_1",2.28,1,1,"old",927.384615384615,11.2285,62.4831,6.786,627.3194,1403.41586652515
"6",-78.20315,-0.3314833,2021-06-22,"EOS_1",0.43,1,5,"new",484.6728,8.733,62.4531,6.758,627.0194,703.039852973758
"7",-78.20314,-0.32817,2021-06-29,"EOS_2",3.7,6,4,"old",4027.23076923077,8.90025,62.4649,7.251,627.1374,6051.07265689468
"8",-78.203133,-0.3307,2021-06-23,"EOS_1",0.5,1,3,"old",1335.5,11.552,62.4495,6.778,626.9834,2023.71082080464
"9",-78.20313,-0.3309667,2021-06-23,"EOS_1",2.59,1,2,"old",964.692307692308,11.4305,62.4699,6.783,627.1874,1460.97982978692
"10",-78.20312,-0.3313,2021-06-22,"EOS_1",0.28,2,1,"new",1328.85230769231,7.90075,62.4772,6.739,627.2604,1918.38994803154
"11",-78.20308,-0.3305667,2021-06-23,"EOS_1",0.655,1,4,"old",2365.38461538462,11.45275,62.4457,6.775,626.9454,3583.33356783563
"12",-78.20303,-0.3311667,2021-06-22,"EOS_2",1.88,1,1,"old",916.615384615385,8.4675,62.4612,6.751,627.1004,1375.42026458337
"13",-78.20303,-0.3309333,2021-06-22,"EOS_1",0.665,2,3,"new",1594.87692307692,7.51475,62.5154,6.721,627.6424,2296.7417393691
"14",-78.20302,-0.3310667,2021-06-22,"EOS_1",0.46,2,2,"new",1515.99285714286,7.7205,62.4907,6.735,627.3954,2186.11701836295
"15",-78.20295,-0.3307333,2021-06-22,"EOS_1",0.975,2,4,"new",1712.56769230769,7.38875,62.5181,6.714,627.6694,2464.45940340898
"16",-78.20288,-0.33115,2021-06-22,"EOS_1",0.26,1,6,"new",520.74,8.67725,62.454,6.756,627.0284,755.121306704257
"17",-78.20288,-0.3310167,2021-06-22,"EOS_1",1.315,1,7,"new",525.76,8.4675,62.4612,6.751,627.1004,761.478061471782
"18",-78.20275,-0.3311833,2021-06-22,"EOS_2",0.88,1,2,"old",686,8.18675,62.469,6.745,627.1784,1028.38365124499
"19",-78.20272,-0.3308667,2021-06-22,"EOS_1",0.25,1,8,"new",546.069230769231,8.3405,62.4655,6.748,627.1434,790.312927411823
"20",-78.20253,-0.33075,2021-06-22,"EOS_1",0.025,1,9,"new",546.261538461538,8.18675,62.469,6.745,627.1784,789.901989260745
"21",-78.2025,-0.3312,2021-06-22,"EOS_2",0.395,1,3,"old",873.153846153846,8.032,62.4748,6.742,627.2364,1308.23421371326
"22",-78.20243,-0.3306333,2021-06-23,"EOS_1",0.29,2,1,"old",2009.76923076923,11.34625,62.4489,6.772,626.9774,3043.50347583519
"23",-78.20242,-0.3305333,2021-06-23,"EOS_1",0.945,2,2,"old",1665.08333333333,10.8625,62.4524,6.763,627.0124,2517.62739860616
"24",-78.202417,-0.3304667,2021-06-23,"EOS_1",0.65,2,3,"old",3780.30769230769,10.638,62.4522,6.761,627.0104,5711.86451976852
"25",-78.2023676,-0.330636995,2021-06-18,"EOS_1",0.45,1,14,"new",1546.98615384615,7.745,62.447,7.825,626.9584,2232.03616272826
"26",-78.202267,-0.3305,2021-06-23,"EOS_1",1.335,3,1,"old",3367.38461538462,10.2605,62.4544,6.758,627.0324,5081.82968941816
"27",-78.20225,-0.3312333,2021-06-22,"EOS_2",0.195,1,4,"old",938.923076923077,7.90075,62.4772,6.739,627.2604,1406.15963965246
"28",-78.20220206,-0.330495508,2021-06-18,"EOS_1",0.505,1,13,"new",1339.76307692308,7.80175,62.4506,7.828,626.9944,1933.58290795893
"29",-78.20215,-0.3301833,2021-06-23,"EOS_1",0.68,3,2,"old",1551.46153846154,10.06775,62.4592,6.756,627.0804,2339.83785837286
"30",-78.202139,-0.331269,2021-06-23,"EOS_2",0.05,3,1,"new",2027.89846153846,11.147,62.4496,6.767,626.9844,2980.30572779755
"31",-78.202139,-0.331147,2021-06-23,"EOS_2",0.855,2,10,"new",1954.18923076923,11.552,62.4495,6.778,626.9834,2878.23008200267
