"","Lat","Lon","Date","EOS_no","Flux_ave","Tract","Point","VaisalaType","CO2_ppm_ave","GAVI_waterTempAve","BaroPress_kpa","AirTemp_c","Total_hPa","adjusted_ppm"
"76",-78.20059894,-0.328579992,2021-06-18,"EOS_1",0.75,1,2,"new",3049.18728813559,8.33152966101695,62.3498254237288,7.908,625.986654237288,3404.28955654441
"77",-78.20056256,-0.328370109,2021-06-18,"EOS_1",0.6,1,1,"new",3074.637,8.32575,62.3517,7.9,626.0054,3432.55698512
"78",-78.20053046,-0.329127079,2021-06-18,"EOS_1",0.305,1,5,"new",791.842881355932,8.27225,62.3725,7.89,626.2134,883.632278306371
"79",-78.19988,-0.32504,2021-06-30,"EOS_2",0.295,7,12,"old",414.191489361702,8.38061170212766,62.3657,6.81648936170213,626.1454,621.905184736924
"80",-78.19987,-0.32634,2021-06-30,"EOS_2",0.145,7,9,"old",535.219858156028,8.19325,62.378,6.739,626.2684,803.059125768151
"81",-78.19986,-0.3261,2021-06-30,"EOS_2",0.43,7,8,"old",521.420168067227,8.12925,62.3929,6.721,626.4174,782.084850589294
"82",-78.19983,-0.3263833,2021-06-30,"EOS_1",0.075,4,1,"new",426.601833333333,8.545875,62.36305,6.8245,626.1189,476.502714115072
"83",-78.1998,-0.32645,2021-06-30,"EOS_1",0.395,4,2,"new",273.103166666667,8.57975,62.372,6.828,626.2084,305.042812485681
"84",-78.19979,-0.32539,2021-06-30,"EOS_2",0.015,7,11,"old",372.884615384615,8.38742307692308,62.3783769230769,6.79930769230769,626.272169230769,559.827915602014
"85",-78.19978,-0.32605,2021-06-29,"EOS_2",0.61,7,2,"old",607.078488372093,8.75275,62.4268,7.232,626.7564,912.065230177518
"86",-78.19971,-0.32578,2021-06-30,"EOS_2",0.09,7,10,"old",627.397849462366,8.23521774193548,62.3685935483871,6.75948387096774,626.174335483871,941.574496141941
"87",-78.19969,-0.32574,2021-06-29,"EOS_2",1.91,7,1,NA,NA,NA,NA,NA,NA,NA
"88",-78.19968,-0.32562,2021-06-29,"EOS_2",0.16,7,3,"old",218.448813559322,8.69396186440678,62.4337457627119,7.22476271186441,626.825857627119,328.11158874619
"89",-78.19968,-0.32535,2021-06-29,"EOS_2",0.54,7,4,"old",401.744859813084,8.61094158878505,62.4443065420561,7.21873831775701,626.931465420561,603.204953140734
"90",-78.19965,-0.32467,2021-06-30,"EOS_2",0.235,7,13,"old",519.601694915254,8.53622033898305,62.3615525423729,6.82371186440678,626.103925423729,780.591806797384
"91",-78.19962,-0.3251,2021-06-29,"EOS_2",0.105,7,5,"old",488.007633587786,8.42425,62.4437,7.21,626.9254,732.297914654769
"92",-78.19962,-0.32482,2021-06-29,"EOS_2",2.605,7,6,"old",417.453675213675,8.31265384615385,62.4495076923077,7.20507692307692,626.983476923077,626.17032073756
"93",-78.19962,-0.32421,2021-06-30,"EOS_2",0.09,7,14,"old",373.596899224806,8.57614534883721,62.3705813953488,6.82753488372093,626.194213953488,561.273049775638
"94",-78.19959,-0.32436,2021-06-29,"EOS_2",1.22,7,7,"old",615.498974358974,8.17835256410256,62.4491666666667,7.20051282051282,626.980066666667,922.844846359169
"95",-78.19957,-0.3265667,2021-06-30,"EOS_1",0.225,4,3,"new",437.226666666667,8.40009375,62.3777375,6.8265,626.265775,488.061138417346
