"","lat","lon","ele","Date","EOS_no","Flux_ave","Tract","Point","CO2_ppm_ave","Date.as.fact"
"1",-78.19411738,-0.314737195,4263.58,2021-07-06,"EOS_2",0.075,1,10,375.666666666667,"2021-07-06"
"2",-78.19411738,-0.314737195,4270.79,2021-07-06,"EOS_1",1.075,1,5,439.278333333333,"2021-07-06"
"3",-78.19407203,-0.314768963,4266.904297,2021-07-05,"EOS_1",0.11,1,1,330.024305555556,"2021-07-05"
"4",-78.19395502,-0.314868959,4274.375977,2021-07-05,"EOS_1",0.0933333333333333,1,4,736.493,"2021-07-05"
"5",-78.19380901,-0.314857978,4269.324219,2021-07-05,"EOS_1",0.373333333333333,1,2,1004.30861111111,"2021-07-05"
"6",-78.19372301,-0.315049002,4271.750488,2021-07-05,"EOS_1",0.223333333333333,1,3,456.918888888889,"2021-07-05"
"7",-78.19360675,-0.315125864,4267.43,2021-07-06,"EOS_2",0.265,1,9,342.736111111111,"2021-07-06"
"8",-78.19360591,-0.31512511,4270.79,2021-07-06,"EOS_1",-0.01,1,4,141.173,"2021-07-06"
"9",-78.19360499,-0.315152016,4276.964355,2021-07-05,"EOS_1",0.08,1,5,238.915254237288,"2021-07-05"
"10",-78.19309068,-0.315244049,4294.83,2021-07-06,"EOS_1",0.285,1,3,560.285918367347,"2021-07-06"
"11",-78.19309068,-0.315244049,4294.83,2021-07-06,"EOS_2",0.285,1,8,771.166666666667,"2021-07-06"
"12",-78.1927269,-0.315568848,4299.15,2021-07-06,"EOS_1",0.235,1,2,533.348,"2021-07-06"
"13",-78.19256832,-0.316138566,4293.87,2021-07-06,"EOS_1",0.245,1,1,624.008833333333,"2021-07-06"
"14",-78.19256832,-0.316138566,4293.87,2021-07-06,"EOS_2",0.11,1,7,611.416666666667,"2021-07-06"
"15",-78.19219097,-0.31709603,4296.477539,2021-07-05,"EOS_2",1.365,1,5,6951.76666666667,"2021-07-05"
"16",-78.19217303,-0.317249,4298.240234,2021-07-05,"EOS_2",0.085,1,3,683.35,"2021-07-05"
"17",-78.19217085,-0.316536874,4276.08,2021-07-06,"EOS_2",0.255,1,6,3068.05555555556,"2021-07-06"
"18",-78.19216599,-0.317527028,4050.879395,2021-07-05,"EOS_2",0.0833333333333333,1,1,651.883333333333,"2021-07-05"
"19",-78.19214696,-0.317130983,4301.711914,2021-07-05,"EOS_2",0.055,1,4,750.575,"2021-07-05"
"20",-78.19211897,-0.317367017,4293.370117,2021-07-05,"EOS_2",1,1,2,3097.73333333333,"2021-07-05"
