"","lat","lon","ele","Date","EOS_no","Flux_ave","Tract","Point","VaisalaType","CO2_ppm_ave","COLM_waterTempAve","BaroPress_kpa","AirTemp_c","Total_hPa","adjusted_ppm","DateTime","sampleID","DOC","TDN","ID","Notes"
"1",-0.348865036,-78.19927803,4022.241943,2021-07-06,"EOS2",1.345,2,1,"old",684.076923076923,7.179,62.4281,6.855,626.7694,1022.63297484683,2021-07-06 14:15:00,NA,NA,NA,NA,NA
"2",-0.348781804,-78.19933327,3946.83,2021-07-06,"EOS1",2.675,2,1,NA,NA,NA,NA,NA,NA,NA,2021-07-06 14:00:00,NA,NA,NA,NA,NA
"3",-0.348346364,-78.19960727,3893.96,2021-07-06,"EOS1",1.06,2,2,"new",882.292307692308,7.129,62.4254,6.853,626.7424,979.244233132308,2021-07-06 14:30:00,NA,NA,NA,NA,NA
"4",-0.347928023,-78.19968296,3898.584229,2021-07-06,"EOS2",2.15,2,2,"old",660.615384615385,7.079,62.438,6.852,626.8684,987.154272881421,2021-07-06 14:45:00,NA,NA,NA,NA,NA
"5",-0.34753,-78.19978,3901.922607,2021-07-06,"EOS1",1.005,2,3,"new",830.364615384615,6.978,62.4381,6.849,626.8694,921.452209197385,2021-07-06 14:45:00,NA,NA,NA,NA,NA
"6",-0.347236013,-78.199747,3901.922607,2021-07-06,"EOS2",1.485,2,3,"old",738.846153846154,6.978,62.4478,6.847,626.9664,1103.59784720092,2021-07-06 15:00:00,NA,NA,NA,NA,NA
"7",-0.34692,-78.19972,3901.922607,2021-07-06,"EOS1",0.22,2,4,"new",765.329404761905,6.978,62.4432964285714,6.84792857142857,626.921364285714,849.223247919944,2021-07-06 15:00:00,NA,NA,NA,NA,NA
"8",-0.34653,-78.19991,NA,2021-07-07,"EOS2",0.44,2,7,"old",837,8.481,62.3144,6.888,625.6324,1257.75926033966,2021-07-07 11:45:00,NA,NA,NA,NA,NA
"9",-0.346494969,-78.19986904,3909.583984,2021-07-07,"EOS2",0.08,2,4,"old",894.692307692308,8.7295,62.3238,6.903,625.7264,1345.38800345177,2021-07-07 10:15:00,"EOS2_7-7-21_10:25",1.719,0.0869,"EOS2",""
"10",-0.34634904,-78.19994297,3905.208008,2021-07-07,"EOS2",0.135,2,5,"old",556.384615384615,8.68,62.3143,6.899,625.6314,836.604694635825,2021-07-07 10:45:00,NA,NA,NA,NA,NA
"11",-0.34614603,-78.19987801,3770.019287,2021-07-07,"EOS1",1.81,1,1,"new",737.144615384615,8.68,62.3143,6.899,625.6314,819.375234950154,2021-07-07 10:30:00,"EOS1_7-7-21_10:10",1.507,0.0712,"EOS1","time hard to read, maybe 10:40"
"12",-0.345861968,-78.19988103,3900.53125,2021-07-07,"EOS1",0.785,1,2,"new",687.444615384615,8.581,62.3165,6.897,625.6534,764.108370147846,2021-07-07 11:00:00,NA,NA,NA,NA,NA
"13",-0.345701035,-78.19970903,3909.414795,2021-07-07,"EOS1",0,1,3,"new",678.692307692308,8.50792307692308,62.3173615384615,6.89069230769231,625.662015384615,754.371235184024,2021-07-07 11:30:00,"EOS1_7-7-21_11:35",1.642,0.07594,"EOS1",""
"14",-0.345181022,-78.19956503,3918.22998,2021-07-07,"EOS2",0.33,2,6,"old",828.538461538462,8.531,62.3199,6.893,625.6874,1245.17563000815,2021-07-07 11:15:00,NA,NA,NA,NA,NA
"15",-0.344571993,-78.19850598,3921.438232,2021-07-07,"EOS2",4.315,2,8,"old",877.769230769231,8.382,62.3195,6.882,625.6834,1318.54717449033,2021-07-07 12:00:00,NA,NA,NA,NA,NA
"16",-0.344322966,-78.19818998,3922.810547,2021-07-07,"EOS2",1.23,2,9,"old",892.384615384615,8.282,62.3137,6.881,625.6254,1340.15226879564,2021-07-07 12:30:00,NA,NA,NA,NA,NA
"17",-0.344057009,-78.19814798,3926.927979,2021-07-07,"EOS1",1.185,1,5,"new",1181.89076923077,8.232,62.3045,6.879,625.5334,1313.90784996477,2021-07-07 12:30:00,NA,NA,NA,NA,NA
"18",-0.34384897,-78.19835301,3925.694092,2021-07-07,"EOS2",1.95,2,10,"old",811.615384615385,8.182,62.3087,6.877,625.5754,1218.52867469684,2021-07-07 12:45:00,NA,NA,NA,NA,NA
"19",-0.343675967,-78.19805503,3928.063232,2021-07-07,"EOS1",2.105,1,6,"new",917.372307692308,8.182,62.3087,6.877,625.5754,1019.78490826892,2021-07-07 12:45:00,NA,NA,NA,NA,NA
"20",-0.343425013,-78.19790198,3930.491699,2021-07-07,"EOS2",2.31,2,11,"old",833.153846153846,8.082,62.3127,6.875,625.6154,1250.42305593857,2021-07-07 13:00:00,NA,NA,NA,NA,NA
"21",-0.342978006,-78.19775403,3930.751465,2021-07-07,"EOS1",0.485,1,8,"new",949.450769230769,7.983,62.3303,6.872,625.7914,1055.13688776108,2021-07-07 13:30:00,NA,NA,NA,NA,NA
"22",-0.342973983,-78.19773199,3934.751953,2021-07-07,"EOS1",2.08,1,7,"new",1245.80615384615,8.082,62.3127,6.875,625.6154,1384.80934249323,2021-07-07 13:15:00,NA,NA,NA,NA,NA
"23",-0.34262496,-78.19784104,3933.246094,2021-07-07,"EOS2",2.45,2,12,"old",848.538461538462,8.0325,62.3081,6.873,625.5694,1273.36910302487,2021-07-07 13:30:00,NA,NA,NA,NA,NA
"24",-0.342177032,-78.19864302,3933.367432,2021-07-07,"EOS2",0.625,2,13,"old",674.461538461538,7.882,62.3441,6.872,625.9294,1011.3115502856,2021-07-07 13:45:00,NA,NA,NA,NA,NA
"25",-0.341911996,-78.19876296,3933.121582,2021-07-07,"EOS1",1.73,1,9,"new",654.826153846154,7.832,62.3572,6.872,626.0604,727.452529673538,2021-07-07 14:00:00,"EOS1_7-7-21_14:10",1.569,0.08167,"EOS1",""
"26",-0.341787022,-78.19878601,3932.393555,2021-07-09,"EOS1",0.505,1,3,NA,NA,NA,NA,NA,NA,NA,2021-07-09 13:45:00,NA,NA,NA,NA,NA
"27",-0.341539001,-78.19867504,3935.279785,2021-07-07,"EOS2",2.47,2,14,"old",561,7.832,62.3572,6.872,626.0604,840.945728781207,2021-07-07 14:00:00,"EOS2_7-7-21_14:12",1.505,0.06122,"EOS2",""
"28",-0.34143297,-78.19878099,3934.132812,2021-07-09,"EOS2",0.075,1,3,"old",509.461538461538,7.129,62.3806,6.925,626.2944,761.821645090177,2021-07-09 14:00:00,NA,NA,NA,NA,NA
"29",-0.341156032,-78.19906999,3941.26001,2021-07-09,"EOS1",1.25,1,2,NA,NA,NA,NA,NA,NA,NA,2021-07-09 13:15:00,NA,NA,NA,NA,NA
"30",-0.340792006,-78.19933302,3944.155029,2021-07-09,"EOS2",0.16,1,2,"old",591,7.179,62.3796,6.927,626.2844,883.898380067138,2021-07-09 13:30:00,NA,NA,NA,NA,NA
"31",-0.34051599,-78.19958598,3947.223877,2021-07-09,"EOS1",0.175,1,1,NA,NA,NA,NA,NA,NA,NA,2021-07-09 13:00:00,"EOS1_7-9-21_12:00",2.824,0.1087,"EOS1",""
"32",-0.340093961,-78.19952102,3951.211426,2021-07-09,"EOS2",-0.665,1,1,"old",468.692307692308,7.28,62.356,6.932,626.0484,701.356737021668,2021-07-09 13:00:00,"EOS2_7-9-21_13:15",2.753,0.1637,"EOS2",""
"33",-0.348781804,-78.19933327,3946.83,2021-07-06,"EOS1",NA,1,1,"new",863.667692307692,7.179,62.4281,6.855,626.7694,958.538047270154,NA,NA,NA,NA,NA,NA
