"","DateTime","GAVI_waterTempAve","COLM_WaterTempAve","Baro_kpa","BaroTemp_c"
"1",2021-06-18 08:15:00,7.335,6.573,62.5162,7.901
"2",2021-06-18 08:30:00,7.33125,6.573,62.4891,7.901
"3",2021-06-18 08:45:00,7.32825,6.573,62.5216,7.902
"4",2021-06-18 09:00:00,7.3765,6.674,62.5295,7.905
"5",2021-06-18 09:15:00,7.4,6.674,62.5321,7.91
"6",2021-06-18 09:30:00,7.44975,6.674,62.5434,7.913
"7",2021-06-18 09:45:00,7.501,6.775,62.5338,7.914
"8",2021-06-18 10:00:00,7.55425,6.775,62.5421,7.915
"9",2021-06-18 10:15:00,7.60925,6.877,62.5443,7.917
"10",2021-06-18 10:30:00,7.64025,6.877,62.5318,7.918
"11",2021-06-18 10:45:00,7.72125,6.978,62.5317,7.923
"12",2021-06-18 11:30:00,8.064,7.381,62.5098,9.462
"13",2021-06-18 11:45:00,8.1675,7.481,62.4934,8.783
"14",2021-06-18 12:00:00,NA,7.582,62.4887,8.432
"15",2021-06-18 12:15:00,8.595,7.682,62.4669,8.24
"16",2021-06-18 12:30:00,8.53975,7.832,62.4481,8.13
"17",2021-06-18 12:45:00,8.5545,7.882,62.448,8.063
"18",2021-06-18 13:00:00,NA,7.732,62.4456,8.022
"19",2021-06-18 13:15:00,8.619,7.732,62.4321,7.998
"20",2021-06-18 13:30:00,8.55,7.732,62.4309,7.982
"21",2021-06-18 13:45:00,NA,7.832,62.4134,7.973
"22",2021-06-18 14:00:00,8.7645,7.983,62.3952,7.964
"23",2021-06-18 14:15:00,8.72325,7.983,62.3881,7.956
"24",2021-06-18 14:30:00,8.67925,8.082,62.3731,7.947
"25",2021-06-18 14:45:00,8.605,NA,62.3708,7.938
"26",2021-06-18 15:00:00,8.4985,NA,62.3746,7.926
"27",2021-06-18 15:00:00,8.4985,8.032,62.3746,7.926
"28",2021-06-18 15:15:00,8.3625,7.832,62.3477,7.91
"29",2021-06-18 15:30:00,8.32575,7.782,62.3517,7.9
"30",2021-06-18 15:45:00,8.31875,7.882,62.3513,7.908
"31",2021-06-18 16:00:00,8.34475,7.983,62.3483,7.908
"32",2021-06-18 16:15:00,8.34675,8.0325,62.3548,7.902
"33",2021-06-18 16:30:00,8.32425,7.9325,62.3557,7.897
"34",2021-06-18 16:45:00,8.29925,7.832,62.3656,7.892
"35",2021-06-18 17:00:00,8.27225,7.782,62.3725,7.89
"36",2021-06-18 17:15:00,8.29475,7.732,62.3688,7.886
"37",2021-06-18 17:30:00,8.24225,7.682,62.3767,7.879
"38",2021-06-18 17:45:00,8.21225,7.632,62.3907,7.875
"39",2021-06-18 18:00:00,8.15625,7.582,62.3952,7.868
"40",2021-06-18 18:15:00,8.0995,7.5315,62.413,7.857
"41",2021-06-18 18:30:00,8.042,7.481,62.4211,7.851
"42",2021-06-18 18:45:00,8.009,7.431,62.4284,7.844
"43",2021-06-18 19:00:00,7.9255,7.381,62.4433,7.841
"44",2021-06-18 19:15:00,7.89225,7.3305,62.4348,7.836
"45",2021-06-18 19:30:00,7.834,7.28,62.4403,7.832
"46",2021-06-18 19:45:00,7.80175,7.28,62.4506,7.828
"47",2021-06-18 20:00:00,7.745,7.2295,62.447,7.825
"48",2021-06-18 20:15:00,7.71375,7.179,62.4679,7.823
"49",2021-06-18 20:30:00,7.682,7.179,62.4677,7.82
"50",2021-06-18 20:45:00,7.67625,7.129,62.4765,7.817
"51",2021-06-18 21:00:00,7.5945,7.079,62.4894,7.816
"52",2021-06-18 21:15:00,7.5885,7.0285,62.4838,7.809
"53",2021-06-18 21:30:00,7.58275,6.978,62.4859,7.808
"54",2021-06-18 21:45:00,7.52675,6.978,62.5029,7.801
"55",2021-06-18 22:00:00,7.49675,6.978,62.4973,7.801
"56",2021-06-18 22:15:00,7.4915,6.877,62.4899,7.8
"57",2021-06-18 22:30:00,7.486,6.877,62.4853,7.797
"58",2021-06-18 22:45:00,7.4805,6.826,62.4791,7.798
"59",2021-06-18 23:00:00,7.42425,6.775,62.4845,7.796
"60",2021-06-18 23:15:00,7.39425,6.775,62.472,7.797
"61",2021-06-18 23:30:00,7.38975,6.775,62.4857,7.796
"62",2021-06-18 23:45:00,7.38475,6.775,62.4648,7.793
"63",2021-06-19 00:00:00,7.37875,6.7245,62.4628,7.796
"64",2021-06-19 00:15:00,7.34825,6.674,62.4611,7.797
"65",2021-06-19 00:30:00,7.343,6.674,62.459,7.801
"66",2021-06-19 00:45:00,7.3385,6.674,62.4341,7.8
"67",2021-06-19 01:00:00,7.30875,6.674,62.4326,7.8
"68",2021-06-19 01:15:00,7.304,6.6235,62.4171,7.796
"69",2021-06-19 01:30:00,7.29975,6.573,62.4123,7.798
"70",2021-06-19 01:45:00,7.2455,6.573,62.4013,7.798
"71",2021-06-19 02:00:00,7.2405,6.573,62.3913,7.796
"72",2021-06-19 02:15:00,7.235,6.573,62.3864,7.794
"73",2021-06-19 02:30:00,7.20425,6.573,62.3926,7.791
"74",2021-06-19 02:45:00,7.1725,6.522,62.3974,7.787
"75",2021-06-19 03:00:00,7.165,6.471,62.385,7.78
"76",2021-06-19 03:15:00,7.13125,6.471,62.3912,7.776
"77",2021-06-19 03:30:00,7.124,6.471,62.3919,7.77
"78",2021-06-19 03:45:00,7.041,6.471,62.3936,7.765
"79",2021-06-19 04:00:00,7.03275,6.4205,62.3979,7.762
"80",2021-06-19 04:15:00,6.97425,6.37,62.396,7.758
"81",2021-06-19 04:30:00,6.94,6.37,62.4024,7.755
"82",2021-06-19 04:45:00,6.87825,6.37,62.4087,7.724
"83",2021-06-19 05:00:00,6.7375,6.268,62.4126,7.683
"84",2021-06-19 05:15:00,6.486,6.217,62.4187,7.65
"85",2021-06-19 05:30:00,6.30325,6.166,62.4173,7.621
"86",2021-06-19 05:45:00,6.16225,6.166,62.4149,7.578
"87",2021-06-19 06:00:00,6.047,6.166,62.4341,7.588
"88",2021-06-19 06:15:00,6.01675,6.217,62.4488,7.59
"89",2021-06-19 06:30:00,5.9945,6.217,62.4452,7.591
"90",2021-06-19 06:45:00,5.97775,6.217,62.4491,7.595
"91",2021-06-19 07:00:00,5.9915,6.166,62.4237,7.594
"92",2021-06-19 07:15:00,6.00875,6.115,62.4443,7.595
"93",2021-06-19 07:30:00,6.05425,6.115,62.483,7.587
"94",2021-06-19 07:45:00,6.04925,6.115,62.4988,7.58
"95",2021-06-19 08:00:00,6.0965,6.166,62.5034,7.575
"96",2021-06-19 08:15:00,6.12,6.166,62.5279,7.569
"97",2021-06-19 08:30:00,6.1985,6.268,62.5331,7.557
"98",2021-06-19 08:45:00,6.2275,6.268,62.528,7.562
"99",2021-06-19 09:00:00,6.28425,6.37,62.5303,7.588
"100",2021-06-19 09:15:00,6.39375,6.471,62.5329,7.586
"101",2021-06-19 09:30:00,6.5075,6.471,62.5458,7.58
"102",2021-06-19 09:45:00,6.57125,6.471,62.543,7.574
"103",2021-06-19 10:00:00,6.66075,6.471,62.5502,7.576
"104",2021-06-19 10:15:00,6.7495,6.573,62.5514,7.568
"105",2021-06-19 10:30:00,6.839,6.573,62.5797,7.568
"106",2021-06-19 10:45:00,6.9035,6.674,62.5828,7.563
"107",2021-06-19 11:00:00,6.993,6.674,62.5879,7.564
"108",2021-06-19 11:15:00,7.08375,6.775,62.5936,7.566
"109",2021-06-19 11:30:00,7.2295,6.775,62.5802,7.574
"110",2021-06-19 11:45:00,7.32625,6.877,62.5768,7.588
"111",2021-06-19 12:00:00,7.395,6.877,62.5557,7.598
"112",2021-06-19 12:15:00,7.45925,6.877,62.5573,7.589
"113",2021-06-19 12:30:00,7.4465,6.978,62.5338,7.585
"114",2021-06-19 12:45:00,7.4555,6.978,62.5233,7.572
"115",2021-06-19 13:00:00,7.541,6.978,62.4974,7.565
"116",2021-06-19 13:15:00,7.70825,7.079,62.486,7.558
"117",2021-06-19 13:30:00,7.80325,7.129,62.4863,7.553
"118",2021-06-19 13:45:00,7.87175,7.129,62.4811,7.559
"119",2021-06-19 14:00:00,7.9615,7.179,62.4589,7.553
