x,w,d,notes,Waypoint,lat,lon,ele,
1087,NA,NA,syn 6,,,,,
1090,44,53,,,,,,
1100,60,38,,wypt 035,-0.341787022,-78.19878601,3932.393555,
1110,77,20,,,,,,
1120,30,27,,,,,,
1130,48,27,,,,,,
1134,NA,NA,syn 5,,,,,
1140,32,42,,,,,,
1150,44,35,,wypt 034,-0.34143297,-78.19878099,3934.132812,
1156,NA,NA,waterfall downstream,,,,,
1160,60,30,,,,,,
1168,NA,NA,syn 4,,,,,
1170,65,24,,,,,,
1180,100,25,,,,,,
1190,96,31,,,,,,
1200,80,22,,wypt 033,-0.341156032,-78.19906999,3941.26001,
1201,NA,NA,waterfall upstream,,,,,
1210,58,47,,,,,,
1211,NA,NA,syn 3,,,,,
1220,75,18,,,,,,
1230,60,26,,,,,,
1240,30,31,,,,,,
1250,70,24,,,,,,
1257,NA,NA,synop 2,wypoint 032,-0.340792006,-78.19933302,3944.155029,
1260,40,24,,,,,,
1270,95,25,,,,,,
1280,55,25,,,,,,
1290,50,24,,,,,,
1300,57,30,,,,,,
1308,NA,NA,synop 1,wypoint 031,-0.34051599,-78.19958598,3947.223877,
1310,84,14,,,,,,
1320,60,27,,,,,,
1330,84,20,,,,,,
1340,60,25,,,,,,
1350,35,53,synop 0,wypt 030,-0.340093961,-78.19952102,3951.211426,
