,,Channel 1,,,,,,,,
Date,Time,Voltage (ppm),Tract,Description,Point,lat,lon,ele,WS,Notes
7/7/2021,10:24:55 AM,265.13,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:25:00 AM,273.4,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:25:05 AM,280.42,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:25:10 AM,284.18,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:25:15 AM,288.19,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:25:20 AM,290.44,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:25:25 AM,294.7,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:25:30 AM,297.46,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:25:35 AM,304.72,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:25:40 AM,311.74,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:25:45 AM,314.5,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:25:50 AM,318.26,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:25:55 AM,320.51,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:26:00 AM,324.77,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:26:05 AM,325.52,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:26:10 AM,329.53,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:26:15 AM,333.29,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:26:20 AM,335.55,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:26:25 AM,338.3,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:26:30 AM,340.56,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:26:35 AM,342.06,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:26:40 AM,343.32,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:26:45 AM,345.82,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:26:50 AM,346.07,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:26:55 AM,346.57,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:27:00 AM,347.33,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:27:05 AM,348.33,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:27:10 AM,348.33,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:27:15 AM,349.83,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:27:20 AM,349.33,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:27:25 AM,350.08,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:27:30 AM,351.84,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:27:35 AM,353.34,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:27:40 AM,354.59,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:27:45 AM,355.85,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:27:50 AM,357.6,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:27:55 AM,356.85,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:28:00 AM,361.11,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:28:05 AM,362.11,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:28:10 AM,363.36,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:28:15 AM,364.87,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:28:20 AM,364.37,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:28:25 AM,364.87,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:28:30 AM,364.62,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:28:35 AM,364.62,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:28:40 AM,364.87,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:28:45 AM,364.37,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:28:50 AM,365.12,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:28:55 AM,364.62,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:29:00 AM,365.87,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:29:05 AM,366.12,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:29:10 AM,366.87,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:29:15 AM,368.88,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:29:20 AM,368.38,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:29:25 AM,369.88,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:29:30 AM,369.88,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:29:35 AM,369.63,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:29:40 AM,371.38,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:29:45 AM,372.13,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:29:50 AM,372.39,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:29:55 AM,373.64,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:30:00 AM,374.64,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:30:05 AM,375.14,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:30:10 AM,374.39,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:30:15 AM,374.89,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:30:20 AM,374.89,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:30:25 AM,374.64,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:30:30 AM,375.14,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:30:35 AM,374.39,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:30:40 AM,374.89,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:30:45 AM,374.89,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:30:50 AM,374.64,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:30:55 AM,373.89,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:31:00 AM,373.14,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:31:05 AM,373.64,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:31:10 AM,373.64,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:31:15 AM,374.89,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:31:20 AM,374.89,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:31:25 AM,374.39,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:31:30 AM,375.14,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:31:35 AM,374.89,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:31:40 AM,374.89,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:31:45 AM,374.89,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:31:50 AM,374.39,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:31:55 AM,375.14,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:32:00 AM,374.89,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:32:05 AM,374.89,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:32:10 AM,374.89,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:32:15 AM,375.64,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:32:20 AM,376.4,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:32:25 AM,376.14,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:32:30 AM,374.89,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:32:35 AM,374.89,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:32:40 AM,374.64,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:32:45 AM,375.14,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:32:50 AM,374.64,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:32:55 AM,374.89,NA,NA,NA,NA,NA,,NA,NA
7/7/2021,10:33:00 AM,374.89,NA,NA,NA,NA,NA,,NA,NA
