Wetland,x,w,d,notes,,Waypoint,lat,lon,ele,time,x_new,,,,,
ANTE,0,120,20,,,49,-0.314690005,-78.19414403,4269.284668,2021-07-12T15:40:06Z,460,,,,,
ANTE,4,NA,NA,syn 0,,,,,,Q = ,456,W1 = 7 cm,d = 11 cm,v = .21m/s,,0.001617
ANTE,5,62,31,,,,,,,,455,,,,,
ANTE,10,9,10,,,,,,,,450,,,,,
ANTE,14,NA,NA,"waterfall 182 cm high, not in a channel, more leaking out of ground and dripping",,50,-0.314711966,-78.19404102,4269.350098,2021-07-12T15:48:44Z,446,,,,,
ANTE,14.1,NA,NA,,,51,-0.31474499,-78.19404697,4266.26123,2021-07-12T15:55:05Z,445.9,,,,,
ANTE,15,6,3,"no single channel, wetland with lots of little channels, I followed the biggest one",,,,,,,445,,,,,
ANTE,20,14,5,,,,,,,,440,,,,,
ANTE,25,12,2.54,,,,,,,,435,,,,,
ANTE,30,15,2.54,,,,,,,,430,,,,,
ANTE,35,20,5,,,,,,,,425,,,,,
ANTE,40,9,4,,,,,,,,420,,,,,
ANTE,45,18,4,,,,,,,,415,,,,,
ANTE,50,16,4,,,,,,,,410,,,,,
ANTE,55,16,4,,,,,,,,405,,,,,
ANTE,60,22,7,"* end of last gemorphology (this has not been entered, but maybe you want to look to compare differences across days? Just a thought)",,,,,,,400,,,,,
ANTE,65,20,4,becomes channel,,52,-0.315014971,-78.19371002,4279.695801,2021-07-12T16:04:01Z,395,,,,,
ANTE,70,15,22,,,,,,,,390,,,,,
ANTE,75,30,25.5,,,,,,,,385,,,,,
ANTE,80,83,26.5,,,,,,,,380,,,,,
ANTE,85,50,18,,,,,,,,375,,,,,
ANTE,87.5,NA,NA,syn 2,,,,,,,372.5,,,,,
ANTE,90,63,12,,,,,,,,370,,,,,
ANTE,91,NA,NA,"starts to be more turbulent, WFs",,53,-0.31517297,-78.19356099,4280.244629,2021-07-12T16:14:20Z,369,,,,,
ANTE,95,48,9,,,,,,,,365,,,,,
ANTE,100,40,3,,,,,,,,360,,,,,
ANTE,105,36,5,,,,,,,,355,,,,,
ANTE,110,35,12,,,,,,,,350,,,,,
ANTE,115,51,21,,,54,-0.315340022,-78.19342797,4282.134766,2021-07-12T16:17:56Z,345,,,,,
ANTE,115.1,NA,NA,big elevation change bottom,,55,-0.315334992,-78.19340902,4280.674316,2021-07-12T16:26:00Z,344.9,,,,,
ANTE,120,32,14,,,,,,,,340,,,,,
ANTE,125,21,10,,,,,,,,335,,,,,
ANTE,126,NA,3,,,,,,,,334,,,,,
ANTE,130,16,6,,,,,,,,330,,,,,
ANTE,135,23,16,,,,,,,,325,,,,,
ANTE,140,21,4,,,,,,,,320,,,,,
ANTE,140.5,NA,NA,top of Waterfall,,56,-0.315285036,-78.19323996,4291.105469,2021-07-12T16:33:37Z,319.5,W1 = 15 cm,W2 = 15 cm,d = 12.5,v = .15 m/s,0.0028125
ANTE,145,48,5,,,,,,,,315,,,,,
ANTE,150,20,6,,,,,,,,310,,,,,
ANTE,159,NA,NA,more WF,,,,,,,301,,,,,
ANTE,155,61,4,,,,,,,,305,,,,,
ANTE,156,NA,NA,,,57 + 58,-0.315271961,-78.19311297,4296.923828,2021-07-12T16:38:26Z,304,,,,,
ANTE,160,47,10.5,,,,-0.315269027,-78.19310602,4297.404297,2021-07-12T16:38:32Z,300,,,,,
ANTE,165,46,4,,,59,-0.315270033,-78.19303502,4299.032715,2021-07-12T16:39:53Z,295,,,,,
ANTE,170,20,9,,,,,,,,290,,,,,
ANTE,175,20,7,,,,,,,,285,,,,,
ANTE,180,75,10,,,,,,,,280,,,,,
ANTE,185,49,7,,,,,,,,275,,,,,
ANTE,190,63,7,,,,,,,,270,,,,,
ANTE,195,12,17,,,,,,,,265,,,,,
ANTE,198,NA,NA,syn 4,,60,-0.315428032,-78.19283101,4303.679688,2021-07-12T16:52:41Z,262,,,,,
ANTE,200,32,9,,,,,,,,260,,,,,
ANTE,204,NA,NA,"in wetland, still a channel, but very slow",,,,,,,256,,,,,
ANTE,205,49,31,,,,,,,,255,,,,,
ANTE,210,158,31,,,,,,,,250,,,,,
ANTE,215,41,169,,,61,-0.315576978,-78.19279002,4301.435547,2021-07-12T16:56:49Z,245,,,,,
ANTE,218,NA,NA,syn 5,,62,-0.315596005,-78.192757,4300.027344,2021-07-12T17:03:27Z,242,,,,,
ANTE,220,42,19,,,,,,,,240,,,,,
ANTE,225,53,24,,,,,,,,235,,,,,
ANTE,230,15,23,,,,,,,,230,,,,,
ANTE,235,42,17,,,,,,,,225,,,,,
ANTE,240,49,12,,,,,,,,220,,,,,
ANTE,241,NA,NA,syn 5,,63,-0.315779988,-78.192672,4299.974121,2021-07-12T17:07:00Z,219,,,,,
ANTE,245,26,29,,,,,,,,215,,,,,
ANTE,250,52,18,,,,,,,,210,,,,,
ANTE,254,35,29.5,,,,,,,,206,,,,,
ANTE,258,NA,NA,"wetland inlet, little waterfalls",,64,-0.315937987,-78.19269002,4303.940918,2021-07-12T17:10:44Z,202,,,,,
ANTE,260,44,8,,,,,,,,200,,,,,
