metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,name,desc,time,keywords,minlat,minlon,maxlat,maxlon,,,,,,,,,,,,,,,,,,,,,
1,,,2021-08-27T01:30:50Z,,-33.92174402,-112.1255666,53.06855821,121.6403,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
author,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,name,email,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,license,author,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadataID,authorID,wptID,rteptID,trkptID,rteID,trkID,text,type,href,,,,,,,,,,,,,,,,,,,,
1,,,,,,,Garmin International,,http://www.garmin.com,,,,,,,,,,,,,,,,,,,,
,,83,,,,,,,Garmin/JPEG/Garmin_Asia.jpg,,,,,,,,,,,,,,,,,,,,
,,84,,,,,,,Garmin/JPEG/Garmin_Europe.jpg,,,,,,,,,,,,,,,,,,,,
,,85,,,,,,,Garmin/JPEG/Garmin_USA.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,name,cmt,desc,src,number,type,IsAutoNamed,DisplayColor,TransportationMode,TripName,Date,DayNumber,,,,,,,,,,,,,,,,,
1,Durham 1 Start to Durham 1 Finish,,,,,,TRUE,Magenta,Automotive,,,,,,,,,,,,,,,,,,,,
2,Route 001,,,,,,FALSE,Magenta,Hiking,,,,,,,,,,,,,,,,,,,,
3,Route 002,,,,,,FALSE,Magenta,Hiking,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rtept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,rteID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,DepartureTime,StopDuration,ArrivalTime,CalculationMode,ElevationMode,NamedRoad_Name,NamedRoad_Id,NamedRoad_ProductId,TransportationMode
1,1,35.9087512,-79.05210366,,2015-11-20T18:02:54Z,,,Durham 1 Start,,,,Waypoint,,,,,,,,,,,,FasterTime,Standard,,,,
2,1,35.90869823,-79.05194113,,2015-11-20T18:02:54Z,,,Durham 1 Finish,,,,Waypoint,,,,,,,,,,,,FasterTime,Standard,,,,
3,2,35.91444301,-79.05097503,98.084732,2014-09-25T18:04:29Z,,,NORMAL,DMELENDE,DMELENDE,,"Flag, Blue",,,,,,,,,,,,ShorterDistance,Standard,,,,
4,3,-0.328924656,-78.19782972,,2021-08-27T00:54:12Z,,,28,,,,"Flag, Blue",,,,,,,,,,,,ShorterDistance,Standard,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime,,,
1,35.91411503,-79.08687104,-4.708613,2017-06-18T16:57:19Z,,,1,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2017-06-18T16:57:19Z,,,
2,-4.412107011,15.30406103,433.08725,2014-06-05T12:19:37Z,,,2,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2014-06-05T12:19:37Z,,,
3,-13.84095398,33.81685096,1081.110352,2014-07-17T12:27:44Z,,,3,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2014-07-17T12:27:44Z,,,
4,-13.97650704,33.78679496,1000.186951,2014-07-17T12:59:49Z,,,4,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2014-07-17T12:59:49Z,,,
5,35.91445299,-79.05095299,141.638931,2019-01-31T18:22:44Z,,,6,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,1,,2019-01-31T18:22:44Z,,,
6,36.05395501,-78.84589098,63.16465,2021-05-24T18:39:22Z,,,7,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-05-24T18:39:22Z,,,
7,35.911348,-79.04851,23.566849,2015-02-03T21:43:13Z,,,8,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2015-02-03T21:43:13Z,,,
8,35.91444704,-79.05087998,139.233185,2015-02-11T21:38:07Z,,,9,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2015-02-11T21:38:07Z,,,
9,35.91443103,-79.05097604,144.163116,2015-02-11T21:51:40Z,,,10,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,1,,2015-02-11T21:51:40Z,,,
10,35.91446204,-79.05096598,148.672577,2015-02-11T22:02:37Z,,,11,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,1,,2015-02-11T22:02:37Z,,,
11,31.199109,115.799946,477.102509,2015-05-19T16:07:10Z,,,12,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2015-05-19T16:07:10Z,,,
12,31.22751402,115.753001,784.285889,2015-05-22T07:49:44Z,,,13,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2015-05-22T07:49:44Z,,,
13,36.21944002,110.74857,63.066883,2015-09-06T05:52:12Z,,,14,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2015-09-06T05:52:12Z,,,
14,36.21944597,110.74857,64.90065,2015-09-06T05:05:50Z,,,15,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2015-09-06T05:05:50Z,,,
15,36.21944597,110.74857,67.902328,2015-09-06T05:09:41Z,,,16,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2015-09-06T05:09:41Z,,,
16,36.21944597,110.74857,54.740932,2015-09-06T05:13:33Z,,,17,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2015-09-06T05:13:33Z,,,
17,36.21944597,110.74857,60.522327,2015-09-06T05:26:39Z,,,18,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2015-09-06T05:26:39Z,,,
18,36.21944597,110.74857,57.835091,2015-09-06T05:29:59Z,,,19,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2015-09-06T05:29:59Z,,,
19,36.21944597,110.74857,70.240784,2015-09-06T05:37:26Z,,,20,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2015-09-06T05:37:26Z,,,
20,36.21944597,110.74857,60.839409,2015-09-06T05:46:39Z,,,21,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2015-09-06T05:46:39Z,,,
21,36.08391403,-79.03783497,152.737885,2015-11-13T19:25:44Z,,,22,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,1,,2015-11-13T19:25:44Z,,,
22,36.08242197,-79.03801502,156.320908,2015-11-13T19:30:29Z,,,23,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2015-11-13T19:30:29Z,,,
23,36.081564,-79.03890098,155.204971,2015-11-13T19:40:33Z,,,24,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2015-11-13T19:40:33Z,,,
24,36.07629396,-79.03998703,176.354828,2015-11-13T19:59:30Z,,,25,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2015-11-13T19:59:30Z,,,
25,36.07682202,-79.03960297,175.285126,2015-11-13T19:56:25Z,,,025TRIB,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2015-11-13T19:56:25Z,,,
26,36.08325798,-79.03777496,144.270645,2015-11-13T20:22:58Z,,,26,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2015-11-13T20:22:58Z,,,
27,35.90964303,-79.05220801,159.80513,2015-11-20T18:20:07Z,,,27,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2015-11-20T18:20:07Z,,,
28,35.91444704,-79.05099398,145.206161,2016-02-22T18:35:56Z,,,28,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,1,,2016-02-22T18:35:56Z,,,
29,35.91444897,-79.05097403,143.553299,2016-02-22T18:38:46Z,,,29,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,1,,2016-02-22T18:38:46Z,,,
30,35.91446104,-79.05096103,138.154007,2016-02-22T20:34:06Z,,,30,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2016-02-22T20:34:06Z,,,
31,36.05395501,-78.84589098,63.94149,2021-05-24T18:39:34Z,,,31,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-05-24T18:39:34Z,,,
32,35.91443899,-79.05096103,73.057564,2016-02-26T17:32:17Z,,,32,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2016-02-26T17:32:17Z,,,
33,35.91443799,-79.05095802,73.773834,2016-02-26T17:32:27Z,,,33,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2016-02-26T17:32:27Z,,,
34,36.05395501,-78.84589098,64.078888,2021-05-24T18:39:44Z,,,34,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-05-24T18:39:44Z,,,
35,36.05395501,-78.84589098,64.192513,2021-05-24T18:39:48Z,,,35,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-05-24T18:39:48Z,,,
36,-0.329418015,-78.20117,4082.83252,2021-06-29T15:22:39Z,,,36,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-06-29T15:22:39Z,,,
37,-0.329368981,-78.20092902,4090.804443,2021-06-29T15:48:21Z,,,37,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,1,,2021-06-29T15:48:21Z,,,
38,-0.324853985,-78.19947903,4136.37793,2021-06-29T18:06:08Z,,,38,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,1,,2021-06-29T18:06:08Z,,,
39,-0.324973008,-78.19949999,4131.711914,2021-06-30T16:40:36Z,,,39,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,1,,2021-06-30T16:40:36Z,,,
