fecha,velocidad,direccion
6/1/2021 0:00,2.2,95
6/1/2021 0:05,2,115
6/1/2021 0:10,1.8,108
6/1/2021 0:15,2.4,113
6/1/2021 0:20,2.5,111
6/1/2021 0:25,2.6,107
6/1/2021 0:30,2.3,109
6/1/2021 0:35,2.1,125
6/1/2021 0:40,2,118
6/1/2021 0:45,3,112
6/1/2021 0:50,2.9,106
6/1/2021 0:55,2.9,113
6/1/2021 1:00,2.1,117
6/1/2021 1:05,2.8,114
6/1/2021 1:10,3,114
6/1/2021 1:15,2.6,100
6/1/2021 1:20,2.3,110
6/1/2021 1:25,2.5,99
6/1/2021 1:30,2.7,110
6/1/2021 1:35,3.3,112
6/1/2021 1:40,2.5,108
6/1/2021 1:45,3.7,121
6/1/2021 1:50,2.4,118
6/1/2021 1:55,2.5,132
6/1/2021 2:00,2.8,113
6/1/2021 2:05,3,111
6/1/2021 2:10,3,110
6/1/2021 2:15,3,118
6/1/2021 2:20,2.8,122
6/1/2021 2:25,3.7,124
6/1/2021 2:30,2.8,115
6/1/2021 2:35,2.6,118
6/1/2021 2:40,2.6,123
6/1/2021 2:45,2.7,119
6/1/2021 2:50,2.8,119
6/1/2021 2:55,2.9,112
6/1/2021 3:00,2.7,119
6/1/2021 3:05,2.4,118
6/1/2021 3:10,2.2,113
6/1/2021 3:15,2.3,103
6/1/2021 3:20,2.8,107
6/1/2021 3:25,3.1,114
6/1/2021 3:30,3.4,117
6/1/2021 3:35,3.1,117
6/1/2021 3:40,2.8,122
6/1/2021 3:45,2.7,121
6/1/2021 3:50,2.5,101
6/1/2021 3:55,2,88
6/1/2021 4:00,2.7,112
6/1/2021 4:05,2.3,114
6/1/2021 4:10,2.4,115
6/1/2021 4:15,2.5,99
6/1/2021 4:20,2.1,96
6/1/2021 4:25,2.2,98
6/1/2021 4:30,2.5,112
6/1/2021 4:35,2.4,89
6/1/2021 4:40,3,104
6/1/2021 4:45,2.1,95
6/1/2021 4:50,2.2,105
6/1/2021 4:55,1.8,120
6/1/2021 5:00,2,95
6/1/2021 5:05,2.8,97
6/1/2021 5:10,2.4,95
6/1/2021 5:15,2.3,87
6/1/2021 5:20,2.6,82
6/1/2021 5:25,2.5,109
6/1/2021 5:30,1.6,113
6/1/2021 5:35,1.9,103
6/1/2021 5:40,2,108
6/1/2021 5:45,3.1,81
6/1/2021 5:50,2.2,77
6/1/2021 5:55,2.3,76
6/1/2021 6:00,3,76
6/1/2021 6:05,2.9,88
6/1/2021 6:10,2.8,84
6/1/2021 6:15,2.1,84
6/1/2021 6:20,2.3,81
6/1/2021 6:25,2.2,82
6/1/2021 6:30,2.6,80
6/1/2021 6:35,2.9,82
6/1/2021 6:40,2,101
6/1/2021 6:45,2.3,107
6/1/2021 6:50,1.7,92
6/1/2021 6:55,2.5,93
6/1/2021 7:00,2.6,81
6/1/2021 7:05,2.9,90
6/1/2021 7:10,3.4,87
6/1/2021 7:15,2.6,90
6/1/2021 7:20,2.4,99
6/1/2021 7:25,2.8,93
6/1/2021 7:30,2.6,88
6/1/2021 7:35,2.3,109
6/1/2021 7:40,2.9,79
6/1/2021 7:45,2.8,90
6/1/2021 7:50,3.7,84
6/1/2021 7:55,2.3,88
6/1/2021 8:00,2.5,104
6/1/2021 8:05,2.9,100
6/1/2021 8:10,2.4,102
6/1/2021 8:15,2.7,101
6/1/2021 8:20,2.4,114
6/1/2021 8:25,1.9,107
6/1/2021 8:30,2.6,114
6/1/2021 8:35,3.7,101
6/1/2021 8:40,3.3,97
6/1/2021 8:45,2.8,121
6/1/2021 8:50,3.3,124
6/1/2021 8:55,3,104
6/1/2021 9:00,2.7,120
6/1/2021 9:05,4.1,109
6/1/2021 9:10,2.4,124
6/1/2021 9:15,2.6,94
6/1/2021 9:20,3.3,104
6/1/2021 9:25,4,117
6/1/2021 9:30,2.7,102
6/1/2021 9:35,3.7,91
6/1/2021 9:40,3,118
6/1/2021 9:45,1.8,108
6/1/2021 9:50,2.5,135
6/1/2021 9:55,2.8,120
6/1/2021 10:00,3.6,100
6/1/2021 10:05,2.9,113
6/1/2021 10:10,2.9,101
6/1/2021 10:15,2.8,108
6/1/2021 10:20,3.6,94
6/1/2021 10:25,3.6,91
6/1/2021 10:30,3.4,112
6/1/2021 10:35,3.9,86
6/1/2021 10:40,4.2,73
6/1/2021 10:45,2.2,111
6/1/2021 10:50,2.6,109
6/1/2021 10:55,2.9,84
6/1/2021 11:00,2.4,108
6/1/2021 11:05,3.1,100
6/1/2021 11:10,4.6,174
6/1/2021 11:15,3.6,163
6/1/2021 11:20,2.4,153
6/1/2021 11:25,2.6,135
6/1/2021 11:30,2.9,167
6/1/2021 11:35,3.2,95
6/1/2021 11:40,2.4,139
6/1/2021 11:45,2,140
6/1/2021 11:50,2.9,167
6/1/2021 11:55,2.6,79
6/1/2021 12:00,2,110
6/1/2021 12:05,2.7,83
6/1/2021 12:10,2.4,94
6/1/2021 12:15,2.2,107
6/1/2021 12:20,2.7,101
6/1/2021 12:25,2.4,109
6/1/2021 12:30,3,124
6/1/2021 12:35,3.5,100
6/1/2021 12:40,3.1,114
6/1/2021 12:45,3,110
6/1/2021 12:50,3.3,120
6/1/2021 12:55,2.7,114
6/1/2021 13:00,2.9,119
6/1/2021 13:05,3.4,94
6/1/2021 13:10,3,105
6/1/2021 13:15,3,106
6/1/2021 13:20,2.1,125
6/1/2021 13:25,2,116
6/1/2021 13:30,3,101
6/1/2021 13:35,3,95
6/1/2021 13:40,2.1,161
6/1/2021 13:45,4.1,171
6/1/2021 13:50,2,110
6/1/2021 13:55,2,113
6/1/2021 14:00,3,172
6/1/2021 14:05,4.2,171
6/1/2021 14:10,3.4,176
6/1/2021 14:15,3.5,162
6/1/2021 14:20,2.1,130
6/1/2021 14:25,3.2,97
6/1/2021 14:30,3.3,91
6/1/2021 14:35,4.3,74
6/1/2021 14:40,4.2,69
6/1/2021 14:45,3.2,82
6/1/2021 14:50,1.5,94
6/1/2021 14:55,3.4,79
6/1/2021 15:00,2.3,111
