Month,Day,Year,Time,Flux,Temperature (C),Soil sig,Soil STD,ATM sig,ATM STD,Mode,Soil VR,Soil VA,ATM VR,ATM VA,EOS Num,Site,Trans Num
7,16,21,9:01:17,0,0,0,0,0,0,1,0,0,0,0,2,NA,NA
7,16,21,9:02:11,0,0,0,0,0,0,1,0,0,0,0,2,NA,NA
7,16,21,9:02:38,0,0,0,0,0,0,2,0,0,0,0,2,NA,NA
7,16,21,9:05:00,-1,20.7,391.06,12.098,446.7,7.127,0,1.24104,1.73447,1.23904,1.73064,2,NA,NA
7,16,21,9:10:00,0.11,23,362.19,2.836,356.25,5.053,0,1.24183,1.73251,1.24158,1.73405,2,NA,NA
7,16,21,9:15:00,1.94,24.4,460.46,50.938,352.1,6.129,0,1.24425,1.72018,1.24308,1.73176,2,NA,NA
7,16,21,9:20:00,3.56,25.5,975.83,20.197,777.37,82.912,0,1.24541,1.6943,1.24516,1.6968,2,NA,NA
7,16,21,9:25:00,0.15,26.3,936.39,8.542,928.24,8.332,0,1.24645,1.69464,1.24608,1.69426,2,NA,NA
7,16,21,9:30:00,-2.81,26.9,355.16,4.257,511.48,60.851,0,1.24641,1.72976,1.24579,1.72418,2,NA,NA
7,16,21,9:35:00,0.52,27.3,391.34,2.785,362.63,12.604,0,1.2472,1.72743,1.24666,1.72776,2,NA,NA
7,16,21,9:40:00,-0.04,27.6,429.02,1.73,431.09,8.456,0,1.24733,1.72484,1.24745,1.72418,2,NA,NA
7,16,21,9:45:00,0.51,27.7,484.44,12.168,455.93,9.4,0,1.24762,1.71964,1.24745,1.72201,2,NA,NA
7,16,21,9:50:00,0.83,27.8,672.3,7.271,626.01,16.956,0,1.24791,1.70839,1.2477,1.70997,2,NA,NA
7,16,21,9:55:00,-2.37,27.9,246.95,8.775,379.25,48.574,0,1.24825,1.7383,1.24758,1.73222,2,NA,NA
7,16,21,10:00:00,0.03,27.7,226.3,8.798,224.47,2.813,0,1.24725,1.73897,1.24762,1.73947,2,NA,NA
7,16,21,10:05:00,-0.03,26.4,216.82,2.983,218.5,4.75,0,1.24562,1.7418,1.24583,1.74014,2,NA,NA
7,16,21,10:10:00,0.27,24.2,240.51,10.386,225.47,3.877,0,1.2422,1.74122,1.24304,1.74147,2,NA,NA
7,16,21,10:15:00,0.13,23,235.45,2.971,227.97,2.039,0,1.24183,1.74326,1.24233,1.74414,2,NA,NA
7,16,21,10:20:00,0.34,22.3,235.31,2.593,216.41,2.486,0,1.24145,1.7441,1.24166,1.7453,2,PARQ,5
7,16,21,10:25:00,0.4,21.7,239.05,2.666,216.64,2.913,0,1.2407,1.74489,1.24083,1.74622,2,PARQ,5
7,16,21,10:30:00,-0.11,21,229.38,4.853,235.73,2.766,0,1.23987,1.74626,1.24062,1.74614,2,NA,NA
7,16,21,10:35:00,0.7,20.5,256.55,3.378,217.57,1.404,0,1.23979,1.74493,1.24,1.74789,2,NA,NA
7,16,21,10:40:00,0.5,20,244.96,1.914,216.9,3.17,0,1.23925,1.74643,1.23929,1.74839,2,PARQ,3
7,16,21,10:45:00,0.38,19.5,238.96,2.657,217.6,3.789,0,1.23883,1.74764,1.23887,1.74926,2,PARQ,3
7,16,21,10:50:00,0.03,19,222.17,10.833,220.52,2.678,0,1.23741,1.74985,1.23875,1.74972,2,PARQ,3
7,16,21,10:55:00,0.24,18.4,231.84,2.824,218.47,3.076,0,1.23787,1.74918,1.2377,1.75018,2,NA,NA
7,16,21,11:00:00,0.6,18.2,255.11,2.756,221.47,1.456,0,1.23783,1.74818,1.23791,1.75055,2,PARQ,1
7,16,21,11:05:00,0.66,18,266.08,6.336,229.31,2.217,0,1.23791,1.74751,1.23795,1.75068,2,PARQ,1
7,16,21,11:10:00,0.27,17.9,248.81,11.647,233.68,2.465,0,1.23725,1.7501,1.23783,1.75085,2,PARQ,1
7,16,21,11:15:00,0.55,17.1,282.97,17.058,252.11,4.938,0,1.23641,1.74576,1.23691,1.74989,2,NA,NA
7,16,21,11:20:00,3.02,16.8,661.07,21.429,492.84,32.928,0,1.23716,1.72126,1.23687,1.73018,2,NA,NA
7,16,21,11:25:00,2,16.7,912.63,27.93,801.1,9.365,0,1.23725,1.70584,1.23679,1.71339,2,NA,NA
7,16,21,11:30:00,-8.62,16.8,301.83,28.63,782.34,100.748,0,1.23691,1.74943,1.23741,1.72526,2,NA,NA
