Month,Day,Year,Time,Flux,Temperature (C),Soil sig,Soil STD,ATM sig,ATM STD,Mode,Soil VR,Soil VA,ATM VR,ATM VA,EOS Num,Site,Trans Num
6,16,21,10:16:22,0,0,0,0,0,0,1,0,0,0,0,2,NA,NA
6,16,21,10:16:51,0,0,0,0,0,0,2,0,0,0,0,2,NA,NA
6,16,21,10:20:00,-0.12,24.1,183.41,1.499,190.15,13.87,0,1.2415,1.74093,1.24029,1.74268,2,NA,NA
6,16,21,10:25:00,0.17,26.3,162.89,2.909,153.36,1.921,0,1.24329,1.74043,1.24241,1.74114,2,NA,NA
6,16,21,10:30:00,0.19,27,172.94,4.295,162.22,3.335,0,1.24387,1.73964,1.24341,1.73964,2,NA,NA
6,16,21,10:35:00,0.08,26.6,186.07,3.457,181.69,2.913,0,1.24358,1.73972,1.24387,1.73976,2,NA,NA
6,16,21,10:40:00,-0.03,26.1,193.49,2.824,195.02,2.259,0,1.24329,1.74014,1.24366,1.73997,2,NA,NA
6,16,21,10:45:00,2.4,25.6,786.65,7.867,653.16,169.615,0,1.24425,1.70201,1.24341,1.69309,2,NA,NA
6,16,21,10:50:00,-1.13,25.3,401.98,16.251,464.69,48.632,0,1.24341,1.72905,1.24337,1.7268,2,NA,NA
6,16,21,10:55:00,-0.22,25.1,284.73,2.456,297.13,12.048,0,1.243,1.73526,1.24337,1.73605,2,NA,NA
6,16,21,11:00:00,0.08,25.2,242.96,5.898,238.78,14.092,0,1.24362,1.73839,1.24358,1.7398,2,NA,NA
6,16,21,11:05:00,-0.12,25.4,228.35,3.944,234.83,16.129,0,1.2437,1.73976,1.24358,1.7373,2,NA,NA
6,16,21,11:10:00,-0.84,25.7,203.27,9.422,249.82,10.913,0,1.2435,1.74159,1.24358,1.7383,2,NA,NA
6,16,21,11:15:00,-0.01,25.4,192.39,9.396,192.78,1.17,0,1.24362,1.74205,1.2437,1.74205,2,NA,NA
6,16,21,11:20:00,0.13,25,200.19,2.411,192.72,2.285,0,1.24304,1.74209,1.24287,1.74234,2,NA,NA
6,16,21,11:25:00,0.05,24.5,188.32,1.875,185.29,13.452,0,1.2422,1.74276,1.2422,1.74339,2,NA,NA
6,16,21,11:30:00,0.84,24.4,225.05,6.05,178.21,2.496,0,1.24287,1.74039,1.24283,1.74439,2,Ant,5
6,16,21,11:35:00,0.66,24.6,212.21,2.546,175.61,2.455,0,1.24287,1.74172,1.24325,1.74501,2,Ant,5
6,16,21,11:40:00,0.76,24.3,219.62,3.982,177.21,3.56,0,1.24216,1.74109,1.24254,1.74489,2,Ant,5
6,16,21,11:45:00,0.85,24.1,226.09,3.518,178.83,2.668,0,1.24225,1.74097,1.24233,1.74484,2,Ant,5
6,16,21,11:50:00,0.47,23.8,202.42,10.231,176.48,10.554,0,1.24225,1.74289,1.24212,1.74501,2,NA,NA
6,16,21,11:55:00,1.12,23.5,249.99,3.801,187.68,2.525,0,1.24204,1.7408,1.24191,1.74514,2,Ant,3
6,16,21,12:00:00,0.57,23.2,224.52,2.073,192.75,2.8,0,1.24212,1.74297,1.24229,1.74559,2,Ant,3
6,16,21,12:05:00,1.21,23.2,255.55,8.369,188.24,4.04,0,1.24212,1.74176,1.24216,1.74568,2,Ant,3
6,16,21,12:10:00,0.41,23.5,212.39,2.981,189.51,3.284,0,1.2425,1.74355,1.24283,1.74589,2,Ant,1
6,16,21,12:15:00,0.46,23.5,217.17,3.477,191.61,2.408,0,1.24233,1.7433,1.24275,1.7458,2,Ant,1
6,16,21,12:20:00,0.46,23.6,214.67,2.441,188.99,4.319,0,1.24208,1.74343,1.24262,1.74572,2,Ant,1
6,16,21,12:25:00,0,22.9,195.41,4.359,195.54,4.324,0,1.24112,1.74555,1.24183,1.74547,2,NA,NA
6,16,21,12:30:00,1.95,22.1,412.56,13.329,303.99,131.271,0,1.23975,1.7318,1.24091,1.72297,2,NA,NA
6,16,21,12:35:00,-0.49,21.3,228.44,8.446,255.64,13.616,0,1.23883,1.74443,1.23937,1.74289,2,NA,NA
6,16,21,12:40:00,-0.16,20.8,246.93,3.57,255.67,5.23,0,1.23841,1.74314,1.23858,1.7423,2,NA,NA
6,16,21,12:45:00,-0.05,20.3,274.75,7.685,277.32,5.747,0,1.23787,1.7423,1.23825,1.74189,2,NA,NA
6,16,21,12:50:00,-1.14,19.7,494.01,12.759,557.29,85.239,0,1.23825,1.72943,1.23841,1.71589,2,NA,NA
6,16,21,12:55:00,-0.52,19.5,553.54,3.504,582.26,14.652,0,1.2382,1.72459,1.23825,1.72172,2,NA,NA
6,16,21,13:00:00,-0.15,19.6,640.21,6.742,648.4,11.502,0,1.2385,1.71909,1.23875,1.7178,2,NA,NA
6,17,21,14:56:37,0,0,0,0,0,0,1,0,0,0,0,2,NA,NA
6,17,21,15:00:11,0,0,0,0,0,0,2,0,0,0,0,2,NA,NA
