Label,Date,CH4_time
Gavi-1,6/14/2021,13:15
Gavi-2,6/14/2021,13:10
Gavi-3,6/14/2021,13:00
Gavi-4,6/14/2021,13:38
Gavi-5,6/14/2021,13:45
Guar-1,6/14/2021,15:20
Guar-2,6/14/2021,14:55
Guar-3,6/14/2021,14:50
Guar-4,6/14/2021,14:30
Guar-5,6/14/2021,14:25
Parq-1,6/14/2021,16:45
Parq-2,6/14/2021,16:26
Parq-3,6/14/2021,15:56
Parq-4,6/14/2021,16:20
Parq-5,6/14/2021,16:06
Ant-1,6/16/2021,12:20
Ant-2,6/16/2021,12:15
Ant-3,6/16/2021,12:05
Ant-4,6/16/2021,11:50
Ant-5,6/16/2021,11:45
Gavi-1,6/21/2021,12:00
Gavi-2,6/21/2021,11:45
Gavi-3,6/21/2021,11:35
Gavi-4,6/21/2021,11:05
Gavi-5,6/21/2021,10:55
Guar-1,6/21/2021,13:20
Guar-2,6/21/2021,13:00
Guar-3,6/21/2021,13:15
Guar-4,6/21/2021,12:30
Guar-5,6/21/2021,12:35
Parq-1,6/21/2021,16:15
Parq-2,6/21/2021,15:55
Parq-3,6/21/2021,16:00
Parq-4,6/21/2021,15:30
Parq-5,6/21/2021,15:25
Ant-1,6/22/2021,12:10
Ant-2,6/22/2021,11:50
Ant-3,6/22/2021,11:30
Ant-4,6/22/2021,11:05
Ant-5,6/22/2021,10:45
Ant-1,6/28/2021,15:10
Ant-2,6/28/2021,15:00
Ant-3,6/28/2021,14:55
Ant-4,6/28/2021,14:35
Ant-5,6/28/2021,14:35
Gavi-1,6/28/2021,11:30
Gavi-2,6/28/2021,11:15
Gavi-3,6/28/2021,10:55
Gavi-4,6/28/2021,10:30
Gavi-5,6/28/2021,10:10
Guar-1,6/28/2021,12:30
Guar-2,6/28/2021,12:25
Guar-3,6/28/2021,12:08
Guar-4,6/28/2021,12:00
Guar-5,6/28/2021,11:45
Parq-1,6/28/2021,14:00
Parq-2,6/28/2021,13:45
Parq-3,6/28/2021,13:40
Parq-4,6/28/2021,13:25
Parq-5,6/28/2021,13:20
Ant-1,7/12/2021,12:00
Ant-2,7/12/2021,11:40
Ant-3,7/12/2021,11:20
Ant-4,7/12/2021,11:00
Ant-5,7/12/2021,10:40
Gavi-1,7/13/2021,15:10
Gavi-2,7/13/2021,14:50
Gavi-3,7/13/2021,14:25
Gavi-4,7/13/2021,14:00
Gavi-5,7/13/2021,13:40
Guar-1,7/14/2021,13:45
Guar-2,7/14/2021,13:30
Guar-3,7/14/2021,13:15
Guar-4,7/14/2021,13:00
Guar-5,7/14/2021,12:45
Parq-1,7/16/2021,11:10
Parq-2,7/16/2021,11:00
Parq-3,7/16/2021,10:50
Parq-4,7/16/2021,10:40
Parq-5,7/16/2021,10:30
Gavi-3,7/20/2021,15:05
Gavi-4,7/20/2021,14:45
Gavi-5,7/20/2021,14:20
Guar-1,7/23/2021,11:25
Guar-2,7/23/2021,11:15
Guar-3,7/23/2021,11:05
Guar-4,7/23/2021,10:50
Guar-5,7/23/2021,10:45
Ant-1,7/26/2021,11:40
Ant-3,7/26/2021,11:20
Ant-4,7/26/2021,11:10
Ant-5,7/26/2021,11:00
Parq-1,7/26/2021,13:15
Parq-2,7/26/2021,12:55
Parq-3,7/26/2021,12:55
Parq-4,7/26/2021,12:35
Parq-5,7/26/2021,12:36
