x,w,d,notes,Waypoint,lat,lon,ele
0,34,4,convergence with mainstem,175,-0.331149967,-78.20302701,4069.406006
10,90,10,,,,,
20,61,1.5,,,,,
30,72,10.5,,,,,
40,80,3,,,,,
50,68,2,,176,-0.331216017,-78.20260397,4069.865967
60,32,11.7,,,,,
70,84,3,,,,,
80,74,7,,,,,
90,90,8.5,,,,,
90.1,NA,NA,underground,,,,
92,NA,NA,underground,,,,
100,78,6,,178,-0.331263039,-78.20217096,4072.575439
105,NA,NA,converge with another trib,,,,
110,45,7,,,,,
120,57,1,,,,,
130,16.7,3,,,,,
140,19,2.5,,,,,
150,29,1,,,,,
160,26,1.5,,,,,
170,13,1.5,,,,,
172,NA,NA,underground (I wonder if the girl's definaiton of underground is different from mine…),,,,
174,NA,NA,underground,,,,
175,NA,NA,underground,,,,
177,NA,NA,underground,,,,
180,18,1.5,,,,,
182,NA,NA,underground,,,,
184,NA,NA,underground,,,,
191,30,3.5,,,,,
200,15,3,,180,-0.331200007,-78.20135901,4082.866943
210,67,5.5,,,,,
208,NA,NA,wetland,,,,
214,NA,NA,wetland,,,,
220,33,4,,181,-0.331129013,-78.20120897,4088.950928
