x,w,d,notes,Waypoint,lat,lon,ele
0,36,5,,,-0.33121,-78.2031,
10,40,3,,,-0.33114,-78.20316,
20,40,4,,,-0.33106,-78.20316,
30,24,4,,,-0.33096,-78.20314,
40,48,9,,,-0.33085,-78.20315,
50,49,5,small stream enters,,-0.33077,-78.20313,
60,40,8,,,-0.3307,-78.20313,
70,31,3,,,-0.33062,-78.20312,
