Device Name:,,OM-CP-VOLT101A,,,,,,,
Device Description:,,Voltage Data Logger,,,,,,,
Serial Number:,,R37297,,,,,,,
Device ID:,,SynopticOld,,,,,,,
,,,,,,,,,
,,Channel 1,,,,,,,
Date,Time,Voltage (ppm),Tract,Description,Point,X,Y,WS,Notes
7/9/2021,1:12:45 PM,486,1,starting at last point of lower Antenas and leapfrogging downstream,1,,,1315,Forgot collar and using plastic bag as replacement; very turbulent and hard to keep seal around makeshift collar 
7/9/2021,1:12:50 PM,481,1,starting at last point of lower Antenas and leapfrogging downstream,1,,,1315,Forgot collar and using plastic bag as replacement; very turbulent and hard to keep seal around makeshift collar 
7/9/2021,1:12:55 PM,481,1,starting at last point of lower Antenas and leapfrogging downstream,1,,,1315,Forgot collar and using plastic bag as replacement; very turbulent and hard to keep seal around makeshift collar 
7/9/2021,1:13:00 PM,481,1,starting at last point of lower Antenas and leapfrogging downstream,1,,,1315,Forgot collar and using plastic bag as replacement; very turbulent and hard to keep seal around makeshift collar 
7/9/2021,1:13:05 PM,481,1,starting at last point of lower Antenas and leapfrogging downstream,1,,,1315,Forgot collar and using plastic bag as replacement; very turbulent and hard to keep seal around makeshift collar 
7/9/2021,1:13:10 PM,476,1,starting at last point of lower Antenas and leapfrogging downstream,1,,,1315,Forgot collar and using plastic bag as replacement; very turbulent and hard to keep seal around makeshift collar 
7/9/2021,1:13:15 PM,466,1,starting at last point of lower Antenas and leapfrogging downstream,1,,,1315,Forgot collar and using plastic bag as replacement; very turbulent and hard to keep seal around makeshift collar 
7/9/2021,1:13:20 PM,471,1,starting at last point of lower Antenas and leapfrogging downstream,1,,,1315,Forgot collar and using plastic bag as replacement; very turbulent and hard to keep seal around makeshift collar 
7/9/2021,1:13:25 PM,471,1,starting at last point of lower Antenas and leapfrogging downstream,1,,,1315,Forgot collar and using plastic bag as replacement; very turbulent and hard to keep seal around makeshift collar 
7/9/2021,1:13:30 PM,471,1,starting at last point of lower Antenas and leapfrogging downstream,1,,,1315,Forgot collar and using plastic bag as replacement; very turbulent and hard to keep seal around makeshift collar 
7/9/2021,1:13:35 PM,466,1,starting at last point of lower Antenas and leapfrogging downstream,1,,,1315,Forgot collar and using plastic bag as replacement; very turbulent and hard to keep seal around makeshift collar 
7/9/2021,1:13:40 PM,466,1,starting at last point of lower Antenas and leapfrogging downstream,1,,,1315,Forgot collar and using plastic bag as replacement; very turbulent and hard to keep seal around makeshift collar 
7/9/2021,1:13:45 PM,466,1,starting at last point of lower Antenas and leapfrogging downstream,1,,,1315,Forgot collar and using plastic bag as replacement; very turbulent and hard to keep seal around makeshift collar 
7/9/2021,1:13:50 PM,471,1,starting at last point of lower Antenas and leapfrogging downstream,1,,,1315,Forgot collar and using plastic bag as replacement; very turbulent and hard to keep seal around makeshift collar 
7/9/2021,1:13:55 PM,471,1,starting at last point of lower Antenas and leapfrogging downstream,1,,,1315,Forgot collar and using plastic bag as replacement; very turbulent and hard to keep seal around makeshift collar 
7/9/2021,1:14:00 PM,476,1,starting at last point of lower Antenas and leapfrogging downstream,1,,,1315,Forgot collar and using plastic bag as replacement; very turbulent and hard to keep seal around makeshift collar 
7/9/2021,1:14:05 PM,471,1,starting at last point of lower Antenas and leapfrogging downstream,1,,,1315,Forgot collar and using plastic bag as replacement; very turbulent and hard to keep seal around makeshift collar 
7/9/2021,1:14:10 PM,471,1,starting at last point of lower Antenas and leapfrogging downstream,1,,,1315,Forgot collar and using plastic bag as replacement; very turbulent and hard to keep seal around makeshift collar 
7/9/2021,1:14:15 PM,466,1,starting at last point of lower Antenas and leapfrogging downstream,1,,,1315,Forgot collar and using plastic bag as replacement; very turbulent and hard to keep seal around makeshift collar 
7/9/2021,1:14:20 PM,461,1,starting at last point of lower Antenas and leapfrogging downstream,1,,,1315,Forgot collar and using plastic bag as replacement; very turbulent and hard to keep seal around makeshift collar 
7/9/2021,1:14:25 PM,461,1,starting at last point of lower Antenas and leapfrogging downstream,1,,,1315,Forgot collar and using plastic bag as replacement; very turbulent and hard to keep seal around makeshift collar 
7/9/2021,1:14:30 PM,461,1,starting at last point of lower Antenas and leapfrogging downstream,1,,,1315,Forgot collar and using plastic bag as replacement; very turbulent and hard to keep seal around makeshift collar 
7/9/2021,1:14:35 PM,461,1,starting at last point of lower Antenas and leapfrogging downstream,1,,,1315,Forgot collar and using plastic bag as replacement; very turbulent and hard to keep seal around makeshift collar 
7/9/2021,1:14:40 PM,466,1,starting at last point of lower Antenas and leapfrogging downstream,1,,,1315,Forgot collar and using plastic bag as replacement; very turbulent and hard to keep seal around makeshift collar 
7/9/2021,1:14:45 PM,476,1,starting at last point of lower Antenas and leapfrogging downstream,1,,,1315,Forgot collar and using plastic bag as replacement; very turbulent and hard to keep seal around makeshift collar 
7/9/2021,1:14:50 PM,481,1,starting at last point of lower Antenas and leapfrogging downstream,1,,,1315,Forgot collar and using plastic bag as replacement; very turbulent and hard to keep seal around makeshift collar 
7/9/2021,1:14:55 PM,471,1,starting at last point of lower Antenas and leapfrogging downstream,1,,,1315,Forgot collar and using plastic bag as replacement; very turbulent and hard to keep seal around makeshift collar 
7/9/2021,1:15:00 PM,456,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:15:05 PM,446,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:15:10 PM,451,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:15:15 PM,456,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:15:20 PM,461,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:15:25 PM,461,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:15:30 PM,456,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:15:35 PM,451,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:15:40 PM,451,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:15:45 PM,446,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:15:50 PM,441,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:15:55 PM,441,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:16:00 PM,436,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:16:05 PM,436,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:16:10 PM,441,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:16:15 PM,461,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:16:20 PM,466,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:16:25 PM,466,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:16:30 PM,461,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:16:35 PM,451,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:16:40 PM,451,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:16:45 PM,456,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:16:50 PM,461,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:16:55 PM,461,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:17:00 PM,461,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:17:05 PM,461,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:17:10 PM,461,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:17:15 PM,461,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:17:20 PM,471,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:17:25 PM,476,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:17:30 PM,486,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:17:35 PM,486,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:17:40 PM,486,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:17:45 PM,486,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:17:50 PM,486,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:17:55 PM,471,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:18:00 PM,456,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:18:05 PM,446,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:18:10 PM,436,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:18:15 PM,426,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:18:20 PM,416,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:18:25 PM,406,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:18:30 PM,396,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:18:35 PM,381,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:18:40 PM,371,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:18:45 PM,361,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:18:50 PM,351,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:18:55 PM,336,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:19:00 PM,326,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:19:05 PM,306,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:19:10 PM,301,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:19:15 PM,301,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:19:20 PM,301,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:19:25 PM,301,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:19:30 PM,306,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:19:35 PM,306,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:19:40 PM,316,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:19:45 PM,316,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:19:50 PM,326,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:19:55 PM,336,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:20:00 PM,336,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:20:05 PM,336,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:20:10 PM,336,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:20:15 PM,331,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:20:20 PM,326,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:20:25 PM,326,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:20:30 PM,326,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:20:35 PM,321,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:20:40 PM,326,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:20:45 PM,326,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:20:50 PM,321,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:20:55 PM,316,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:21:00 PM,311,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:21:05 PM,306,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:21:10 PM,306,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:21:15 PM,306,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:21:20 PM,311,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:21:25 PM,316,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:21:30 PM,321,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:21:35 PM,321,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:21:40 PM,321,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:21:45 PM,321,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:21:50 PM,321,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:21:55 PM,316,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:22:00 PM,321,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:22:05 PM,326,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:22:10 PM,331,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:22:15 PM,331,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:22:20 PM,326,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:22:25 PM,321,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:22:30 PM,316,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:22:35 PM,316,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:22:40 PM,316,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:22:45 PM,321,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:22:50 PM,321,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:22:55 PM,321,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:23:00 PM,316,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:23:05 PM,316,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:23:10 PM,316,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:23:15 PM,311,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:23:20 PM,316,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:23:25 PM,321,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:23:30 PM,326,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:23:35 PM,326,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:23:40 PM,326,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:23:45 PM,326,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:23:50 PM,336,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:23:55 PM,336,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:24:00 PM,336,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:24:05 PM,326,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:24:10 PM,321,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:24:15 PM,316,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:24:20 PM,316,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:24:25 PM,321,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:24:30 PM,326,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:24:35 PM,331,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:24:40 PM,346,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:24:45 PM,356,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:24:50 PM,371,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:24:55 PM,376,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:25:00 PM,386,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:25:05 PM,396,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:25:10 PM,401,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:25:15 PM,406,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:25:20 PM,411,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:25:25 PM,421,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:25:30 PM,431,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:25:35 PM,436,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:25:40 PM,441,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:25:45 PM,446,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:25:50 PM,451,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:25:55 PM,456,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:26:00 PM,461,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:26:05 PM,461,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:26:10 PM,466,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:26:15 PM,466,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:26:20 PM,466,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:26:25 PM,471,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:26:30 PM,476,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:26:35 PM,476,NA,NA,NA,NA,NA,NA,NA
7/9/2021,1:26:40 PM,481,NA,NA,NA,NA,NA,NA,NA
