DateTime,CO2_ppm,Vaisala,AirPress_kpa,AirTemp_c
6/29/2021 9:20,169.9,GMP252_1,62.6009,7.256
6/29/2021 9:20,169.4,GMP252_1,62.6009,7.256
6/29/2021 9:20,169.4,GMP252_1,62.6009,7.256
6/29/2021 9:20,169.4,GMP252_1,62.6009,7.256
6/29/2021 9:20,168.15,GMP252_1,62.6009,7.256
6/29/2021 9:20,168.4,GMP252_1,62.6009,7.256
6/29/2021 9:20,167.65,GMP252_1,62.6009,7.256
6/29/2021 9:20,169.65,GMP252_1,62.6009,7.256
6/29/2021 9:20,169.15,GMP252_1,62.6009,7.256
6/29/2021 9:21,169.4,GMP252_1,62.6009,7.256
6/29/2021 9:21,169.4,GMP252_1,62.6009,7.256
6/29/2021 9:21,169.4,GMP252_1,62.6009,7.256
6/29/2021 9:21,169.65,GMP252_1,62.6009,7.256
6/29/2021 9:21,170.41,GMP252_1,62.6009,7.256
6/29/2021 9:21,176.17,GMP252_1,62.6009,7.256
6/29/2021 9:21,159.13,GMP252_1,62.6009,7.256
6/29/2021 9:21,156.87,GMP252_1,62.6009,7.256
6/29/2021 9:21,156.87,GMP252_1,62.6009,7.256
6/29/2021 9:21,158.13,GMP252_1,62.6009,7.256
6/29/2021 9:21,158.13,GMP252_1,62.6009,7.256
6/29/2021 9:21,159.13,GMP252_1,62.6009,7.256
6/29/2021 9:22,159.63,GMP252_1,62.6009,7.256
6/29/2021 9:22,158.88,GMP252_1,62.6009,7.256
6/29/2021 9:22,162.14,GMP252_1,62.6009,7.256
6/29/2021 9:22,164.39,GMP252_1,62.6009,7.256
6/29/2021 9:22,165.64,GMP252_1,62.6009,7.256
6/29/2021 9:22,166.9,GMP252_1,62.6009,7.256
6/29/2021 9:22,168.15,GMP252_1,62.6009,7.256
6/29/2021 9:22,169.65,GMP252_1,62.6009,7.256
6/29/2021 9:22,168.9,GMP252_1,62.6009,7.256
6/29/2021 9:22,171.91,GMP252_1,62.6009,7.256
