Device Name:,,OM-CP-VOLT101A,,,,,,,
Device Description:,,Voltage Data Logger,,,,,,,
Serial Number:,,R37298,,,,,,,
Device ID:,,SynopticNew,,,,,,,
,,,,,,,,,
,,Channel 1,,,,,,,
Date,Time,Voltage (ppm),Tract,Description,Point,XCoordinate,Ycoordinate,WaterSample,Notes
6/30/2021,9:00:00 AM,328.03,NA,NA,NA,NA,NA,NA,NA
6/30/2021,9:00:05 AM,328.78,NA,NA,NA,NA,NA,NA,NA
6/30/2021,9:00:10 AM,327.03,NA,NA,NA,NA,NA,NA,NA
6/30/2021,9:00:15 AM,325.77,NA,NA,NA,NA,NA,NA,NA
6/30/2021,9:00:20 AM,325.77,NA,NA,NA,NA,NA,NA,NA
6/30/2021,9:00:25 AM,324.52,NA,NA,NA,NA,NA,NA,NA
6/30/2021,9:00:30 AM,325.02,NA,NA,NA,NA,NA,NA,NA
6/30/2021,9:00:35 AM,324.27,NA,NA,NA,NA,NA,NA,NA
6/30/2021,9:00:40 AM,324.77,NA,NA,NA,NA,NA,NA,NA
6/30/2021,9:00:45 AM,323.27,NA,NA,NA,NA,NA,NA,NA
6/30/2021,9:00:50 AM,322.02,NA,NA,NA,NA,NA,NA,NA
6/30/2021,9:00:55 AM,322.27,NA,NA,NA,NA,NA,NA,NA
6/30/2021,9:01:00 AM,320.51,NA,NA,NA,NA,NA,NA,NA
6/30/2021,9:01:05 AM,321.26,NA,NA,NA,NA,NA,NA,NA
6/30/2021,9:01:10 AM,320.76,NA,NA,NA,NA,NA,NA,NA
6/30/2021,9:01:15 AM,320.76,NA,NA,NA,NA,NA,NA,NA
6/30/2021,9:01:20 AM,320.76,NA,NA,NA,NA,NA,NA,NA
6/30/2021,9:01:25 AM,320.76,NA,NA,NA,NA,NA,NA,NA
6/30/2021,9:01:30 AM,321.26,NA,NA,NA,NA,NA,NA,NA
6/30/2021,9:01:35 AM,320.51,NA,NA,NA,NA,NA,NA,NA
