OBJECTID,pointid,grid_code,RASTERVALU
1377,1377,4109.648926,4109.648926
1378,1378,4109.654785,4109.654785
1379,1379,4109.617188,4109.617188
1380,1380,4109.632813,4109.632813
1381,1381,4109.648438,4109.648438
1382,1382,4109.591797,4109.591797
1383,1383,4109.629883,4109.629883
1384,1384,4109.539063,4109.539063
1385,1385,4109.572266,4109.572266
1386,1386,4109.626465,4109.626465
1387,1387,4109.347168,4109.347168
1388,1388,4109.473633,4109.473633
1389,1389,4109.541992,4109.541992
1390,1390,4108.700684,4108.700684
1391,1391,4109.347168,4109.347168
1392,1392,4108.680176,4108.680176
1393,1393,4108.692383,4108.692383
1394,1394,4108.697754,4108.697754
1395,1395,4108.647461,4108.647461
1396,1396,4108.647461,4108.647461
1397,1397,4108.669434,4108.669434
1398,1398,4108.645508,4108.645508
1399,1399,4108.647461,4108.647461
1400,1400,4108.647461,4108.647461
1401,1401,4108.556152,4108.556152
1402,1402,4108.597656,4108.597656
1403,1403,4108.457031,4108.457031
1404,1404,4108.510742,4108.510742
1405,1405,4108.342773,4108.342773
1406,1406,4108.436523,4108.436523
1407,1407,4108.342773,4108.342773
1408,1408,4108.292969,4108.292969
1409,1409,4108.382813,4108.382813
1410,1410,4108.292969,4108.292969
1411,1411,4108.373047,4108.373047
1412,1412,4108.292969,4108.292969
1413,1413,4108.36377,4108.36377
1414,1414,4108.289551,4108.289551
1415,1415,4108.344727,4108.344727
1416,1416,4108.335938,4108.335938
1417,1417,4108.320313,4108.320313
1418,1418,4108.36377,4108.36377
1419,1419,4108.316406,4108.316406
1420,1420,4108.355957,4108.355957
1421,1421,4108.304199,4108.304199
1422,1422,4108.337402,4108.337402
1423,1423,4108.300781,4108.300781
1424,1424,4108.33252,4108.33252
1425,1425,4108.316406,4108.316406
1426,1426,4108.320313,4108.320313
1427,1427,4108.354492,4108.354492
1428,1428,4108.33252,4108.33252
1429,1429,4108.357422,4108.357422
1430,1430,4108.333496,4108.333496
1431,1431,4108.35791,4108.35791
1432,1432,4108.337402,4108.337402
1433,1433,4108.366699,4108.366699
1434,1434,4108.366699,4108.366699
1435,1435,4108.40332,4108.40332
1436,1436,4108.437988,4108.437988
1437,1437,4108.445313,4108.445313
1438,1438,4108.478027,4108.478027
1439,1439,4108.470703,4108.470703
1440,1440,4108.479004,4108.479004
1441,1441,4108.45166,4108.45166
1442,1442,4108.479004,4108.479004
1443,1443,4108.443848,4108.443848
1444,1444,4108.478027,4108.478027
1445,1445,4108.478027,4108.478027
1446,1446,4108.470703,4108.470703
1447,1447,4108.500488,4108.500488
1448,1448,4108.443848,4108.443848
1449,1449,4108.500977,4108.500977
1450,1450,4108.359863,4108.359863
1451,1451,4108.500977,4108.500977
1452,1452,4108.283691,4108.283691
1453,1453,4108.473633,4108.473633
1454,1454,4108.45166,4108.45166
1455,1455,4108.475098,4108.475098
1456,1456,4108.635254,4108.635254
1457,1457,4108.44873,4108.44873
1458,1458,4108.750977,4108.750977
1459,1459,4108.334961,4108.334961
1460,1460,4108.662598,4108.662598
1461,1461,4108.299805,4108.299805
1462,1462,4108.475098,4108.475098
1463,1463,4108.365234,4108.365234
1464,1464,4108.30957,4108.30957
1465,1465,4108.52832,4108.52832
1466,1466,4108.299805,4108.299805
1467,1467,4108.365234,4108.365234
1468,1468,4108.254395,4108.254395
1469,1469,4108.312012,4108.312012
1470,1470,4108.234863,4108.234863
1471,1471,4108.248047,4108.248047
1472,1472,4108.208984,4108.208984
1473,1473,4108.228516,4108.228516
1474,1474,4108.208984,4108.208984
1475,1475,4108.195313,4108.195313
1476,1476,4108.209961,4108.209961
1477,1477,4108.164063,4108.164063
1478,1478,4108.187012,4108.187012
1479,1479,4108.132324,4108.132324
1480,1480,4108.151367,4108.151367
1481,1481,4108.155273,4108.155273
1482,1482,4108.151367,4108.151367
1483,1483,4108.193359,4108.193359
1484,1484,4108.226074,4108.226074
1485,1485,4108.224609,4108.224609
1486,1486,4108.234863,4108.234863
1487,1487,4108.233887,4108.233887
1488,1488,4108.246094,4108.246094
1489,1489,4108.246094,4108.246094
1490,1490,4108.262207,4108.262207
1491,1491,4108.265625,4108.265625
1492,1492,4108.283203,4108.283203
1493,1493,4108.315918,4108.315918
1494,1494,4108.318848,4108.318848
1495,1495,4108.338867,4108.338867
1496,1496,4108.341797,4108.341797
1497,1497,4108.369141,4108.369141
1498,1498,4108.378906,4108.378906
1499,1499,4108.378906,4108.378906
1500,1500,4108.399414,4108.399414
1501,1501,4108.383301,4108.383301
1502,1502,4108.408691,4108.408691
1503,1503,4108.371582,4108.371582
1504,1504,4108.40332,4108.40332
1505,1505,4108.36377,4108.36377
1506,1506,4108.388184,4108.388184
1507,1507,4108.330566,4108.330566
1508,1508,4108.350586,4108.350586
1509,1509,4108.377441,4108.377441
1510,1510,4108.349609,4108.349609
1511,1511,4108.354492,4108.354492
1512,1512,4108.383301,4108.383301
1513,1513,4108.383301,4108.383301
1514,1514,4108.43457,4108.43457
1515,1515,4108.431152,4108.431152
1516,1516,4108.463379,4108.463379
1517,1517,4108.455078,4108.455078
1518,1518,4108.510742,4108.510742
1519,1519,4108.498535,4108.498535
1520,1520,4108.540527,4108.540527
1521,1521,4108.527344,4108.527344
1522,1522,4108.600098,4108.600098
1523,1523,4108.562012,4108.562012
1524,1524,4108.655762,4108.655762
1525,1525,4108.609375,4108.609375
1526,1526,4108.6875,4108.6875
1527,1527,4108.674805,4108.674805
1528,1528,4108.666504,4108.666504
1529,1529,4108.674805,4108.674805
1530,1530,4108.680664,4108.680664
1531,1531,4108.629883,4108.629883
1532,1532,4108.638184,4108.638184
1533,1533,4108.510742,4108.510742
1534,1534,4108.568848,4108.568848
1535,1535,4108.433594,4108.433594
1536,1536,4108.464355,4108.464355
1537,1537,4108.354492,4108.354492
1538,1538,4108.404785,4108.404785
1539,1539,4108.337891,4108.337891
1540,1540,4108.349609,4108.349609
1541,1541,4108.293945,4108.293945
