"","lat_fit","lon_fit","ele_fit","dist","Date","Point","Flux_ave","CO2_ppm_ave","adjusted_ppm","DOC","TDN","WaterTemp_c","BaroPress_kpa","AirTemp_c","Total_hPa","VaisalaType","EOS_no"
"1141",-0.330527993153572,-78.202299650176,4076.6473759374,350.94146904896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1142",-0.330526993153572,-78.2022982992443,4076.66357501414,350.754367655368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1143",-0.330525993153572,-78.2022969472313,4076.6797395571,350.567169495828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1144",-0.330524993153572,-78.2022955941368,4076.69586748236,350.379874531583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1145",-0.330523993153572,-78.2022942399608,4076.71195669869,350.19248273529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1146",-0.330522993153572,-78.2022928847032,4076.72800510862,350.004994078523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1147",-0.330521993153572,-78.2022915283641,4076.74401060872,349.817408528321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1148",-0.330520993153572,-78.2022901709435,4076.75997108781,349.629726067741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1149",-0.330519993153572,-78.2022888124415,4076.77588442892,349.44194667303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1150",-0.330518993153572,-78.2022874528582,4076.79174850815,349.254070327344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1151",-0.330517993153572,-78.2022860921937,4076.80756119498,349.066097016152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1152",-0.330516993153572,-78.2022847304482,4076.82332035224,348.878026728409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1153",-0.330515993153572,-78.2022833676219,4076.83902383616,348.689859455415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1154",-0.330514993153572,-78.2022820037151,4076.854669496,348.501595195368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1155",-0.330513993153572,-78.202280638728,4076.87025517516,348.313233939686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1156",-0.330512993153572,-78.2022792726609,4076.88577870952,348.124775693542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1157",-0.330511993153572,-78.2022779055143,4076.90123792871,347.936220459907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1158",-0.330510993153572,-78.2022765372883,4076.91663065605,347.747568240658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1159",-0.330509993153572,-78.2022751679835,4076.93195470731,347.558819051476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1160",-0.330508993153572,-78.2022737976003,4076.94720789229,347.369972902385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1161",-0.330507993153572,-78.2022724261391,4076.96238801401,347.181029808069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1162",-0.330506993153572,-78.2022710536004,4076.97749286867,346.991989787853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1163",-0.330505993153572,-78.2022696799848,4076.99252024597,346.802852862296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1164",-0.330504993153572,-78.2022683052929,4077.00746792871,346.613619057753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1165",-0.330503993153572,-78.2022669295252,4077.02233369327,346.42428840067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166",-0.330502993153572,-78.2022655526823,4077.03711530931,346.234860921006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1167",-0.330501993153572,-78.202264174765,4077.05181053982,346.045336652252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
