"","lat_fit","lon_fit","ele_fit","x_pred","x","d","w","Flux_ave","adjusted_ppm","notes"
"1",-0.317499145205021,-78.1921436687311,NA,0.626188440836105,0,3,10,NA,NA,""
"2",-0.317451145205021,-78.1921630966534,4321.07739903258,6.39621049391163,5,2,13,NA,NA,""
"3",-0.317404145205021,-78.1921759352407,4319.87928251627,11.7902083544352,10,3,22,NA,NA,""
"4",-0.317357145205021,-78.1921857080826,4318.7913442657,17.1842062149587,15,4,54,NA,NA,""
"5",-0.317309145205021,-78.1921942167431,4317.78160545221,22.5782040754822,20,5,23,NA,NA,""
"6",-0.317261145205021,-78.1922018708612,4316.86141873107,27.9722019360058,25,4,32,NA,NA,""
"7",-0.317213145205021,-78.192208561008,4316.02132183267,33.3661997965293,30,11,16,NA,NA,""
"8",-0.317165145205021,-78.1922137392872,4315.25382717077,38.7601976570528,35,8,17,NA,NA,""
"9",-0.317117145205021,-78.1922166862381,4314.63566771566,44.1541955175764,40,5,26,NA,NA,""
"10",-0.317078145205021,-78.1922169683463,4314.26359588847,48.4693938059952,44,NA,NA,NA,NA,"wetland inlet, little waterfalls"
"11",-0.317031145205021,-78.1922143998442,4313.94217947602,53.7102887449025,50,NA,NA,NA,NA,"synop ?"
"12",-0.316554145205021,-78.1921614444443,4312.14989254595,108.009943568354,95,22,40,NA,NA,""
"13",-0.316522145205021,-78.1921760982718,4311.91066281076,111.963922463849,100,15,16,NA,NA,""
"14",-0.316491145205021,-78.19219391622,4311.65186114497,115.917901359345,105,19,29,NA,NA,""
"15",-0.316461145205021,-78.1922141213791,4311.37011521618,119.87188025484,110,7,42,NA,NA,"wetland outlet"
"16",-0.316433145205021,-78.1922349937385,4311.06031616314,123.825859150335,115,11,20,NA,NA,"wetland inlet, little waterfalls"
"17",-0.316402145205021,-78.1922593568766,4310.67703642568,128.26776332123,120,7,250,NA,NA,""
"18",-0.316370145205021,-78.1922843854673,4310.27053641355,132.709667492125,125,8,240,NA,NA,""
"19",-0.316351145205021,-78.1922985379605,4310.03888767306,135.374809994662,128,NA,NA,NA,NA,"wetland outlet"
"20",-0.316337145205021,-78.1923084939749,4309.87879351175,137.291171484205,130,5,22,NA,NA,""
"21",-0.316301145205021,-78.1923327514233,4309.51045343144,142.082075208061,135,14,35,NA,NA,""
"22",-0.316266145205021,-78.192357464923,4309.1594520033,146.872978931918,140,8,105,NA,NA,""
"23",-0.316240145205021,-78.1923799542488,4308.85757848915,150.705701911003,144,NA,NA,NA,NA,"waterfall 167 cm"
"24",-0.316234145205021,-78.1923859567887,4308.78162307316,151.663882655774,145,30,160,NA,NA,""
"25",-0.316210145205021,-78.1924137461447,4308.45122188274,155.756711510508,150,10,67,NA,NA,""
"26",-0.316189145205021,-78.1924432758728,4308.11924777623,159.849540365242,155,14,50,NA,NA,""
"27",-0.316169145205021,-78.1924753472771,4307.76174281432,163.942369219975,160,4,20,NA,NA,""
"28",-0.316151145205021,-78.1925063194258,4307.40767285005,168.035198074709,165,13,48,NA,NA,""
"29",-0.316133145205021,-78.1925377909728,4307.02908620544,172.128026929443,170,10,41,NA,NA,""
"30",-0.316114145205021,-78.1925698921902,4306.62115605037,176.220855784177,175,26,79,NA,NA,""
"31",-0.316102145205021,-78.1925889211434,4306.36874227656,178.676553097017,178,NA,NA,NA,NA,""
"32",-0.316092145205021,-78.1926037953812,4306.1653404647,180.610073168433,180,3,71,NA,NA,""
"33",-0.316066145205021,-78.1926374493606,4305.67865080703,185.443873346972,185,6,57,NA,NA,""
"34",-0.316034145205021,-78.1926676864194,4305.1703533407,190.277673525512,190,15,12,NA,NA,""
"35",-0.315996145205021,-78.1926874783221,4304.63716671072,195.111473704051,195,14,30,NA,NA,""
"36",-0.315955145205021,-78.1926922461021,4304.12890199417,199.770303294355,200,8,44,NA,NA,""
"37",-0.315938145205021,-78.1926904694924,4303.93411076826,201.633835130477,202,NA,NA,NA,NA,"wetland inlet, little waterfalls"
"38",-0.315901145205021,-78.1926820897758,4303.55787679655,205.888893559783,206,29.5,35,NA,NA,""
"39",-0.315864145205021,-78.1926716275594,4303.15218746081,210.14395198909,210,18,52,NA,NA,""
"40",-0.315817145205021,-78.192662288082,4302.62227258442,215.462775025723,215,29,26,NA,NA,""
"41",-0.315779145205021,-78.1926621665603,4302.32502964276,219.717833455029,219,NA,NA,NA,NA,"syn 5"
"42",-0.315770145205021,-78.1926633706104,4302.27108865642,220.726509409812,220,12,49,NA,NA,""
"43",-0.315727145205021,-78.1926760017653,4302.07635970943,225.769889183728,225,17,42,NA,NA,""
"44",-0.315687145205021,-78.1926971752039,4301.96409025069,230.813268957644,230,23,15,NA,NA,""
"45",-0.315649145205021,-78.1927234248363,4301.88344054847,235.85664873156,235,24,53,NA,NA,""
"46",-0.315613145205021,-78.1927508878279,4301.83340265358,240.900028505477,240,19,42,NA,NA,""
"47",-0.315599145205021,-78.192761579641,4301.836967452,242.917380415043,242,NA,NA,NA,NA,"syn 5"
"48",-0.315571145205021,-78.1927819940262,4301.81451565427,246.775048868702,245,169,41,NA,NA,""
"49",-0.315532145205021,-78.1928062752074,4301.80271308647,251.849727654233,250,31,158,NA,NA,""
"50",-0.315491145205021,-78.1928241947428,4301.76069754206,256.924406439764,255,31,49,NA,NA,""
