lat_fit,lon_fit,ele_fit,x_pred,x,d,w,Date,Flux_ave,adjusted_ppm,DOC,TDN,WaterTemp_c,BaroPress_kpa,AirTemp_c,Total_hPa,VaisalaType,EOS_no,notes,ele_arcpro,dist_diff,slope,Q_m3s
-0.325531711,-78.19971107,4118.342277,152.3860047,215.8,7,81,,NA,NA,NA,NA,,,,,,,,4114.644043,20,0.317480469,
-0.325539711,-78.19971099,4117.995855,153.2961346,216.8,NA,NA,,NA,NA,NA,NA,,,,,,,underground,4114.644043,,,
-0.325556711,-78.1997106,4117.396696,155.1163945,218.8,NA,NA,,NA,NA,NA,NA,,,,,,,underground,4113.597656,,,
-0.325613711,-78.19970785,4115.730149,161.4873039,225.8,7,81,,NA,NA,NA,NA,,,,,,,,4111.538574,20,0.294848633,
-0.325621711,-78.19970738,4115.554278,162.4082781,,,,6/29/21,0.16,496.5489676,NA,NA,8.3385,62.4499,7.206,626.9874,new,EOS2,,,,,
-0.325694711,-78.19970416,4114.474112,170.588603,235.8,13,38,,NA,NA,NA,NA,,,,,,,,4108.74707,20,0.229345703,
-0.325695711,-78.19970414,4114.455979,170.679616,235.9,NA,NA,,NA,NA,NA,NA,,,,,,,underground,4108.74707,,,
-0.325715711,-78.19970412,4114.008898,172.8639278,238.3,NA,NA,,NA,NA,NA,NA,,,,,,,underground,4108.03418,,,
-0.325739711,-78.19970488,4113.151795,175.5541452,,,,6/29/21,1.91,NA,3.44,0.1274,NA,NA,NA,NA,NA,EOS2,,,,,
-0.325776711,-78.19970814,4111.472924,179.6899022,245.8,12,72,,NA,NA,NA,NA,,,,,,,,4106.95166,,,
-0.325779711,-78.19970853,4111.390966,180.0266847,,,,6/30/21,0.09,924.8185183,NA,NA,8.5275,62.3602,6.823,626.0904,old,EOS2,,,,0.05046385,
-0.326028711,-78.19981459,4110.958215,210.4247343,,,,6/29/21,0.61,1407.279904,NA,NA,8.53225,62.4384,7.215,626.8724,new,EOS2,,,,0,
-0.326100711,-78.1998589,4109.626364,219.8367581,,,,6/30/21,0.43,789.0074568,7.943,0.2281,8.31275,62.3698,6.768,626.1864,old,EOS2,,,,0,
-0.326343711,-78.19987522,4107.20717,248.5905299,,,,6/30/21,0.145,811.6096596,NA,NA,8.36025,62.3745,6.809,626.2334,old,EOS2,,,,0,0.000908
