lat_fit,lon_fit,ele_fit,x_pred,x,d,w,date,Flux_ave,adjusted_ppm,DOC,TDN,AirTemp_c,Total_hPa,VaisalaType,EOS_no,notes,ele_arcpro,dist_diff_mid,ele_diff_mid,slope_mid,dist_diff_up,ele_diff_up,slope_up,catchment_pixel,catchment_ha,catchment_ha,Q_m_s,WaterTemp_c
,,,-4.373812,,,,,,,,,,,,,,4326.86084,,,,,,,,,,,
,,,0.626188,0,3,10,,NA,NA,,,,,,,,4326.539062,,,,,,,250,0.225,,,
-0.317451145,-78.1921631,4321.077399,6.396210494,5,2,13,,NA,NA,,,6.667,627.6114,,,,4325.638672,,,,,,,276,0.2484,0.3159,0.000429,9.09625
-0.317404145,-78.19217594,4319.879283,11.79020835,10,3,22,,NA,NA,,,,,,,,4324.359863,,,,,,,324,0.2916,,,
-0.317357145,-78.19218571,4318.791344,17.18420621,15,4,54,44382,1,5341.61136,3.226,0.125,6.667,627.6114,old,EOS2,,4323.452637,21.57599145,-5.481934,0.254075648,21.55801821,-3.086425,0.143168308,351,0.3159,0.3159,,9.09625
-0.317309145,-78.19219422,4317.781605,22.57820408,20,5,23,,NA,NA,,,,,,,,4322.057129,,,,,,,408,0.3672,,,
-0.317261145,-78.19220187,4316.861419,27.97220194,25,4,32,44382,0.085,1276.566228,NA,NA,6.666,627.7364,old,EOS2,,4320.156738,21.57599145,-5.918946,0.274330198,10.78799573,-3.295899,0.305515416,522,0.4698,0.4698,,8.905
-0.317213145,-78.19220856,4316.021322,33.3661998,30,11,16,,NA,NA,,,,,,,,4318.401367,,,,,,,596,0.5364,,,
-0.317165145,-78.19221374,4315.253827,38.76019766,35,8,17,,NA,NA,,,,,,,,4317.533691,,,,,,,603,0.5427,,,
-0.317135145,-78.19221589,4314.845122,42.12155203,,,,44382,0.055,1132.429194,3.059,0.09726,6.662,627.8904,old,EOS2,,4313.194336,15.10319401,-3.686523,0.244088965,19.54334795,-8.862793,0.453494101,613,0.5517,0.5517,,8.53875
-0.317117145,-78.19221669,4314.635668,44.15419552,40,5,26,,NA,NA,,,,,,,,4315.925781,,,,,,,613,0.5517,,,
-0.317096145,-78.1922171,4314.422195,46.46553906,,,,44382,1.365,11459.57361,2.809,0.101,6.666,627.9044,old,EOS2,,4315.320313,14.95009108,-3.211425,0.214809728,18.49333712,-4.8364255,0.261522594,617,0.5553,0.5553,,8.41425
-0.317078145,-78.19221697,4314.263596,48.46939381,44,NA,NA,NA,NA,NA,,,,,,,"wetland inlet, little waterfalls",4314.714844,,,,,,,620,0.558,,0.000429,
-0.317031145,-78.1922144,4313.942179,53.71028874,50,NA,NA,NA,NA,NA,,,,,,,synop ?,4314.322266,63.85574808,-2.731445,0.042775241,20.34408894,-4.079101,0.200505464,625,0.5625,,,
-0.316554145,-78.19216144,4312.149893,108.0099436,95,22,40,,NA,NA,,,,,,,,4313.194336,,,,,,,2782,2.5038,,,
-0.316522145,-78.1921761,4311.910663,111.9639225,100,15,16,44383,0.255,4894.492681,2.405,0.1359,6.89,626.4394,old,EOS2,,4313.106445,11.8619367,-0.32959,0.027785513,58.25363376,-1.215821,0.020871162,2783,2.5047,,,
-0.316491145,-78.19219392,4311.651861,115.9179014,105,19,29,,NA,NA,,,,,,,,4312.996094,,,,,,,2784,2.5056,,,
