lat_fit,lon_fit,ele_fit,x_pred,date,x,d,w,Flux_ave,adjusted_ppm,DOC,TDN,WaterTemp_c,BaroPress_kpa,AirTemp_c,Total_hPa,VaisalaType,EOS_no,notes,ele_arcpro,dist_diff,slope,Q_m3s
-0.328786993,-78.20058888,4100.795229,73.02212874,6/18/21,,,,0.505,4817.05608,NA,NA,8.29475,62.3688,7.886,626.1764,new,EOS1,,,,,
-0.328839993,-78.20059719,4099.837021,79.03715067,,79,14,75,NA,NA,NA,NA,,,,,,,,4095.780273,20,0.10690918,
-0.328907993,-78.20061753,4098.208394,86.96456534,,89,7,48,NA,NA,NA,NA,,,,,,,little waterfall,4094.476074,20,0.145849609,
-0.328911993,-78.20061905,4098.095857,87.43295192,,89.5,NA,NA,NA,NA,NA,NA,,,,,,,"little trib, river rt",4094.476074,,,
-0.328984993,-78.20065225,4095.924029,96.33229683,,99,6,62,NA,NA,NA,NA,,,,,,,,4092.863281,20,0.147216797,
-0.328999993,-78.20066024,4095.490436,98.20584313,,101,6,50,NA,NA,NA,NA,,,,,,,syn,4092.863281,,,
-0.329001993,-78.20066133,4095.43408,98.45946946,6/18/21,,,,0.515,2236.719952,NA,NA,8.21225,62.3907,7.875,626.3954,new,EOS1,,,,,
-0.329036993,-78.20068135,4094.533747,102.9484209,6/18/21,,,,0.305,1758.938182,NA,NA,8.15625,62.3952,7.868,626.4404,new,EOS1,,,,,
-0.329064993,-78.20069849,4093.980192,106.6063706,,109,9,59,NA,NA,NA,NA,,,,,,,,4091.531738,20,0.17824707,
-0.329072993,-78.20070355,4093.80689,107.6564365,,110,18,42,NA,NA,NA,NA,,,,,,,syn,4090.695801,,,
-0.329084993,-78.20071125,4093.565291,109.2436607,,111,NA,NA,NA,NA,NA,NA,,,,,,,top of waterfall - > still very steep,4090.695801,,,
-0.329094993,-78.20071776,4093.359555,110.5724305,,114,NA,NA,NA,NA,NA,NA,,,,,,,base of waterfall,4090.125732,,,
-0.329121993,-78.20073576,4092.932144,114.2157327,,118,NA,NA,NA,NA,NA,NA,,,,,,,plung poo,4089.29834,,,
-0.329128993,-78.20074052,4092.854206,115.1265583,,119,37,81,NA,NA,NA,NA,,,,,,,syn,4089.29834,20,0.231018066,
-0.329198993,-78.2007894,4092.440148,124.6310229,6/18/21,,,,0.135,899.4165224,NA,NA,8.0995,62.413,7.857,626.6184,new,EOS1,,,,,
-0.329203993,-78.20079296,4092.414138,125.3143311,,129,16,69,NA,NA,NA,NA,,,,,,,syn,4086.911377,20,0.238684082,
-0.329277993,-78.20084616,4091.430836,135.5021039,,139,16,25,NA,NA,NA,NA,,,,,,,,4084.524658,20,0.200598145,
-0.329304993,-78.20086568,4090.701446,139.1841826,,144.5,NA,NA,NA,NA,NA,NA,,,,,,,river splits,4083.687012,,,
-0.329333993,-78.20088666,4089.867365,143.2109137,,149,40,76,NA,NA,NA,NA,,,,,,,river splits,4082.899414,20,0.151525879,
-0.329335993,-78.2008881,4089.8121,143.4276332,6/18/21,,,,0.99,794.6122934,NA,NA,8.009,62.4284,7.844,626.7724,new,EOS1,,,,,
-0.329341993,-78.20089244,4089.650121,144.2847087,,150.2,NA,NA,NA,NA,NA,NA,,,,,,,river splits,4082.899414,,,
-0.329353993,-78.20090113,4089.348373,145.8954011,,152,NA,NA,NA,NA,NA,NA,,,,,,,waterfalls,4082.899414,,,
-0.329379993,-78.20091996,4088.846853,149.4747176,,156,NA,NA,NA,NA,NA,NA,,,,,,,"river underground, segundo and liz did this synop",4082.176025,,,
-0.329399993,-78.20093447,4088.622511,152.159205,,159,18,80,NA,NA,NA,NA,,,,,,,,4081.494141,20,0.111938477,
-0.329463993,-78.20098126,4088.229896,161.1074963,,169,30,74,NA,NA,NA,NA,,,,,,,groundwater (underground stream) ruver rt,4080.660645,20,0.070678711,
-0.329469993,-78.20098569,4088.209199,161.9067572,,179,14,45,NA,NA,NA,NA,,,,,,,,4080.080566,20,0.054150391,
