lat_fit,lon_fit,ele_fit,x_pred,ele_arcpro,x,d,w,date,Flux_ave,adjusted_ppm,DOC,TDN,AirTemp_c,Total_hPa,VaisalaType,EOS_no,notes,dist_diff_middle,ele_diff_mid,slope_mid,dist_diff_up,ele_diff_mid,slope_up,Q_m_s,WaterTemp_c,cathment_pixel,catchment_ha
,,,-20,3946.52002,,,,,,,,,,,,,,,,,,,,,,55783,50.2047
,,,-10,3946.228516,,,,,,,,,,,,,,,,,,,,,,55894,
-0.340086411,-78.19951187,3948.640213,2.774599164,3946.07251,0,53,35,44386,-0.665,701.356737,,,6.932,626.0484,old,EOS_2,synop 0,24.77237845,-0.156006,0.006297579,22.77459916,-0.44751,0.019649523,0.08249643,7.28,56081,50.4729
-0.340184411,-78.19950195,3948.289113,14.77237845,3946.07251,10,25,60,,NA,NA,,,,,,,,,,,,,,,,56168,50.5512
-0.340283411,-78.1995384,3947.888229,26.77015774,3945.658203,20,20,84,,NA,NA,,,,,,,,,,,,,,,,56211,50.5899
-0.340388411,-78.19955774,3947.437519,38.76793703,3944.343262,30,27,60,,NA,NA,,,,,,,,,,,,,,,,59315,53.3835
-0.340495411,-78.19957606,3946.933861,50.76571632,3943.44458,40,14,84,,NA,NA,,,,,,,,,,,,,,,,59358,53.4222
-0.340516411,-78.19957846,3946.830137,53.16527218,3943.261963,42,NA,NA,44386,0.175,NA,,,NA,NA,NA,EOS_1,synop 1,21.22499648,-1.426026,0.06718616,26.39511444,-2.39624,0.090783467,,,59363,53.4267
-0.340577411,-78.19957192,3946.516746,59.99293351,3942.917236,50,30,57,,NA,NA,,,,,,,,,,,,,,,,83990,75.591
-0.340644411,-78.19953526,3946.103863,68.52751017,3942.849854,60,24,50,,NA,NA,,,,,,,,,,,,,,,,84034,75.6306
-0.340699411,-78.19948173,3945.665161,77.06208683,3942.849854,70,25,55,,NA,NA,,,,,,,,,,,,,,,,84036,75.6324
-0.340746411,-78.19942263,3945.20875,85.59666349,3942.849854,80,25,95,,NA,NA,,,,,,,,,,,,,,,,84038,75.6342
-0.340791411,-78.1993596,3944.714447,94.13124015,3942.849854,90,24,40,,NA,NA,,,,,,,,,,,,,,,,84040,75.636
-0.340804411,-78.19934106,3944.56463,96.69161314,3942.849854,93,NA,NA,44386,0.16,883.8983801,,,6.927,626.2844,old,EOS_2,synop 2,26.27618361,0,0,11.09494965,0,0,,7.179,84041,75.6369
-0.340837411,-78.19929476,3944.176037,102.9427095,3942.849854,100,24,70,,NA,NA,,,,,,,,,,,,,,,,84042,75.6378
-0.340886411,-78.19923157,3943.600605,111.8728471,3942.849854,110,31,30,,NA,NA,,,,,,,,,,,,,,,,84044,75.6396
-0.340941411,-78.19917358,3942.994006,120.8029847,3942.849854,120,26,60,,NA,NA,,,,,,,,,,,,,,,,84046,75.6414
-0.341005411,-78.19912655,3942.362397,129.7331223,3942.849854,130,18,75,,NA,NA,,,,,,,,,,,,,,,,84048,75.6432
-0.341072411,-78.19909868,3941.763139,137.7702462,3942.849854,139,NA,NA,44386,1.25,NA,,,NA,NA,NA,EOS_1,syn 3,16.9672615,0,0,16.9672615,0,0,,,84050,75.645
-0.341080411,-78.19909647,3941.693507,138.6632599,3942.849854,140,47,58,,NA,NA,,,,,,,,,,,,,,,,84050,75.645
-0.341150411,-78.19908133,3941.082992,146.7003838,3942.849854,149,NA,NA,,NA,NA,,,,,,,waterfall upstream,,,,,,,,,86800,78.12
-0.341158411,-78.19907957,3941.012121,147.5933975,3942.849854,150,22,80,,NA,NA,,,,,,,,,,,,,,,,86800,78.12
-0.341237411,-78.19905013,3940.219686,156.957704,3942.849854,160,31,96,,NA,NA,,,,,,,,,,,,,,,,88107,79.2963
-0.341301411,-78.19899758,3939.345254,166.3220104,3942.331299,170,25,100,,NA,NA,,,,,,,,,,,,,,,,88109,79.2981
-0.341354411,-78.19893067,3938.413039,175.6863169,3939.856934,180,24,65,,NA,NA,,,,,,,,,,,,,,,,88111,79.2999
-0.341363411,-78.19891757,3938.241356,177.5591782,3939.856934,182,NA,NA,44386,0.075,761.8216451,,,6.925,626.2944,old,EOS_2,syn 4,18.7286129,-5.530274,0.295284762,20.6014742,-2.99292,0.145276982,,7.129,88111,79.2999
-0.341400411,-78.19886054,3937.530868,185.0506233,3936.801025,190,30,60,,NA,NA,,,,,,,,,,,,,,,,88134,79.3206
-0.341418411,-78.19883202,3937.200137,188.7963459,3934.958008,194,NA,NA,,NA,NA,,,,,,,waterfall downstream,,,,,,,,,88147,79.3323
-0.341445411,-78.19879016,3936.748874,194.4149298,3934.366211,200,35,44,,NA,NA,,,,,,,,,,,,,,,,88282,79.4538
-0.341497411,-78.19872047,3935.96753,204.0255187,3934.366211,210,42,32,,NA,NA,,,,,,,,,,,,,,,,88376,79.5384
-0.341534411,-78.19868622,3935.502355,209.7918721,3934.366211,216,NA,NA,44384,2.47,840.9457288,,,6.872,626.0604,old,EOS_2,syn 5,19.2211779,-0.073975,0.003848619,20.9955262,-0.591797,0.028186814,,7.832,88429,79.5861
-0.341565411,-78.19867031,3935.179784,213.6361076,3934.366211,220,27,48,,NA,NA,,,,,,,,,,,,,,,,88758,79.8822
-0.341647411,-78.19868567,3934.398063,223.2466966,3934.292236,230,27,30,,NA,NA,,,,,,,,,,,,,,,,89153,80.2377
-0.341714411,-78.19874079,3933.658085,232.8572855,3933.963135,240,20,77,,NA,NA,,,,,,,,,,,,,,,,89164,80.2476
-0.341779411,-78.19879692,3933.005891,242.4678744,3933.571777,,,,44386,0.505,NA,,,NA,NA,NA,EOS_1,,19.2211778,-0.720459,0.037482563,19.2211778,-0.720459,0.037482563,,,89196,80.2764
-0.341779411,-78.19879692,3933.005891,242.4678744,3933.571777,250,38,60,,NA,NA,,,,,,,,,,,,,,,,89196,80.2764
-0.341862411,-78.19882813,3932.419078,252.4578848,3933.318359,260,53,44,,NA,NA,,,,,,,,,,,,,,,,89213,80.2917
-0.341888411,-78.19882458,3932.26404,255.4548879,3933.21582,263,NA,NA,,NA,NA,,,,,,,syn 6,,,,,,,,,89215,80.2935
-0.341937411,-78.19880158,3931.962885,261.4942155,3932.940918,,,,44384,1.73,727.4525297,,,6.872,626.0604,new,EOS_1,,19.9800208,-0.885009,0.044294699,19.0263411,-0.630859,0.033157137,,7.832,89362,80.4258
-0.341944411,-78.1987968,3931.918043,262.4478952,3932.783447,270,17,15,,NA,NA,,,,,,,weland-y,,,,,,,,,89380,80.442
-0.342012411,-78.19873731,3931.468448,272.4379056,3932.43335,280,35,60,,NA,NA,,,,,,,,,,,,,,,,89616,80.6544
-0.342049411,-78.19869943,3931.224053,278.4319119,3932.022461,286,NA,NA,,NA,NA,,,,,,,Lots ground water bubbling up,,,,,,,,,89630,80.667
