Device Name:,,OM-CP-VOLT101A,,,,,,,,
Device Description:,,Voltage Data Logger,,,,,,,,
Serial Number:,,R37298,,,,,,,,
Device ID:,,SynopticNew,,,,,,,,
,,,,,,,,,,
,,Channel 1,,,,,,,,
Date,Time,Voltage (ppm),Tract,Description,Point,XCoordinate,Ycoordinate,WaterSample,Notes,Notes_2
6/29/2021,10:00:08 AM,1131.69,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:00:13 AM,1142.72,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:00:18 AM,1152.24,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:00:23 AM,1160.51,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:00:28 AM,1172.04,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:00:33 AM,1182.06,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:00:38 AM,1188.58,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:00:43 AM,1206.37,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:00:48 AM,1215.39,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:00:53 AM,1220.4,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:00:58 AM,1223.66,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:01:03 AM,1230.18,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:01:08 AM,1236.44,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:01:13 AM,1242.71,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:01:18 AM,1256.99,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
