Device Name:,,OM-CP-VOLT101A,,,,,,,
Device Description:,,Voltage Data Logger,,,,,,,
Serial Number:,,R37298,,,,,,,
Device ID:,,SynopticNew,,,,,,,
,,,,,,,,,
,,Channel 1,,,,,,,
Date,Time,Voltage (ppm),Tract,Description,Point,XCoordinate,Ycoordinate,WaterSample,Notes
6/30/2021,9:55:55 AM,387.42,1,Parallel to point 2 at 1340 on 2021-06-29,1,NA,NA,NA,NA
6/30/2021,9:56:00 AM,378.9,1,Parallel to point 2 at 1340 on 2021-06-30,1,NA,NA,NA,NA
6/30/2021,9:56:05 AM,374.39,1,Parallel to point 2 at 1340 on 2021-06-31,1,NA,NA,NA,NA
6/30/2021,9:56:10 AM,373.64,1,Parallel to point 2 at 1340 on 2021-06-32,1,NA,NA,NA,NA
6/30/2021,9:56:15 AM,376.14,1,Parallel to point 2 at 1340 on 2021-06-33,1,NA,NA,NA,NA
6/30/2021,9:56:20 AM,379.65,1,Parallel to point 2 at 1340 on 2021-06-34,1,NA,NA,NA,NA
6/30/2021,9:56:25 AM,391.18,1,Parallel to point 2 at 1340 on 2021-06-35,1,NA,NA,NA,NA
6/30/2021,9:56:30 AM,409.97,1,Parallel to point 2 at 1340 on 2021-06-36,1,NA,NA,NA,NA
6/30/2021,9:56:35 AM,422.76,1,Parallel to point 2 at 1340 on 2021-06-37,1,NA,NA,NA,NA
6/30/2021,9:56:40 AM,436.04,1,Parallel to point 2 at 1340 on 2021-06-38,1,NA,NA,NA,NA
6/30/2021,9:56:45 AM,445.06,1,Parallel to point 2 at 1340 on 2021-06-39,1,NA,NA,NA,NA
6/30/2021,9:56:50 AM,456.34,1,Parallel to point 2 at 1340 on 2021-06-40,1,NA,NA,NA,NA
6/30/2021,9:56:55 AM,466.36,1,Parallel to point 2 at 1340 on 2021-06-41,1,NA,NA,NA,NA
6/30/2021,9:57:00 AM,478.14,1,Parallel to point 2 at 1340 on 2021-06-42,1,NA,NA,NA,NA
6/30/2021,9:57:05 AM,485.15,1,Parallel to point 2 at 1340 on 2021-06-43,1,NA,NA,NA,NA
6/30/2021,9:57:10 AM,492.92,1,Parallel to point 2 at 1340 on 2021-06-44,1,NA,NA,NA,NA
6/30/2021,9:57:15 AM,494.18,1,Parallel to point 2 at 1340 on 2021-06-45,1,NA,NA,NA,NA
6/30/2021,9:57:20 AM,485.15,1,Parallel to point 2 at 1340 on 2021-06-46,1,NA,NA,NA,NA
6/30/2021,9:57:25 AM,473.63,1,Parallel to point 2 at 1340 on 2021-06-47,1,NA,NA,NA,NA
6/30/2021,9:57:30 AM,449.82,1,Parallel to point 2 at 1340 on 2021-06-48,1,NA,NA,NA,NA
6/30/2021,9:57:35 AM,423.01,1,Parallel to point 2 at 1340 on 2021-06-49,1,NA,NA,NA,NA
6/30/2021,9:57:40 AM,411.23,1,Parallel to point 2 at 1340 on 2021-06-50,1,NA,NA,NA,NA
6/30/2021,9:57:45 AM,401.2,1,Parallel to point 2 at 1340 on 2021-06-51,1,NA,NA,NA,NA
6/30/2021,9:57:50 AM,398.7,1,Parallel to point 2 at 1340 on 2021-06-52,1,NA,NA,NA,NA
6/30/2021,9:57:55 AM,394.44,1,Parallel to point 2 at 1340 on 2021-06-53,1,NA,NA,NA,NA
