"Plot Title: DO_2"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20645540, SEN S/N: 20645540)","Temp, °C (LGR S/N: 20645540, SEN S/N: 20645540)","Coupler Attached (LGR S/N: 20645540)","Coupler Detached (LGR S/N: 20645540)","Host Connected (LGR S/N: 20645540)","Stopped (LGR S/N: 20645540)","End Of File (LGR S/N: 20645540)"
1,06/18/21 12:15:00 PM,4.73,9.60,,,,,
2,06/18/21 12:30:00 PM,4.94,9.48,,,,,
3,06/18/21 12:45:00 PM,4.95,9.36,,,,,
4,06/18/21 01:00:00 PM,4.98,9.20,,,,,
5,06/18/21 01:15:00 PM,4.97,9.04,,,,,
6,06/18/21 01:30:00 PM,5.00,8.96,,,,,
7,06/18/21 01:45:00 PM,5.10,9.00,,,,,
8,06/18/21 02:00:00 PM,5.06,9.08,,,,,
9,06/18/21 02:15:00 PM,5.04,9.16,,,,,
10,06/18/21 02:30:00 PM,5.02,9.14,,,,,
11,06/18/21 02:45:00 PM,5.04,9.00,,,,,
12,06/18/21 03:00:00 PM,5.02,8.80,,,,,
13,06/18/21 03:15:00 PM,5.02,8.58,,,,,
14,06/18/21 03:30:00 PM,5.04,8.42,,,,,
15,06/18/21 03:45:00 PM,5.00,8.38,,,,,
16,06/18/21 04:00:00 PM,4.98,8.46,,,,,
17,06/18/21 04:15:00 PM,5.01,8.60,,,,,
18,06/18/21 04:30:00 PM,4.94,8.62,,,,,
19,06/18/21 04:45:00 PM,4.91,8.62,,,,,
20,06/18/21 05:00:00 PM,4.88,8.56,,,,,
21,06/18/21 05:15:00 PM,4.88,8.50,,,,,
22,06/18/21 05:30:00 PM,4.86,8.46,,,,,
23,06/18/21 05:45:00 PM,4.83,8.42,,,,,
24,06/18/21 06:00:00 PM,4.82,8.32,,,,,
25,06/18/21 06:15:00 PM,4.80,8.24,,,,,
26,06/18/21 06:30:00 PM,4.78,8.18,,,,,
27,06/18/21 06:45:00 PM,4.78,8.08,,,,,
28,06/18/21 07:00:00 PM,4.75,8.00,,,,,
29,06/18/21 07:15:00 PM,4.73,7.94,,,,,
30,06/18/21 07:30:00 PM,4.73,7.88,,,,,
31,06/18/21 07:45:00 PM,4.70,7.84,,,,,
32,06/18/21 08:00:00 PM,4.68,7.80,,,,,
33,06/18/21 08:15:00 PM,4.66,7.78,,,,,
34,06/18/21 08:30:00 PM,4.68,7.74,,,,,
35,06/18/21 08:45:00 PM,4.67,7.70,,,,,
36,06/18/21 09:00:00 PM,4.68,7.68,,,,,
37,06/18/21 09:15:00 PM,4.67,7.66,,,,,
38,06/18/21 09:30:00 PM,4.66,7.64,,,,,
39,06/18/21 09:45:00 PM,4.66,7.60,,,,,
40,06/18/21 10:00:00 PM,4.65,7.58,,,,,
41,06/18/21 10:15:00 PM,4.64,7.56,,,,,
42,06/18/21 10:30:00 PM,4.67,7.54,,,,,
43,06/18/21 10:45:00 PM,4.66,7.50,,,,,
44,06/18/21 11:00:00 PM,4.65,7.48,,,,,
