Device Name:,,OM-CP-VOLT101A,,,,,,
Device Description:,,Voltage Data Logger,,,,,,
Serial Number:,,R37298,,,,,,
Device ID:,,Box05,,,,,,
,,,,,,,,
,,Channel 1,,,,,,
Date,Time,Voltage (ppm),Tract,Description,Point,X,Y,WaterSample
6/23/2021,10:24:19 AM,107.51,NA,NA,NA,NA,NA,NA
6/23/2021,10:24:24 AM,107.51,NA,NA,NA,NA,NA,NA
6/23/2021,10:24:29 AM,107.51,NA,NA,NA,NA,NA,NA
6/23/2021,10:24:34 AM,106.25,NA,NA,NA,NA,NA,NA
6/23/2021,10:24:39 AM,106.25,NA,NA,NA,NA,NA,NA
6/23/2021,10:24:44 AM,106.25,NA,NA,NA,NA,NA,NA
6/23/2021,10:24:49 AM,106.25,NA,NA,NA,NA,NA,NA
6/23/2021,10:24:54 AM,106.25,NA,NA,NA,NA,NA,NA
6/23/2021,10:24:59 AM,106.25,NA,NA,NA,NA,NA,NA
6/23/2021,10:25:04 AM,106.25,NA,NA,NA,NA,NA,NA
6/23/2021,10:25:09 AM,105,NA,NA,NA,NA,NA,NA
6/23/2021,10:25:14 AM,103.75,NA,NA,NA,NA,NA,NA
6/23/2021,10:25:19 AM,103.75,NA,NA,NA,NA,NA,NA
6/23/2021,10:25:24 AM,103.75,NA,NA,NA,NA,NA,NA
6/23/2021,10:25:29 AM,103.75,NA,NA,NA,NA,NA,NA
6/23/2021,10:25:34 AM,103.75,NA,NA,NA,NA,NA,NA
6/23/2021,10:25:39 AM,105,NA,NA,NA,NA,NA,NA
6/23/2021,10:25:44 AM,105,NA,NA,NA,NA,NA,NA
6/23/2021,10:25:49 AM,105,NA,NA,NA,NA,NA,NA
6/23/2021,10:25:54 AM,106.25,NA,NA,NA,NA,NA,NA
6/23/2021,10:25:59 AM,106.25,NA,NA,NA,NA,NA,NA
6/23/2021,10:26:04 AM,106.25,NA,NA,NA,NA,NA,NA
6/23/2021,10:26:09 AM,106.25,NA,NA,NA,NA,NA,NA
6/23/2021,10:26:14 AM,107.51,NA,NA,NA,NA,NA,NA
6/23/2021,10:26:19 AM,107.51,NA,NA,NA,NA,NA,NA
6/23/2021,10:26:24 AM,108.76,NA,NA,NA,NA,NA,NA
6/23/2021,10:26:29 AM,108.76,NA,NA,NA,NA,NA,NA
6/23/2021,10:26:34 AM,107.51,NA,NA,NA,NA,NA,NA
6/23/2021,10:26:39 AM,107.51,NA,NA,NA,NA,NA,NA
6/23/2021,10:26:44 AM,106.25,NA,NA,NA,NA,NA,NA
6/23/2021,10:26:49 AM,106.25,NA,NA,NA,NA,NA,NA
6/23/2021,10:26:54 AM,106.25,NA,NA,NA,NA,NA,NA
6/23/2021,10:26:59 AM,106.25,NA,NA,NA,NA,NA,NA
6/23/2021,10:27:04 AM,106.25,NA,NA,NA,NA,NA,NA
6/23/2021,10:27:09 AM,106.25,NA,NA,NA,NA,NA,NA
6/23/2021,10:27:14 AM,106.25,NA,NA,NA,NA,NA,NA
6/23/2021,10:27:19 AM,105,NA,NA,NA,NA,NA,NA
6/23/2021,10:27:24 AM,105,NA,NA,NA,NA,NA,NA
6/23/2021,10:27:29 AM,105,NA,NA,NA,NA,NA,NA
6/23/2021,10:27:34 AM,105,NA,NA,NA,NA,NA,NA
6/23/2021,10:27:39 AM,106.25,NA,NA,NA,NA,NA,NA
6/23/2021,10:27:44 AM,107.51,NA,NA,NA,NA,NA,NA
6/23/2021,10:27:49 AM,107.51,NA,NA,NA,NA,NA,NA
6/23/2021,10:27:54 AM,107.51,NA,NA,NA,NA,NA,NA
6/23/2021,10:27:59 AM,107.51,NA,NA,NA,NA,NA,NA
6/23/2021,10:28:04 AM,108.76,NA,NA,NA,NA,NA,NA
6/23/2021,10:28:09 AM,108.76,NA,NA,NA,NA,NA,NA
6/23/2021,10:28:14 AM,110.01,NA,NA,NA,NA,NA,NA
6/23/2021,10:28:19 AM,110.01,NA,NA,NA,NA,NA,NA
6/23/2021,10:28:24 AM,110.01,NA,NA,NA,NA,NA,NA
6/23/2021,10:28:29 AM,110.01,NA,NA,NA,NA,NA,NA
6/23/2021,10:28:34 AM,110.01,NA,NA,NA,NA,NA,NA
6/23/2021,10:28:39 AM,110.01,NA,NA,NA,NA,NA,NA
6/23/2021,10:28:44 AM,110.01,NA,NA,NA,NA,NA,NA
6/23/2021,10:28:49 AM,110.01,NA,NA,NA,NA,NA,NA
6/23/2021,10:28:54 AM,110.01,NA,NA,NA,NA,NA,NA
6/23/2021,10:28:59 AM,110.01,NA,NA,NA,NA,NA,NA
6/23/2021,10:29:04 AM,110.01,NA,NA,NA,NA,NA,NA
6/23/2021,10:29:09 AM,111.26,NA,NA,NA,NA,NA,NA
6/23/2021,10:29:14 AM,111.52,NA,NA,NA,NA,NA,NA
6/23/2021,10:29:19 AM,111.26,NA,NA,NA,NA,NA,NA
6/23/2021,10:29:24 AM,110.01,NA,NA,NA,NA,NA,NA
6/23/2021,10:29:29 AM,110.01,NA,NA,NA,NA,NA,NA
6/23/2021,10:29:34 AM,111.26,NA,NA,NA,NA,NA,NA
6/23/2021,10:29:39 AM,113.77,NA,NA,NA,NA,NA,NA
6/23/2021,10:29:44 AM,113.77,NA,NA,NA,NA,NA,NA
6/23/2021,10:29:49 AM,113.77,NA,NA,NA,NA,NA,NA
6/23/2021,10:29:54 AM,114.02,NA,NA,NA,NA,NA,NA
6/23/2021,10:29:59 AM,113.77,NA,NA,NA,NA,NA,NA
6/23/2021,10:30:04 AM,115.27,NA,NA,NA,NA,NA,NA
