,,Channel 1,,,,,,,,,
Date,Time,Voltage (ppm),Tract,Description,Point,lat,lon,ele,WS,Notes,
7/6/2021,10:40:01 AM,580.63,1,Starting below Antenas leapfrogging with EOS2 and old Vaisala,1,-0.316138566,-78.19256832,4293.87,NA,NA,ANTE
7/6/2021,10:40:06 AM,580.88,1,Starting below Antenas leapfrogging with EOS2 and old Vaisala,1,-0.316138566,-78.19256832,4293.87,NA,NA,ANTE
7/6/2021,10:40:11 AM,582.13,1,Starting below Antenas leapfrogging with EOS2 and old Vaisala,1,-0.316138566,-78.19256832,4293.87,NA,NA,ANTE
7/6/2021,10:40:16 AM,581.88,1,Starting below Antenas leapfrogging with EOS2 and old Vaisala,1,-0.316138566,-78.19256832,4293.87,NA,NA,ANTE
7/6/2021,10:40:21 AM,583.64,1,Starting below Antenas leapfrogging with EOS2 and old Vaisala,1,-0.316138566,-78.19256832,4293.87,NA,NA,ANTE
7/6/2021,10:40:26 AM,584.39,1,Starting below Antenas leapfrogging with EOS2 and old Vaisala,1,-0.316138566,-78.19256832,4293.87,NA,NA,ANTE
7/6/2021,10:40:31 AM,585.89,1,Starting below Antenas leapfrogging with EOS2 and old Vaisala,1,-0.316138566,-78.19256832,4293.87,NA,NA,ANTE
7/6/2021,10:40:36 AM,588.4,1,Starting below Antenas leapfrogging with EOS2 and old Vaisala,1,-0.316138566,-78.19256832,4293.87,NA,NA,ANTE
7/6/2021,10:40:41 AM,590.65,1,Starting below Antenas leapfrogging with EOS2 and old Vaisala,1,-0.316138566,-78.19256832,4293.87,NA,NA,ANTE
7/6/2021,10:40:46 AM,592.66,1,Starting below Antenas leapfrogging with EOS2 and old Vaisala,1,-0.316138566,-78.19256832,4293.87,NA,NA,ANTE
7/6/2021,10:40:51 AM,594.41,1,Starting below Antenas leapfrogging with EOS2 and old Vaisala,1,-0.316138566,-78.19256832,4293.87,NA,NA,ANTE
7/6/2021,10:40:56 AM,595.92,1,Starting below Antenas leapfrogging with EOS2 and old Vaisala,1,-0.316138566,-78.19256832,4293.87,NA,NA,ANTE
7/6/2021,10:41:01 AM,597.17,1,Starting below Antenas leapfrogging with EOS2 and old Vaisala,1,-0.316138566,-78.19256832,4293.87,NA,NA,ANTE
7/6/2021,10:41:06 AM,598.42,1,Starting below Antenas leapfrogging with EOS2 and old Vaisala,1,-0.316138566,-78.19256832,4293.87,NA,NA,ANTE
7/6/2021,10:41:11 AM,599.93,1,Starting below Antenas leapfrogging with EOS2 and old Vaisala,1,-0.316138566,-78.19256832,4293.87,NA,NA,ANTE
7/6/2021,10:41:16 AM,601.68,1,Starting below Antenas leapfrogging with EOS2 and old Vaisala,1,-0.316138566,-78.19256832,4293.87,NA,NA,ANTE
7/6/2021,10:41:21 AM,603.69,1,Starting below Antenas leapfrogging with EOS2 and old Vaisala,1,-0.316138566,-78.19256832,4293.87,NA,NA,ANTE
