Serial_number:
2020435
Project ID:

Location:
BelowLake_Downstream
BelowLake_Downstream
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,BelowLake_Downstream,TEMPERATURE
8/21/2021,01:15:00 pm,0,63.0697,7.898
8/21/2021,01:30:00 pm,0,63.0547,7.943
8/21/2021,01:45:00 pm,0,63.0420,7.960
8/21/2021,02:00:00 pm,0,63.0289,7.990
8/21/2021,02:15:00 pm,0,63.0126,8.033
8/21/2021,02:30:00 pm,0,63.0110,8.161
8/21/2021,02:45:00 pm,0,63.0052,8.314
8/21/2021,03:00:00 pm,0,63.0151,8.432
8/21/2021,03:15:00 pm,0,62.9978,8.423
8/21/2021,03:30:00 pm,0,62.9837,8.396
8/21/2021,03:45:00 pm,0,62.9892,8.391
8/21/2021,04:00:00 pm,0,62.9842,8.353
8/21/2021,04:15:00 pm,0,62.9873,8.350
8/21/2021,04:30:00 pm,0,62.9827,8.385
8/21/2021,04:45:00 pm,0,62.9704,8.395
8/21/2021,05:00:00 pm,0,62.9639,8.346
8/21/2021,05:15:00 pm,0,62.9655,8.269
8/21/2021,05:30:00 pm,0,62.9848,8.180
8/21/2021,05:45:00 pm,0,62.9749,8.059
8/21/2021,06:00:00 pm,0,62.9738,7.881
8/21/2021,06:15:00 pm,0,62.9662,7.685
8/21/2021,06:30:00 pm,0,62.9634,7.505
8/21/2021,06:45:00 pm,0,62.9519,7.318
8/21/2021,07:00:00 pm,0,62.9353,7.133
8/21/2021,07:15:00 pm,0,62.9240,6.966
8/21/2021,07:30:00 pm,0,62.9137,6.822
8/21/2021,07:45:00 pm,0,62.9044,6.686
8/21/2021,08:00:00 pm,0,62.8996,6.554
8/21/2021,08:15:00 pm,0,62.9129,6.428
8/21/2021,08:30:00 pm,0,62.9319,6.304
8/21/2021,08:45:00 pm,0,62.9569,6.193
8/21/2021,09:00:00 pm,0,62.9542,6.095
8/21/2021,09:15:00 pm,0,62.9652,6.000
8/21/2021,09:30:00 pm,0,62.9795,5.913
8/21/2021,09:45:00 pm,0,62.9606,5.830
8/21/2021,10:00:00 pm,0,62.9462,5.738
8/21/2021,10:15:00 pm,0,62.9321,5.649
8/21/2021,10:30:00 pm,0,62.9440,5.554
8/21/2021,10:45:00 pm,0,62.9403,5.464
8/21/2021,11:00:00 pm,0,62.9397,5.390
8/21/2021,11:15:00 pm,0,62.9320,5.325
8/21/2021,11:30:00 pm,0,62.9283,5.267
8/21/2021,11:45:00 pm,0,62.9393,5.213
