Device Name:,,OM-CP-VOLT101A,,,,,,
Device Description:,,Voltage Data Logger,,,,,,
Serial Number:,,R37297,,,,,,
Device ID:,,SynopticOld,,,,,,
,,,,,,,,
,,Channel 1,,,,,,
Date,Time,Voltage (ppm),Tract,Description,Point,X,Y,WaterSample
6/29/2021,9:28:34 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:28:39 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:28:44 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:28:49 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:28:54 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:28:59 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:29:04 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:29:09 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:29:14 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:29:19 AM,371,NA,NA,NA,NA,NA,NA
6/29/2021,9:29:24 AM,371,NA,NA,NA,NA,NA,NA
6/29/2021,9:29:29 AM,371,NA,NA,NA,NA,NA,NA
6/29/2021,9:29:34 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:29:39 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:29:44 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:29:49 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:29:54 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:29:59 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:30:04 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:30:09 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:30:14 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:30:19 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:30:24 AM,391,NA,NA,NA,NA,NA,NA
6/29/2021,9:30:29 AM,391,NA,NA,NA,NA,NA,NA
6/29/2021,9:30:34 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:30:39 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:30:44 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:30:49 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:30:54 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:30:59 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:31:04 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:31:09 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:31:14 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:31:19 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:31:24 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:31:29 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:31:34 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:31:39 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:31:44 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:31:49 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:31:54 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:31:59 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:32:04 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:32:09 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:32:14 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:32:19 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:32:24 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:32:29 AM,391,NA,NA,NA,NA,NA,NA
6/29/2021,9:32:34 AM,391,NA,NA,NA,NA,NA,NA
6/29/2021,9:32:39 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:32:44 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:32:49 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:32:54 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:32:59 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:33:04 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:33:09 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:33:14 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:33:19 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:33:24 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:33:29 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:33:34 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:33:39 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:33:44 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:33:49 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:33:54 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:33:59 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:34:04 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:34:09 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:34:14 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:34:19 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:34:24 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:34:29 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:34:34 AM,391,NA,NA,NA,NA,NA,NA
6/29/2021,9:34:39 AM,391,NA,NA,NA,NA,NA,NA
6/29/2021,9:34:44 AM,396,NA,NA,NA,NA,NA,NA
