metadata																													
ID	name	desc	time	keywords	minlat	minlon	maxlat	maxlon																					
1			2021-07-01T16:48:47Z		-0.32983996	-78.20278552	-0.324336737	-78.19913671																					
																													
author																													
ID	name	email																											
																													
copyright																													
year	license	author																											
																													
link																													
metadataID	authorID	wptID	rteptID	trkptID	rteID	trkID	text	type	href																				
1							Garmin International		http://www.garmin.com																				
																													
rte																													
ID	name	cmt	desc	src	number	type	IsAutoNamed	DisplayColor	TransportationMode	TripName	Date	DayNumber																	
																													
rtept																													
ID	rteID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	DepartureTime	StopDuration	ArrivalTime	CalculationMode	ElevationMode	NamedRoad_Name	NamedRoad_Id	NamedRoad_ProductId	TransportationMode
																													
wpt																													
ID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	Proximity	Temperature	Depth	DisplayMode	Samples	Expiration	CreationTime			
																													
Address																													
wptID	StreetAddress1	StreetAddress2	City	State	Country	PostalCode																							
																													
PhoneNumber																													
wptID	Category	value																											
46	1	-0.329561429	-78.20273113	4051.61	6/29/2021	14:29:29	9:29:29																						
47	1	-0.329561345	-78.20272911	4052.09	6/29/2021	14:29:30	9:29:30																						
48	1	-0.329566542	-78.20273674	4054.98	6/29/2021	14:29:33	9:29:33																						
49	1	-0.329558328	-78.20274688	4057.38	6/29/2021	14:29:36	9:29:36																						
50	1	-0.329558998	-78.20276013	4060.75	6/29/2021	14:29:41	9:29:41																						
51	1	-0.329561848	-78.20276423	4061.71	6/29/2021	14:29:43	9:29:43																						
52	1	-0.329561932	-78.20277337	4064.59	6/29/2021	14:29:46	9:29:46																						
53	1	-0.329566374	-78.20277153	4068.44	6/29/2021	14:29:52	9:29:52																						
54	1	-0.329572828	-78.20277002	4071.8	6/29/2021	14:29:58	9:29:58																						
55	1	-0.329575678	-78.20276029	4075.65	6/29/2021	14:30:10	9:30:10																						
56	1	-0.329577187	-78.2027551	4076.61	6/29/2021	14:30:23	9:30:23																						
57	1	-0.329577103	-78.20275392	4078.05	6/29/2021	14:30:25	9:30:25																						
58	1	-0.329575008	-78.2027587	4079.01	6/29/2021	14:30:54	9:30:54																						
59	1	-0.329565788	-78.20275594	4080.93	6/29/2021	14:31:14	9:31:14																						
60	1	-0.32955925	-78.202752	4078.05	6/29/2021	14:31:30	9:31:30																						
61	1	-0.329559753	-78.20274931	4080.45	6/29/2021	14:31:43	9:31:43																						
62	1	-0.329563022	-78.20274143	4075.65	6/29/2021	14:31:57	9:31:57																						
63	1	-0.329562686	-78.20274135	4076.61	6/29/2021	14:31:58	9:31:58																						
64	1	-0.329562351	-78.20274135	4081.41	6/29/2021	14:31:59	9:31:59																						
65	1	-0.329562267	-78.20274152	4079.49	6/29/2021	14:32:00	9:32:00																						
66	1	-0.329561932	-78.20273967	4079.49	6/29/2021	14:32:05	9:32:05																						
67	1	-0.329561597	-78.20273984	4073.72	6/29/2021	14:32:08	9:32:08																						
68	1	-0.329561261	-78.20273976	4076.61	6/29/2021	14:32:09	9:32:09																						
69	1	-0.329561261	-78.20273959	4080.45	6/29/2021	14:32:10	9:32:10																						
70	1	-0.329561513	-78.20273951	4078.53	6/29/2021	14:32:11	9:32:11																						
71	1	-0.329557406	-78.20273884	4078.53	6/29/2021	14:32:28	9:32:28																						
72	1	-0.329554556	-78.20273733	4078.53	6/29/2021	14:32:50	9:32:50																						
73	1	-0.329557825	-78.20273884	4078.05	6/29/2021	14:33:03	9:33:03																						
74	1	-0.329557993	-78.20273875	4072.76	6/29/2021	14:33:06	9:33:06																						
75	1	-0.329557993	-78.20273884	4083.34	6/29/2021	14:33:07	9:33:07																						
76	1	-0.329557993	-78.20273892	4079.01	6/29/2021	14:33:08	9:33:08																						
77	1	-0.329557825	-78.20273875	4078.53	6/29/2021	14:33:10	9:33:10																						
78	1	-0.329555478	-78.20273121	4078.05	6/29/2021	14:33:31	9:33:31																						
79	1	-0.329565201	-78.2027375	4078.05	6/29/2021	14:33:49	9:33:49																						
80	1	-0.329563944	-78.20273984	4077.09	6/29/2021	14:34:09	9:34:09																						
81	1	-0.329563776	-78.20274026	4077.09	6/29/2021	14:34:10	9:34:10																						
82	1	-0.329571571	-78.20274906	4081.41	6/29/2021	14:34:24	9:34:24																						
83	1	-0.32957375	-78.20274998	4070.36	6/29/2021	14:34:25	9:34:25																						
84	1	-0.329573415	-78.2027499	4080.45	6/29/2021	14:34:26	9:34:26																						
85	1	-0.329558328	-78.20274294	4076.13	6/29/2021	14:34:37	9:34:37																						
86	1	-0.329560926	-78.20274479	4075.17	6/29/2021	14:34:42	9:34:42																						
87	1	-0.329563525	-78.20274604	4079.01	6/29/2021	14:34:44	9:34:44																						
88	1	-0.329566207	-78.20274739	4077.57	6/29/2021	14:34:45	9:34:45																						
89	1	-0.329568889	-78.20274873	4072.76	6/29/2021	14:34:46	9:34:46																						
90	1	-0.329571571	-78.20275007	4079.97	6/29/2021	14:34:47	9:34:47																						
91	1	-0.329560926	-78.20274479	4078.05	6/29/2021	14:34:50	9:34:50																						
92	1	-0.32956101	-78.20274496	4074.2	6/29/2021	14:34:56	9:34:56																						
93	1	-0.32956101	-78.20274496	4079.49	6/29/2021	14:34:58	9:34:58																						
94	1	-0.329560926	-78.20274496	4077.57	6/29/2021	14:34:59	9:34:59																						
95	1	-0.32955816	-78.20274445	4077.09	6/29/2021	14:35:16	9:35:16																						
96	1	-0.329560423	-78.20274621	4078.05	6/29/2021	14:35:44	9:35:44																						
97	1	-0.329559585	-78.20274579	4078.05	6/29/2021	14:36:08	9:36:08																						
98	1	-0.329558244	-78.20274588	4079.01	6/29/2021	14:36:32	9:36:32																						
99	1	-0.329557909	-78.20274739	4079.01	6/29/2021	14:36:56	9:36:56																						
100	1	-0.329559166	-78.20274747	4081.41	6/29/2021	14:37:25	9:37:25																						
101	1	-0.329558076	-78.20274646	4079.49	6/29/2021	14:37:57	9:37:57																						
102	1	-0.329555226	-78.20274655	4079.01	6/29/2021	14:38:30	9:38:30																						
103	1	-0.329554304	-78.20274638	4079.49	6/29/2021	14:38:59	9:38:59																						
104	1	-0.329555226	-78.2027473	4078.53	6/29/2021	14:39:23	9:39:23																						
105	1	-0.329552293	-78.20274445	4074.69	6/29/2021	14:39:25	9:39:25																						
106	1	-0.329549778	-78.20274127	4081.9	6/29/2021	14:39:26	9:39:26																						
107	1	-0.329555813	-78.20274579	4078.53	6/29/2021	14:39:29	9:39:29																						
108	1	-0.329555059	-78.2027385	4079.01	6/29/2021	14:39:37	9:39:37																						
109	1	-0.329554724	-78.20273708	4079.01	6/29/2021	14:40:03	9:40:03																						
110	1	-0.329552544	-78.20273825	4079.49	6/29/2021	14:40:15	9:40:15																						
111	1	-0.32955355	-78.20272945	4079.01	6/29/2021	14:40:41	9:40:41																						
112	1	-0.329553634	-78.20273356	4079.49	6/29/2021	14:41:11	9:41:11																						
113	1	-0.329566542	-78.20272048	4079.97	6/29/2021	14:41:35	9:41:35																						
114	1	-0.329555729	-78.2027359	4080.45	6/29/2021	14:41:53	9:41:53																						
115	1	-0.32955464	-78.20272526	4079.97	6/29/2021	14:42:18	9:42:18																						
116	1	-0.329558998	-78.20272668	4080.45	6/29/2021	14:42:38	9:42:38																						
117	1	-0.329561764	-78.20272408	4081.41	6/29/2021	14:43:00	9:43:00																						
118	1	-0.329562351	-78.20272635	4080.93	6/29/2021	14:43:25	9:43:25																						
119	1	-0.329570649	-78.20273641	4079.97	6/29/2021	14:43:50	9:43:50																						
120	1	-0.329563357	-78.20273959	4079.49	6/29/2021	14:44:08	9:44:08																						
121	1	-0.329562016	-78.20273984	4079.97	6/29/2021	14:44:24	9:44:24																						
122	1	-0.329580959	-78.20274135	4080.45	6/29/2021	14:44:41	9:44:41																						
123	1	-0.329598058	-78.20270665	4078.53	6/29/2021	14:44:55	9:44:55																						
124	1	-0.329630245	-78.20269735	4077.09	6/29/2021	14:45:08	9:45:08																						
125	1	-0.329633597	-78.20268645	4076.13	6/29/2021	14:45:31	9:45:31																						
126	1	-0.329627814	-78.2026888	4077.09	6/29/2021	14:46:02	9:46:02																						
127	1	-0.329624712	-78.20269131	4076.61	6/29/2021	14:46:35	9:46:35																						
128	1	-0.329625886	-78.20268997	4077.09	6/29/2021	14:47:04	9:47:04																						
