metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,name,desc,time,keywords,minlat,minlon,,,,maxlat,maxlon,,,,,,,,,,,,,,,,,,,,,
1,,,2021-07-01T16:06:36Z,,###############################################################################################################################################################################################################################################################,-78.20276658,,,,-0.325758811,-78.1996895,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
author,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,name,email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,license,author,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadataID,authorID,wptID,rteptID,trkptID,rteID,trkID,,,,text,type,href,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,Garmin International,,http://www.garmin.com,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,name,cmt,desc,src,number,type,,,,IsAutoNamed,DisplayColor,TransportationMode,TripName,Date,DayNumber,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rtept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,rteID,lat,lon,ele,time,magvar,,,,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,DepartureTime,StopDuration,ArrivalTime,CalculationMode,ElevationMode,NamedRoad_Name,NamedRoad_Id,NamedRoad_ProductId,TransportationMode
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,lat,lon,ele,time,magvar,geoidheight,,,,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wptID,StreetAddress1,StreetAddress2,City,State,Country,PostalCode,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PhoneNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wptID,Category,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wptID,Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,name,cmt,desc,src,number,type,,,,DisplayColor,,,,,,,,,,,,,,,,,,,,,,
1,2021-06-29 SYNOPTIC,,,,,,,,,Cyan,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trkseg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,trkID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trkpt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,trksegID,lat,lon,ele,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,-0.329321455,-78.20185555,4098.72,6/29/21 0:00,14:42:32,9:42:32,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,-0.32954324,-78.20273548,4083.82,6/29/21 0:00,14:43:02,9:43:02,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,-0.329551958,-78.20274378,4081.41,6/29/21 0:00,14:43:32,9:43:32,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,-0.329562435,-78.20273917,4080.45,6/29/21 0:00,14:44:02,9:44:02,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,-0.329564279,-78.20276658,4078.53,6/29/21 0:00,14:44:32,9:44:32,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,-0.329560339,-78.20275107,4081.9,6/29/21 0:00,14:45:02,9:45:02,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,-0.329533685,-78.20273356,4082.38,6/29/21 0:00,14:45:32,9:45:32,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,-0.329427654,-78.20252091,4085.74,6/29/21 0:00,14:46:02,9:46:02,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,-0.329386918,-78.20223022,4085.74,6/29/21 0:00,14:46:32,9:46:32,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,-0.32933034,-78.20197097,4087.66,6/29/21 0:00,14:47:02,9:47:02,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,-0.32931014,-78.20195186,4088.62,6/29/21 0:00,14:47:32,9:47:32,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,-0.329337632,-78.20192085,4085.74,6/29/21 0:00,14:48:02,9:48:02,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,-0.329293543,-78.20187399,4084.78,6/29/21 0:00,14:48:32,9:48:32,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,-0.329263201,-78.20183569,4084.3,6/29/21 0:00,14:49:02,9:49:02,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,-0.329241995,-78.20180342,4085.74,6/29/21 0:00,14:49:32,9:49:32,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,-0.329219028,-78.20176092,4090.07,6/29/21 0:00,14:50:02,9:50:02,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,-0.329209473,-78.2017465,4090.55,6/29/21 0:00,14:50:32,9:50:32,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,-0.329216933,-78.20173611,4089.1,6/29/21 0:00,14:51:02,9:51:02,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,-0.329215592,-78.2017429,4088.62,6/29/21 0:00,14:51:32,9:51:32,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,-0.329208216,-78.20174206,4088.14,6/29/21 0:00,14:52:02,9:52:02,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,-0.329192458,-78.20175103,4087.66,6/29/21 0:00,14:52:32,9:52:32,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,-0.329192458,-78.20172035,4091.51,6/29/21 0:00,14:53:02,9:53:02,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,-0.329209724,-78.20173351,4092.47,6/29/21 0:00,14:53:32,9:53:32,,,,,,,,,,,,,,,,,,,,,,,,,
24,1,-0.329217017,-78.2017201,4091.99,6/29/21 0:00,14:54:02,9:54:02,,,,,,,,,,,,,,,,,,,,,,,,,
