Device Name:,,OM-CP-VOLT101A,,,,,,,
Device Description:,,Voltage Data Logger,,,,,,,
Serial Number:,,R37297,,,,,,,
Device ID:,,MultiChannel,,,,,,,
,,,,,,,,,
,,Channel 1,,,,,,,
Date,Time,Voltage (ppm),Adjusted ppm,Tract,Description,Point,X,Y,WaterSample
6/22/2021,1:07:29 PM,39.6,396,NA,NA,NA,NA,NA,NA
6/22/2021,1:07:34 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:07:39 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:07:44 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:07:49 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:07:54 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:07:59 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:08:04 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:08:09 PM,41.1,411,NA,NA,NA,NA,NA,NA
6/22/2021,1:08:14 PM,41.1,411,NA,NA,NA,NA,NA,NA
6/22/2021,1:08:19 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:08:24 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:08:29 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:08:34 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:08:39 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:08:44 PM,41.1,411,NA,NA,NA,NA,NA,NA
6/22/2021,1:08:49 PM,41.1,411,NA,NA,NA,NA,NA,NA
6/22/2021,1:08:54 PM,41.1,411,NA,NA,NA,NA,NA,NA
6/22/2021,1:08:59 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:09:04 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:09:09 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:09:14 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:09:19 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:09:24 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:09:29 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:09:34 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:09:39 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:09:44 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:09:49 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:09:54 PM,39.6,396,NA,NA,NA,NA,NA,NA
6/22/2021,1:09:59 PM,39.6,396,NA,NA,NA,NA,NA,NA
6/22/2021,1:10:04 PM,39.6,396,NA,NA,NA,NA,NA,NA
6/22/2021,1:10:09 PM,39.6,396,NA,NA,NA,NA,NA,NA
6/22/2021,1:10:14 PM,39.6,396,NA,NA,NA,NA,NA,NA
6/22/2021,1:10:19 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:10:24 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:10:29 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:10:34 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:10:39 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:10:44 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:10:49 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:10:54 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:10:59 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:11:04 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:11:09 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:11:14 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:11:19 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:11:24 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:11:29 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:11:34 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:11:39 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:11:44 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:11:49 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:11:54 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:11:59 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:12:04 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:12:09 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:12:14 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:12:19 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:12:24 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:12:29 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:12:34 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:12:39 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:12:44 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:12:49 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:12:54 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:12:59 PM,39.6,396,NA,NA,NA,NA,NA,NA
6/22/2021,1:13:04 PM,39.6,396,NA,NA,NA,NA,NA,NA
6/22/2021,1:13:09 PM,39.6,396,NA,NA,NA,NA,NA,NA
6/22/2021,1:13:14 PM,39.6,396,NA,NA,NA,NA,NA,NA
6/22/2021,1:13:19 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:13:24 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:13:29 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:13:34 PM,39.6,396,NA,NA,NA,NA,NA,NA
6/22/2021,1:13:39 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:13:44 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:13:49 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:13:54 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:13:59 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:14:04 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:14:09 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:14:14 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:14:19 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:14:24 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:14:29 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:14:34 PM,39.6,396,NA,NA,NA,NA,NA,NA
6/22/2021,1:14:39 PM,39.6,396,NA,NA,NA,NA,NA,NA
6/22/2021,1:14:44 PM,39.6,396,NA,NA,NA,NA,NA,NA
6/22/2021,1:14:49 PM,39.6,396,NA,NA,NA,NA,NA,NA
6/22/2021,1:14:54 PM,39.6,396,NA,NA,NA,NA,NA,NA
6/22/2021,1:14:59 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:15:04 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:15:09 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:15:14 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:15:19 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:15:24 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:15:29 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:15:34 PM,40.6,406,NA,NA,NA,NA,NA,NA
6/22/2021,1:15:39 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:15:44 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:15:49 PM,40.1,401,NA,NA,NA,NA,NA,NA
6/22/2021,1:15:54 PM,39.6,396,NA,NA,NA,NA,NA,NA
6/22/2021,1:15:59 PM,39.6,396,NA,NA,NA,NA,NA,NA
6/22/2021,1:16:04 PM,39.1,391,NA,NA,NA,NA,NA,NA
6/22/2021,1:16:09 PM,39.1,391,NA,NA,NA,NA,NA,NA
6/22/2021,1:16:14 PM,38.6,386,NA,NA,NA,NA,NA,NA
