OBJECTID,pointid,FloAccu,Ele,lat,lon
1,175183,443,3912,-0.33600191,-78.21521537
2,175184,915,3917,-0.33600182,-78.21489222
3,175185,222054,3918,-0.3360018,-78.21483837
4,175237,444,3912,-0.33602902,-78.21521536
5,175238,917,3916,-0.33602893,-78.21491914
6,175239,222066,3917,-0.33602891,-78.21483836
7,175295,445,3911,-0.33605613,-78.21521535
8,175296,920,3915,-0.33605604,-78.21491914
9,175297,222068,3916,-0.33605603,-78.21486528
10,175349,446,3911,-0.33608324,-78.21521534
11,175350,923,3914,-0.33608316,-78.21494606
12,175351,222146,3915,-0.33608314,-78.21486527
13,175406,447,3910,-0.33611035,-78.21521534
14,175407,926,3913,-0.33611028,-78.21497298
15,175408,222149,3914,-0.33611025,-78.21489219
16,175409,377,3915,-0.33611024,-78.21483833
17,175410,375,3916,-0.33611023,-78.21481141
18,175411,373,3917,-0.33611022,-78.21478448
19,175412,371,3918,-0.33611022,-78.21475755
20,175413,369,3919,-0.33611021,-78.21473062
21,175414,313,3921,-0.3361102,-78.21470369
22,175415,312,3922,-0.33611019,-78.21467676
23,175416,311,3923,-0.33611018,-78.21464983
24,175417,310,3924,-0.33611018,-78.21462291
25,175418,309,3925,-0.33611017,-78.21459598
26,175419,308,3926,-0.33611016,-78.21456905
27,175420,307,3926,-0.33611015,-78.21454212
28,175475,490,3909,-0.33613746,-78.21521533
29,175476,928,3912,-0.33613739,-78.2149999
30,175477,222546,3913,-0.33613737,-78.21491911
31,175478,394,3914,-0.33613736,-78.21489218
32,175479,393,3914,-0.33613736,-78.21486526
33,175539,491,3909,-0.33616457,-78.21521532
34,175540,931,3911,-0.3361645,-78.21499989
35,175541,222562,3912,-0.33616449,-78.21494603
36,175626,492,3908,-0.33619168,-78.21521531
37,175627,223503,3910,-0.33619163,-78.21505374
38,175628,223502,3910,-0.33619162,-78.21502681
39,175629,222568,3911,-0.33619161,-78.21499988
40,175630,222567,3911,-0.33619161,-78.21497295
41,175701,537,3907,-0.33621879,-78.21524223
42,175702,535,3907,-0.33621879,-78.21521531
43,175703,223543,3909,-0.33621875,-78.21508066
44,175781,592,3906,-0.33624591,-78.21526915
45,175782,223550,3908,-0.33624587,-78.21513451
46,175783,223549,3908,-0.33624586,-78.21510758
47,175854,223563,3906,-0.33627302,-78.21526915
48,175855,223562,3907,-0.33627301,-78.21524222
49,175856,223561,3907,-0.336273,-78.21521529
50,175857,223560,3907,-0.336273,-78.21518836
51,175858,223559,3907,-0.33627299,-78.21516143
52,175186,1852,4070,-0.33599934,-78.20630202
53,175187,1113,4076,-0.33599931,-78.20616738
54,175244,1839,4072,-0.33602645,-78.20630201
55,175245,1111,4080,-0.33602641,-78.20614044
56,175301,1838,4075,-0.33605356,-78.206302
57,175302,1103,4083,-0.33605352,-78.20614043
58,175356,1837,4078,-0.33608066,-78.20627507
59,175357,1102,4086,-0.33608063,-78.20614042
60,175426,668,4081,-0.33610777,-78.20627506
61,175427,1167,4082,-0.33610777,-78.20624813
62,175428,1101,4089,-0.33610773,-78.20611349
63,175485,667,4084,-0.33613488,-78.20624812
64,175486,1166,4085,-0.33613487,-78.20622119
65,175487,1100,4091,-0.33613483,-78.20608655
66,175545,666,4086,-0.33616198,-78.20622119
67,175546,1165,4087,-0.33616197,-78.20619426
68,175547,1099,4093,-0.33616193,-78.20605962
69,175548,1097,4094,-0.33616192,-78.20603269
70,175635,665,4088,-0.33618908,-78.20619425
71,175636,1164,4089,-0.33618907,-78.20616732
72,175637,1095,4095,-0.33618903,-78.20600575
73,175709,664,4090,-0.33621618,-78.20616731
74,175710,1162,4091,-0.33621617,-78.20614039
75,175711,1160,4092,-0.33621617,-78.20611346
76,175712,1158,4093,-0.33621616,-78.20608653
77,175713,1156,4094,-0.33621615,-78.2060596
78,175714,1093,4096,-0.33621613,-78.20597881
79,175787,663,4092,-0.33624328,-78.20614038
80,175788,1153,4095,-0.33624325,-78.20603266
81,175789,1151,4096,-0.33624324,-78.20600574
82,175790,1091,4097,-0.33624323,-78.20595188
83,175862,662,4093,-0.33627038,-78.20611344
84,175863,647,4094,-0.33627038,-78.20608651
85,175864,1149,4097,-0.33627035,-78.2059788
86,175865,1089,4098,-0.33627033,-78.20592494
87,175866,1088,4098,-0.33627032,-78.20589801
88,175935,433,4096,-0.33629748,-78.20605958
89,175936,1147,4098,-0.33629745,-78.20595186
90,175937,1146,4098,-0.33629744,-78.20592493
91,175938,1080,4099,-0.33629742,-78.20587108
92,175939,1079,4099,-0.33629742,-78.20584415
93,175940,391,4100,-0.33629741,-78.20581722
94,175941,390,4100,-0.3362974,-78.20579029
