OBJECTID,pointid,FloAccu,lat,lon,ele
1,175183,443,-0.33600191,-78.21521537,3912
2,175184,915,-0.33600182,-78.21489222,3917
3,175185,222054,-0.3360018,-78.21483837,3918
4,175237,444,-0.33602902,-78.21521536,3912
5,175238,917,-0.33602893,-78.21491914,3916
6,175239,222066,-0.33602891,-78.21483836,3917
7,175295,445,-0.33605613,-78.21521535,3911
8,175296,920,-0.33605604,-78.21491914,3915
9,175297,222068,-0.33605603,-78.21486528,3916
10,175349,446,-0.33608324,-78.21521534,3911
11,175350,923,-0.33608316,-78.21494606,3914
12,175351,222146,-0.33608314,-78.21486527,3915
13,175406,447,-0.33611035,-78.21521534,3910
14,175407,926,-0.33611028,-78.21497298,3913
15,175408,222149,-0.33611025,-78.21489219,3914
16,175409,377,-0.33611024,-78.21483833,3915
17,175410,375,-0.33611023,-78.21481141,3916
18,175411,373,-0.33611022,-78.21478448,3917
19,175412,371,-0.33611022,-78.21475755,3918
20,175413,369,-0.33611021,-78.21473062,3919
21,175414,313,-0.3361102,-78.21470369,3921
22,175415,312,-0.33611019,-78.21467676,3922
23,175416,311,-0.33611018,-78.21464983,3923
24,175417,310,-0.33611018,-78.21462291,3924
25,175418,309,-0.33611017,-78.21459598,3925
26,175419,308,-0.33611016,-78.21456905,3926
27,175420,307,-0.33611015,-78.21454212,3926
28,175475,490,-0.33613746,-78.21521533,3909
29,175476,928,-0.33613739,-78.2149999,3912
30,175477,222546,-0.33613737,-78.21491911,3913
31,175478,394,-0.33613736,-78.21489218,3914
32,175479,393,-0.33613736,-78.21486526,3914
33,175539,491,-0.33616457,-78.21521532,3909
34,175540,931,-0.3361645,-78.21499989,3911
35,175541,222562,-0.33616449,-78.21494603,3912
36,175626,492,-0.33619168,-78.21521531,3908
37,175627,223503,-0.33619163,-78.21505374,3910
38,175628,223502,-0.33619162,-78.21502681,3910
39,175629,222568,-0.33619161,-78.21499988,3911
40,175630,222567,-0.33619161,-78.21497295,3911
41,175701,537,-0.33621879,-78.21524223,3907
42,175702,535,-0.33621879,-78.21521531,3907
43,175703,223543,-0.33621875,-78.21508066,3909
44,175781,592,-0.33624591,-78.21526915,3906
45,175782,223550,-0.33624587,-78.21513451,3908
46,175783,223549,-0.33624586,-78.21510758,3908
47,175854,223563,-0.33627302,-78.21526915,3906
48,175855,223562,-0.33627301,-78.21524222,3907
49,175856,223561,-0.336273,-78.21521529,3907
50,175857,223560,-0.336273,-78.21518836,3907
51,175858,223559,-0.33627299,-78.21516143,3907
52,175186,1852,-0.33599934,-78.20630202,4070
53,175187,1113,-0.33599931,-78.20616738,4076
54,175244,1839,-0.33602645,-78.20630201,4072
55,175245,1111,-0.33602641,-78.20614044,4080
56,175301,1838,-0.33605356,-78.206302,4075
57,175302,1103,-0.33605352,-78.20614043,4083
58,175356,1837,-0.33608066,-78.20627507,4078
59,175357,1102,-0.33608063,-78.20614042,4086
60,175426,668,-0.33610777,-78.20627506,4081
61,175427,1167,-0.33610777,-78.20624813,4082
62,175428,1101,-0.33610773,-78.20611349,4089
63,175485,667,-0.33613488,-78.20624812,4084
64,175486,1166,-0.33613487,-78.20622119,4085
65,175487,1100,-0.33613483,-78.20608655,4091
66,175545,666,-0.33616198,-78.20622119,4086
67,175546,1165,-0.33616197,-78.20619426,4087
68,175547,1099,-0.33616193,-78.20605962,4093
69,175548,1097,-0.33616192,-78.20603269,4094
70,175635,665,-0.33618908,-78.20619425,4088
71,175636,1164,-0.33618907,-78.20616732,4089
72,175637,1095,-0.33618903,-78.20600575,4095
73,175709,664,-0.33621618,-78.20616731,4090
74,175710,1162,-0.33621617,-78.20614039,4091
75,175711,1160,-0.33621617,-78.20611346,4092
76,175712,1158,-0.33621616,-78.20608653,4093
77,175713,1156,-0.33621615,-78.2060596,4094
78,175714,1093,-0.33621613,-78.20597881,4096
79,175787,663,-0.33624328,-78.20614038,4092
80,175788,1153,-0.33624325,-78.20603266,4095
81,175789,1151,-0.33624324,-78.20600574,4096
82,175790,1091,-0.33624323,-78.20595188,4097
83,175862,662,-0.33627038,-78.20611344,4093
84,175863,647,-0.33627038,-78.20608651,4094
85,175864,1149,-0.33627035,-78.2059788,4097
86,175865,1089,-0.33627033,-78.20592494,4098
87,175866,1088,-0.33627032,-78.20589801,4098
88,175935,433,-0.33629748,-78.20605958,4096
89,175936,1147,-0.33629745,-78.20595186,4098
90,175937,1146,-0.33629744,-78.20592493,4098
91,175938,1080,-0.33629742,-78.20587108,4099
92,175939,1079,-0.33629742,-78.20584415,4099
93,175940,391,-0.33629741,-78.20581722,4100
94,175941,390,-0.3362974,-78.20579029,4100
95,175942,389,-0.33629739,-78.20576336,4101
96,175943,388,-0.33629739,-78.20573644,4101
97,175944,387,-0.33629738,-78.20570951,4101
98,175945,305,-0.33629737,-78.20568258,4102
99,175946,304,-0.33629736,-78.20565565,4102
100,175947,303,-0.33629735,-78.20562872,4102
101,176018,432,-0.33632458,-78.20603264,4097
102,176019,1144,-0.33632454,-78.205898,4099
103,176020,1143,-0.33632453,-78.20587107,4099
104,176021,686,-0.33632452,-78.20581721,4100
105,176022,685,-0.33632451,-78.20579028,4100
106,176078,1141,-0.33635164,-78.20584413,4100
107,176079,1140,-0.33635163,-78.20581721,4100
108,176080,681,-0.33635161,-78.20576335,4101
109,176081,680,-0.3363516,-78.20573642,4101
110,176131,1138,-0.33637873,-78.20579027,4101
111,176132,1137,-0.33637872,-78.20576334,4101
112,176133,677,-0.33637871,-78.20570948,4102
113,176134,676,-0.3363787,-78.20568256,4102
114,176187,1132,-0.33640583,-78.20576333,4102
115,176188,505,-0.33640581,-78.20568255,4103
116,176274,1131,-0.33643294,-78.20576333,4102
117,176275,504,-0.33643292,-78.20568254,4103
118,176356,897,-0.33646005,-78.20576332,4103
119,176357,501,-0.33646002,-78.2056556,4104
120,176455,896,-0.33648716,-78.20576331,4104
121,176456,315,-0.33648713,-78.2056556,4105
122,176517,895,-0.33651427,-78.2057633,4105
123,176518,314,-0.33651424,-78.20565559,4106
124,176696,894,-0.33654138,-78.20576329,4106
125,176697,313,-0.33654135,-78.20565558,4107
126,176787,893,-0.33656849,-78.20576329,4107
127,176788,312,-0.33656846,-78.20565557,4108
128,176875,892,-0.3365956,-78.20576328,4108
129,176876,311,-0.33659557,-78.20565557,4109
130,176948,891,-0.33662271,-78.20576327,4110
131,176949,310,-0.33662268,-78.20565556,4110
132,177012,890,-0.33664982,-78.20576326,4111
133,177013,309,-0.33664978,-78.20565555,4111
134,177115,889,-0.33667693,-78.20576326,4112
135,177116,308,-0.33667689,-78.20565554,4112
136,177194,854,-0.33670404,-78.20579018,4114
137,177297,853,-0.33673115,-78.20579017,4115
138,177442,852,-0.33675826,-78.20579016,4117
139,177545,851,-0.33678537,-78.20579015,4118
140,177618,850,-0.33681248,-78.20579015,4120
141,177698,849,-0.33683959,-78.20579014,4121
142,177784,848,-0.3368667,-78.20579013,4123
143,177866,847,-0.33689381,-78.20579012,4124
144,177936,844,-0.33692093,-78.20581704,4126
145,178035,843,-0.33694804,-78.20581704,4127
146,178151,833,-0.33697515,-78.20584396,4129
147,178256,832,-0.33700226,-78.20584395,4130
148,178351,817,-0.33702937,-78.20584394,4132
149,178466,816,-0.33705648,-78.20584393,4133
150,178613,772,-0.3370836,-78.20587085,4135
151,178738,765,-0.33711071,-78.20587085,4137
152,178824,726,-0.33713782,-78.20587084,4139
153,178922,725,-0.33716493,-78.20587083,4141
154,179063,724,-0.33719204,-78.20587082,4143
