OBJECTID,pointid,FloAccu,ele,lat,lon
248,37226,1697,4041,-0.3005134,-78.20760413
249,37227,1690,4041,-0.30051339,-78.20757721
250,37228,363,4047,-0.30051312,-78.206527
251,37314,3477,4036,-0.30054076,-78.20860048
252,37315,2467,4035,-0.30054072,-78.20843891
253,37316,369,4040,-0.30054056,-78.20781955
254,37317,359,4040,-0.30054056,-78.20779263
255,37318,1701,4041,-0.30054051,-78.20763106
256,37319,364,4047,-0.30054023,-78.20652699
257,37404,3478,4036,-0.30056787,-78.20860047
258,37405,2517,4035,-0.30056784,-78.20846583
259,37406,371,4040,-0.30056768,-78.20784648
260,37407,1888,4041,-0.30056765,-78.20773876
261,37408,1876,4041,-0.30056764,-78.20771183
262,37409,1833,4041,-0.30056764,-78.2076849
263,37410,1832,4041,-0.30056763,-78.20765798
264,37411,365,4047,-0.30056734,-78.20652699
265,37511,3479,4036,-0.30059498,-78.20860046
266,37512,2523,4035,-0.30059495,-78.20846582
267,37513,373,4040,-0.3005948,-78.2078734
268,37514,1906,4040,-0.30059478,-78.20781954
269,37515,1903,4040,-0.30059477,-78.20779261
270,37516,1902,4040,-0.30059477,-78.20776568
271,37517,366,4047,-0.30059445,-78.20652698
272,37518,362,4047,-0.3005944,-78.20633848
273,37721,3484,4035,-0.30062209,-78.20857353
274,37722,2528,4035,-0.30062206,-78.20849274
275,37723,375,4040,-0.30062191,-78.20790032
276,37724,1909,4040,-0.3006219,-78.20784646
277,37725,414,4047,-0.30062156,-78.20652697
278,37726,1710,4047,-0.30062153,-78.20641926
279,37727,1505,4047,-0.30062152,-78.20639233
280,37728,1502,4047,-0.30062152,-78.2063654
281,37729,1135,4047,-0.30062151,-78.20633847
282,37730,1128,4047,-0.3006215,-78.20631154
283,37731,1119,4047,-0.3006215,-78.20628462
284,37732,1111,4047,-0.30062149,-78.20625769
285,37733,1104,4047,-0.30062148,-78.20623076
286,37734,1098,4047,-0.30062147,-78.20620383
287,37735,1017,4047,-0.30062147,-78.2061769
288,37840,3485,4035,-0.3006492,-78.20857352
289,37841,2531,4035,-0.30064918,-78.20851966
290,37842,377,4040,-0.30064903,-78.20792724
291,37843,1912,4040,-0.30064901,-78.20787338
292,37844,415,4047,-0.30064867,-78.20652696
293,37845,1714,4047,-0.30064865,-78.20644618
294,37846,1011,4048,-0.30064857,-78.20614997
295,37847,893,4048,-0.30064856,-78.20612304
296,37934,3486,4035,-0.3006763,-78.20857351
297,37935,2532,4035,-0.30067629,-78.20851966
298,37936,379,4040,-0.30067615,-78.20795416
299,37937,1915,4040,-0.30067613,-78.2079003
300,37938,365,4041,-0.30067598,-78.20730788
301,37939,567,4047,-0.30067578,-78.20652696
302,37940,1716,4047,-0.30067576,-78.2064731
303,37941,892,4048,-0.30067567,-78.2060961
304,38026,3487,4035,-0.30070341,-78.20857351
305,38027,2590,4035,-0.3007034,-78.20851965
306,38028,381,4040,-0.30070326,-78.20798108
307,38029,1918,4040,-0.30070325,-78.20792723
308,38030,374,4041,-0.30070309,-78.2073348
309,38031,2301,4047,-0.30070289,-78.20652695
310,38032,1717,4047,-0.30070288,-78.20650002
311,38033,891,4048,-0.30070277,-78.20606917
312,38162,3488,4035,-0.30073052,-78.2085735
313,38163,2600,4035,-0.30073051,-78.20851964
314,38164,383,4040,-0.30073038,-78.208008
315,38165,1921,4040,-0.30073036,-78.20795415
316,38166,382,4041,-0.30073021,-78.20736172
317,38167,2333,4046,-0.30073,-78.20655387
318,38168,882,4049,-0.30072987,-78.20604223
319,38169,775,4049,-0.30072986,-78.2060153
320,38261,3489,4034,-0.30075763,-78.20857349
321,38262,2609,4034,-0.30075763,-78.20854657
322,38263,2310,4040,-0.30075749,-78.20803493
323,38264,1925,4040,-0.30075749,-78.208008
324,38265,1924,4040,-0.30075748,-78.20798107
325,38266,383,4041,-0.30075732,-78.20736172
326,38267,2350,4046,-0.30075711,-78.20655387
327,38268,758,4050,-0.30075697,-78.20598837
328,38385,3490,4034,-0.30078474,-78.20857349
329,38386,2610,4034,-0.30078474,-78.20854656
330,38387,2315,4040,-0.30078461,-78.20806185
331,38388,384,4041,-0.30078443,-78.20736171
332,38389,2389,4045,-0.30078423,-78.20658079
333,38390,729,4050,-0.30078407,-78.20596143
334,38620,3491,4034,-0.30081185,-78.20857348
335,38621,2611,4034,-0.30081185,-78.20854655
336,38622,2370,4040,-0.30081173,-78.20808877
337,38623,385,4041,-0.30081154,-78.2073617
338,38624,2407,4045,-0.30081134,-78.20658078
339,38625,723,4051,-0.30081117,-78.2059345
340,38705,3492,4034,-0.30083896,-78.20857347
341,38706,2612,4034,-0.30083895,-78.20854654
342,38707,2377,4040,-0.30083884,-78.20811569
343,38708,456,4041,-0.30083865,-78.2073617
344,38709,2420,4044,-0.30083845,-78.2066077
345,38710,687,4051,-0.30083827,-78.20590756
346,38837,3493,4034,-0.30086607,-78.20857347
347,38838,2613,4034,-0.30086606,-78.20854654
348,38839,2583,4040,-0.30086601,-78.20833111
349,38840,2563,4040,-0.300866,-78.20830418
350,38841,2483,4040,-0.30086599,-78.20827725
351,38842,2482,4040,-0.30086599,-78.20825033
352,38843,2388,4040,-0.30086598,-78.2082234
353,38844,2387,4040,-0.30086597,-78.20819647
354,38845,2386,4040,-0.30086597,-78.20816954
