Plot Title: LUXarriba_04,,,,,,
#,"Date Time, GMT-05:00",Temp,"Intensity, Lux (LGR S/N: 10801151, SEN S/N: 10801151)",Host Connected (LGR S/N: 10801151),Stopped (LGR S/N: 10801151),End Of File (LGR S/N: 10801151)
1,6/14/2021 14:30,NA,115734.1,,,
2,6/14/2021 14:45,NA,22044.6,,,
3,6/14/2021 15:00,NA,52355.9,,,
4,6/14/2021 15:15,NA,34444.7,,,
5,6/14/2021 15:30,NA,17911.2,,,
6,6/14/2021 15:45,NA,52355.9,,,
7,6/14/2021 16:00,NA,19289,,,
8,6/14/2021 16:15,NA,44089.2,,,
9,6/14/2021 16:30,NA,7233.4,,,
10,6/14/2021 16:45,NA,26178,,,
11,6/14/2021 17:00,NA,19289,,,
12,6/14/2021 17:15,NA,4822.3,,,
13,6/14/2021 17:30,NA,5166.7,,,
14,6/14/2021 17:45,NA,3100,,,
15,6/14/2021 18:00,NA,1087.2,,,
16,6/14/2021 18:15,NA,118.4,,,
17,6/14/2021 18:30,NA,10.8,,,
18,6/14/2021 18:45,NA,0,,,
19,6/14/2021 19:00,NA,0,,,
20,6/14/2021 19:15,NA,0,,,
21,6/14/2021 19:30,NA,0,,,
22,6/14/2021 19:45,NA,0,,,
23,6/14/2021 20:00,NA,0,,,
24,6/14/2021 20:15,NA,0,,,
25,6/14/2021 20:30,NA,0,,,
26,6/14/2021 20:45,NA,0,,,
27,6/14/2021 21:00,NA,0,,,
28,6/14/2021 21:15,NA,0,,,
29,6/14/2021 21:30,NA,0,,,
30,6/14/2021 21:45,NA,0,,,
31,6/14/2021 22:00,NA,0,,,
32,6/14/2021 22:15,NA,0,,,
33,6/14/2021 22:30,NA,0,,,
34,6/14/2021 22:45,NA,0,,,
35,6/14/2021 23:00,NA,0,,,
36,6/14/2021 23:15,NA,0,,,
37,6/14/2021 23:30,NA,0,,,
38,6/14/2021 23:45,NA,0,,,
39,6/15/2021 0:00,NA,0,,,
40,6/15/2021 0:15,NA,0,,,
41,6/15/2021 0:30,NA,0,,,
42,6/15/2021 0:45,NA,0,,,
43,6/15/2021 1:00,NA,0,,,
44,6/15/2021 1:15,NA,0,,,
45,6/15/2021 1:30,NA,0,,,
46,6/15/2021 1:45,NA,0,,,
47,6/15/2021 2:00,NA,0,,,
48,6/15/2021 2:15,NA,0,,,
49,6/15/2021 2:30,NA,0,,,
50,6/15/2021 2:45,NA,0,,,
51,6/15/2021 3:00,NA,0,,,
52,6/15/2021 3:15,NA,0,,,
53,6/15/2021 3:30,NA,0,,,
54,6/15/2021 3:45,NA,0,,,
55,6/15/2021 4:00,NA,0,,,
56,6/15/2021 4:15,NA,0,,,
57,6/15/2021 4:30,NA,0,,,
58,6/15/2021 4:45,NA,0,,,
59,6/15/2021 5:00,NA,0,,,
60,6/15/2021 5:15,NA,0,,,
61,6/15/2021 5:30,NA,0,,,
62,6/15/2021 5:45,NA,0,,,
63,6/15/2021 6:00,NA,0,,,
64,6/15/2021 6:15,NA,64.6,,,
65,6/15/2021 6:30,NA,398.3,,,
66,6/15/2021 6:45,NA,1463.9,,,
67,6/15/2021 7:00,NA,2583.4,,,
68,6/15/2021 7:15,NA,3616.7,,,
69,6/15/2021 7:30,NA,6544.5,,,
70,6/15/2021 7:45,NA,6200,,,
71,6/15/2021 8:00,NA,10677.8,,,
72,6/15/2021 8:15,NA,11022.3,,,
73,6/15/2021 8:30,NA,10677.8,,,
74,6/15/2021 8:45,NA,13089,,,
75,6/15/2021 9:00,NA,8611.2,,,
76,6/15/2021 9:15,NA,7577.8,,,
77,6/15/2021 9:30,NA,8266.7,,,
78,6/15/2021 9:45,NA,12400.1,,,
79,6/15/2021 10:00,NA,16533.4,,,
80,6/15/2021 10:15,NA,13777.9,,,
81,6/15/2021 10:30,NA,16533.4,,,
82,6/15/2021 10:45,NA,17911.2,,,
83,6/15/2021 11:00,NA,20666.8,,,
84,6/15/2021 11:15,NA,33066.9,,,
85,6/15/2021 11:30,NA,26178,,,
86,6/15/2021 11:45,NA,16533.4,,,
87,6/15/2021 12:00,NA,22044.6,,,
88,6/15/2021 12:15,NA,15155.7,,,
89,6/15/2021 12:30,NA,19289,,,
90,6/15/2021 12:45,NA,26178,,,
91,6/15/2021 13:00,NA,22044.6,,,
92,6/15/2021 13:15,NA,16533.4,,,
93,6/15/2021 13:30,NA,33066.9,,,
94,6/15/2021 13:45,NA,24800.2,,,
95,6/15/2021 14:00,NA,39955.8,,,
96,6/15/2021 14:15,NA,30311.3,,,
97,6/15/2021 14:30,NA,18600.1,,,
98,6/15/2021 14:45,NA,18600.1,,,
99,6/15/2021 15:00,NA,12400.1,,,
100,6/15/2021 15:15,NA,9644.5,,,
101,6/15/2021 15:30,NA,9300.1,,,
102,6/15/2021 15:45,NA,14466.8,,,
103,6/15/2021 16:00,NA,5338.9,,,
104,6/15/2021 16:15,NA,10677.8,,,
105,6/15/2021 16:30,NA,27555.7,,,
106,6/15/2021 16:45,NA,12400.1,,,
107,6/15/2021 17:00,NA,7577.8,,,
108,6/15/2021 17:15,NA,5338.9,,,
109,6/15/2021 17:30,NA,3100,,,
110,6/15/2021 17:45,NA,1377.8,,,
111,6/15/2021 18:00,NA,3100,,,
112,6/15/2021 18:15,NA,635.1,,,
113,6/15/2021 18:30,NA,43.1,,,
114,6/15/2021 18:45,NA,0,,,
115,6/15/2021 19:00,NA,0,,,
116,6/15/2021 19:15,NA,0,,,
117,6/15/2021 19:30,NA,0,,,
118,6/15/2021 19:45,NA,0,,,
119,6/15/2021 20:00,NA,0,,,
120,6/15/2021 20:15,NA,0,,,
121,6/15/2021 20:30,NA,0,,,
122,6/15/2021 20:45,NA,0,,,
123,6/15/2021 21:00,NA,0,,,
124,6/15/2021 21:15,NA,0,,,
125,6/15/2021 21:30,NA,0,,,
126,6/15/2021 21:45,NA,0,,,
127,6/15/2021 22:00,NA,0,,,
128,6/15/2021 22:15,NA,0,,,
129,6/15/2021 22:30,NA,0,,,
130,6/15/2021 22:45,NA,0,,,
131,6/15/2021 23:00,NA,0,,,
132,6/15/2021 23:15,NA,0,,,
