"Plot Title: LUXabajo_06"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10801148, SEN S/N: 10801148)","Intensity, Lux (LGR S/N: 10801148, SEN S/N: 10801148)","Coupler Attached (LGR S/N: 10801148)","Coupler Detached (LGR S/N: 10801148)","Host Connected (LGR S/N: 10801148)","Stopped (LGR S/N: 10801148)","End Of File (LGR S/N: 10801148)"
1,07/27/21 11:00:00 AM,13.942,75.3,,,,,
2,07/27/21 11:15:00 AM,13.558,75.3,,,,,
3,07/27/21 11:30:00 AM,12.594,150.7,,,,,
4,07/27/21 11:45:00 AM,13.365,129.2,,,,,
5,07/27/21 12:00:00 PM,14.134,150.7,,,,,
6,07/27/21 12:15:00 PM,14.517,107.6,,,,,
7,07/27/21 12:30:00 PM,14.900,86.1,,,,,
8,07/27/21 12:45:00 PM,14.996,107.6,,,,,
9,07/27/21 01:00:00 PM,15.378,118.4,,,,,
10,07/27/21 01:15:00 PM,15.760,64.6,,,,,
11,07/27/21 01:30:00 PM,15.760,107.6,,,,,
12,07/27/21 01:45:00 PM,16.237,86.1,,,,,
13,07/27/21 02:00:00 PM,16.618,43.1,,,,,
14,07/27/21 02:15:00 PM,16.046,32.3,,,,,
15,07/27/21 02:30:00 PM,14.996,21.5,,,,,
16,07/27/21 02:45:00 PM,13.846,32.3,,,,,
17,07/27/21 03:00:00 PM,13.173,0.0,,,,,
18,07/27/21 03:15:00 PM,12.690,139.9,,,,,
19,07/27/21 03:30:00 PM,12.207,0.0,,,,,
20,07/27/21 03:45:00 PM,12.207,0.0,,,,,
21,07/27/21 04:00:00 PM,13.173,0.0,,,,,
22,07/27/21 04:15:00 PM,16.999,75.3,,,,,
23,07/27/21 04:30:00 PM,16.808,86.1,,,,,
24,07/27/21 04:45:00 PM,16.903,86.1,,,,,
25,07/27/21 05:00:00 PM,17.094,139.9,,,,,
26,07/27/21 05:15:00 PM,17.189,129.2,,,,,
27,07/27/21 05:30:00 PM,17.379,0.0,,,,,
28,07/27/21 05:45:00 PM,17.284,0.0,,,,,
29,07/27/21 06:00:00 PM,16.903,0.0,,,,,
30,07/27/21 06:15:00 PM,16.713,0.0,,,,,
31,07/27/21 06:30:00 PM,16.523,0.0,,,,,
32,07/27/21 06:45:00 PM,16.523,0.0,,,,,
33,07/27/21 07:00:00 PM,16.523,0.0,,,,,
34,07/27/21 07:15:00 PM,16.427,0.0,,,,,
35,07/27/21 07:30:00 PM,16.332,0.0,,,,,
36,07/27/21 07:45:00 PM,16.237,0.0,,,,,
37,07/27/21 08:00:00 PM,15.855,0.0,,,,,
38,07/27/21 08:15:00 PM,15.664,0.0,,,,,
39,07/27/21 08:30:00 PM,15.760,0.0,,,,,
40,07/27/21 08:45:00 PM,15.760,0.0,,,,,
41,07/27/21 09:00:00 PM,15.760,0.0,,,,,
42,07/27/21 09:15:00 PM,15.760,0.0,,,,,
43,07/27/21 09:30:00 PM,15.664,0.0,,,,,
44,07/27/21 09:45:00 PM,15.760,0.0,,,,,
45,07/27/21 10:00:00 PM,15.760,0.0,,,,,
46,07/27/21 10:15:00 PM,15.664,0.0,,,,,
47,07/27/21 10:30:00 PM,15.664,0.0,,,,,
48,07/27/21 10:45:00 PM,15.473,0.0,,,,,
49,07/27/21 11:00:00 PM,15.473,0.0,,,,,
50,07/27/21 11:15:00 PM,15.569,0.0,,,,,
51,07/27/21 11:30:00 PM,15.569,0.0,,,,,
52,07/27/21 11:45:00 PM,15.473,0.0,,,,,
