"Plot Title: LUXarriba_04"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10801151, SEN S/N: 10801151)","Intensity, Lux (LGR S/N: 10801151, SEN S/N: 10801151)","Bad Battery (LGR S/N: 10801151)","Coupler Attached (LGR S/N: 10801151)","Host Connected (LGR S/N: 10801151)","Stopped (LGR S/N: 10801151)","End Of File (LGR S/N: 10801151)"
99,10/21/21 01:15:00 PM,12.787,42711.4,,,,,
100,10/21/21 01:30:00 PM,13.365,41333.6,,,,,
101,10/21/21 01:45:00 PM,14.517,24800.2,,,,,
102,10/21/21 02:00:00 PM,10.651,11022.3,,,,,
103,10/21/21 02:15:00 PM,8.779,6544.5,,,,,
104,10/21/21 02:30:00 PM,7.481,2927.8,,,,,
105,10/21/21 02:45:00 PM,6.166,2755.6,,,,,
106,10/21/21 03:00:00 PM,5.860,4822.3,,,,,
107,10/21/21 03:15:00 PM,6.268,4994.5,,,,,
108,10/21/21 03:30:00 PM,6.268,4477.8,,,,,
109,10/21/21 03:45:00 PM,6.166,2066.7,,,,,
110,10/21/21 04:00:00 PM,5.962,2066.7,,,,,
111,10/21/21 04:15:00 PM,5.860,2238.9,,,,,
112,10/21/21 04:30:00 PM,5.757,3272.2,,,,,
113,10/21/21 04:45:00 PM,5.757,3616.7,,,,,
114,10/21/21 05:00:00 PM,5.757,3788.9,,,,,
115,10/21/21 05:15:00 PM,5.655,2411.1,,,,,
116,10/21/21 05:30:00 PM,5.450,2066.7,,,,,
117,10/21/21 05:45:00 PM,5.141,2066.7,,,,,
118,10/21/21 06:00:00 PM,4.623,1184.0,,,,,
119,10/21/21 06:15:00 PM,4.102,32.3,,,,,
120,10/21/21 06:30:00 PM,3.472,0.0,,,,,
121,10/21/21 06:45:00 PM,3.683,0.0,,,,,
122,10/21/21 07:00:00 PM,4.311,0.0,,,,,
123,10/21/21 07:15:00 PM,4.311,0.0,,,,,
124,10/21/21 07:30:00 PM,4.311,0.0,,,,,
125,10/21/21 07:45:00 PM,4.207,0.0,,,,,
126,10/21/21 08:00:00 PM,3.788,0.0,,,,,
127,10/21/21 08:15:00 PM,3.683,0.0,,,,,
128,10/21/21 08:30:00 PM,3.155,0.0,,,,,
129,10/21/21 08:45:00 PM,3.261,0.0,,,,,
130,10/21/21 09:00:00 PM,3.578,0.0,,,,,
131,10/21/21 09:15:00 PM,3.683,0.0,,,,,
132,10/21/21 09:30:00 PM,3.683,0.0,,,,,
