"Plot Title: luxabajo_02"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10801144, SEN S/N: 10801144, LBL: Green)","Intensity, Lux (LGR S/N: 10801144, SEN S/N: 10801144)","Coupler Attached (LGR S/N: 10801144)","Host Connected (LGR S/N: 10801144)","Stopped (LGR S/N: 10801144)","End Of File (LGR S/N: 10801144)"
1,06/25/21 12:00:00 PM,9.669,5166.7,,,,
2,06/25/21 12:15:00 PM,9.669,3616.7,,,,
3,06/25/21 12:30:00 PM,9.669,5166.7,,,,
4,06/25/21 12:45:00 PM,9.669,4305.6,,,,
5,06/25/21 01:00:00 PM,9.768,5511.1,,,,
6,06/25/21 01:15:00 PM,9.965,7233.4,,,,
7,06/25/21 01:30:00 PM,10.357,7577.8,,,,
8,06/25/21 01:45:00 PM,10.846,4477.8,,,,
9,06/25/21 02:00:00 PM,10.944,4133.4,,,,
10,06/25/21 02:15:00 PM,11.041,2669.5,,,,
11,06/25/21 02:30:00 PM,11.528,4650.0,,,,
12,06/25/21 02:45:00 PM,11.916,4994.5,,,,
13,06/25/21 03:00:00 PM,12.207,2927.8,,,,
14,06/25/21 03:15:00 PM,12.304,1377.8,,,,
15,06/25/21 03:30:00 PM,12.304,2755.6,,,,
16,06/25/21 03:45:00 PM,12.497,592.0,,,,
17,06/25/21 04:00:00 PM,12.497,1022.6,,,,
18,06/25/21 04:15:00 PM,12.497,1808.3,,,,
19,06/25/21 04:30:00 PM,12.401,1722.2,,,,
20,06/25/21 04:45:00 PM,12.207,505.9,,,,
21,06/25/21 05:00:00 PM,12.013,473.6,,,,
22,06/25/21 05:15:00 PM,11.819,1313.2,,,,
23,06/25/21 05:30:00 PM,11.625,193.8,,,,
24,06/25/21 05:45:00 PM,11.431,1184.0,,,,
25,06/25/21 06:00:00 PM,11.139,247.6,,,,
26,06/25/21 06:15:00 PM,11.041,21.5,,,,
27,06/25/21 06:30:00 PM,10.748,0.0,,,,
28,06/25/21 06:45:00 PM,10.553,0.0,,,,
29,06/25/21 07:00:00 PM,10.357,0.0,,,,
30,06/25/21 07:15:00 PM,10.161,0.0,,,,
31,06/25/21 07:30:00 PM,10.063,0.0,,,,
32,06/25/21 07:45:00 PM,10.063,0.0,,,,
33,06/25/21 08:00:00 PM,9.965,0.0,,,,
34,06/25/21 08:15:00 PM,9.965,0.0,,,,
35,06/25/21 08:30:00 PM,9.866,0.0,,,,
36,06/25/21 08:45:00 PM,9.768,0.0,,,,
37,06/25/21 09:00:00 PM,9.669,0.0,,,,
38,06/25/21 09:15:00 PM,9.669,0.0,,,,
39,06/25/21 09:30:00 PM,9.571,0.0,,,,
40,06/25/21 09:45:00 PM,9.472,0.0,,,,
41,06/25/21 10:00:00 PM,9.373,0.0,,,,
42,06/25/21 10:15:00 PM,9.373,0.0,,,,
43,06/25/21 10:30:00 PM,9.373,0.0,,,,
44,06/25/21 10:45:00 PM,9.275,0.0,,,,
45,06/25/21 11:00:00 PM,9.275,0.0,,,,
46,06/25/21 11:15:00 PM,9.176,0.0,,,,
47,06/25/21 11:30:00 PM,9.176,0.0,,,,
48,06/25/21 11:45:00 PM,9.077,0.0,,,,
49,06/26/21 12:00:00 AM,9.077,0.0,,,,
50,06/26/21 12:15:00 AM,8.978,0.0,,,,
51,06/26/21 12:30:00 AM,8.879,0.0,,,,
52,06/26/21 12:45:00 AM,8.879,0.0,,,,
53,06/26/21 01:00:00 AM,8.779,0.0,,,,
54,06/26/21 01:15:00 AM,8.779,0.0,,,,
55,06/26/21 01:30:00 AM,8.779,0.0,,,,
56,06/26/21 01:45:00 AM,8.680,0.0,,,,
