"Plot Title: LUXarriba_03"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10801183, SEN S/N: 10801183)","Intensity, Lux (LGR S/N: 10801183, SEN S/N: 10801183)","Coupler Attached (LGR S/N: 10801183)","Host Connected (LGR S/N: 10801183)","Stopped (LGR S/N: 10801183)","End Of File (LGR S/N: 10801183)"
1,10/20/21 01:15:00 PM,20.519,137778.7,,,,
2,10/20/21 01:30:00 PM,26.097,77156.1,,,,
3,10/20/21 01:45:00 PM,21.569,44089.2,,,,
4,10/20/21 02:00:00 PM,24.738,24800.2,,,,
5,10/20/21 02:15:00 PM,13.269,5511.1,,,,
6,10/20/21 02:30:00 PM,10.455,8611.2,,,,
7,10/20/21 02:45:00 PM,9.669,3961.1,,,,
8,10/20/21 03:00:00 PM,8.978,2927.8,,,,
9,10/20/21 03:15:00 PM,7.983,3961.1,,,,
10,10/20/21 03:30:00 PM,9.275,9644.5,,,,
11,10/20/21 03:45:00 PM,8.680,5338.9,,,,
12,10/20/21 04:00:00 PM,7.582,958.0,,,,
13,10/20/21 04:15:00 PM,6.978,710.4,,,,
14,10/20/21 04:30:00 PM,6.877,688.9,,,,
15,10/20/21 04:45:00 PM,6.471,1022.6,,,,
16,10/20/21 05:00:00 PM,6.370,1097.9,,,,
17,10/20/21 05:15:00 PM,6.064,796.5,,,,
18,10/20/21 05:30:00 PM,5.962,236.8,,,,
19,10/20/21 05:45:00 PM,5.860,312.2,,,,
20,10/20/21 06:00:00 PM,5.757,75.3,,,,
21,10/20/21 06:15:00 PM,5.552,0.0,,,,
22,10/20/21 06:30:00 PM,4.934,0.0,,,,
23,10/20/21 06:45:00 PM,4.831,0.0,,,,
24,10/20/21 07:00:00 PM,4.623,0.0,,,,
25,10/20/21 07:15:00 PM,4.415,0.0,,,,
26,10/20/21 07:30:00 PM,3.998,0.0,,,,
27,10/20/21 07:45:00 PM,4.311,0.0,,,,
28,10/20/21 08:00:00 PM,4.623,0.0,,,,
29,10/20/21 08:15:00 PM,4.831,0.0,,,,
30,10/20/21 08:30:00 PM,4.727,0.0,,,,
31,10/20/21 08:45:00 PM,4.519,0.0,,,,
32,10/20/21 09:00:00 PM,4.623,0.0,,,,
33,10/20/21 09:15:00 PM,4.727,0.0,,,,
34,10/20/21 09:30:00 PM,4.623,0.0,,,,
35,10/20/21 09:45:00 PM,4.623,0.0,,,,
36,10/20/21 10:00:00 PM,4.519,0.0,,,,
