"Plot Title: LUXarriba_04						",,,,,,
#,Date Time,,,,,
1,6/11/2021 11:45,NA,31689.1,,,
2,6/11/2021 12:00,NA,33066.9,,,
3,6/11/2021 12:15,NA,57867,,,
4,6/11/2021 12:30,NA,34444.7,,,
5,6/11/2021 12:45,NA,42711.4,,,
6,6/11/2021 13:00,NA,27555.7,,,
7,6/11/2021 13:15,NA,18600.1,,,
8,6/11/2021 13:30,NA,33066.9,,,
9,6/11/2021 13:45,NA,22044.6,,,
10,6/11/2021 14:00,NA,30311.3,,,
11,6/11/2021 14:15,NA,57867,,,
12,6/11/2021 14:30,NA,57867,,,
13,6/11/2021 14:45,NA,52355.9,,,
14,6/11/2021 15:00,NA,126756.4,,,
15,6/11/2021 15:15,NA,170845.6,,,
16,6/11/2021 15:30,NA,28933.5,,,
17,6/11/2021 15:45,NA,22044.6,,,
18,6/11/2021 16:00,NA,10333.4,,,
19,6/11/2021 16:15,NA,14466.8,,,
20,6/11/2021 16:30,NA,3961.1,,,
21,6/11/2021 16:45,NA,2927.8,,,
22,6/11/2021 17:00,NA,936.5,,,
23,6/11/2021 17:15,NA,1205.6,,,
24,6/11/2021 17:30,NA,958,,,
25,6/11/2021 17:45,NA,678.1,,,
26,6/11/2021 18:00,NA,409,,,
27,6/11/2021 18:15,NA,236.8,,,
28,6/11/2021 18:30,NA,0,,,
29,6/11/2021 18:45,NA,0,,,
30,6/11/2021 19:00,NA,0,,,
31,6/11/2021 19:15,NA,0,,,
32,6/11/2021 19:30,NA,0,,,
33,6/11/2021 19:45,NA,0,,,
34,6/11/2021 20:00,NA,0,,,
35,6/11/2021 20:15,NA,0,,,
36,6/11/2021 20:30,NA,0,,,
37,6/11/2021 20:45,NA,0,,,
38,6/11/2021 21:00,NA,0,,,
39,6/11/2021 21:15,NA,0,,,
40,6/11/2021 21:30,NA,0,,,
41,6/11/2021 21:45,NA,0,,,
42,6/11/2021 22:00,NA,0,,,
43,6/11/2021 22:15,NA,0,,,
44,6/11/2021 22:30,NA,0,,,
45,6/11/2021 22:45,NA,0,,,
46,6/11/2021 23:00,NA,0,,,
47,6/11/2021 23:15,NA,0,,,
48,6/11/2021 23:30,NA,0,,,
49,6/11/2021 23:45,NA,0,,,
50,6/12/2021 0:00,NA,0,,,
51,6/12/2021 0:15,NA,0,,,
52,6/12/2021 0:30,NA,0,,,
53,6/12/2021 0:45,NA,0,,,
54,6/12/2021 1:00,NA,0,,,
55,6/12/2021 1:15,NA,0,,,
56,6/12/2021 1:30,NA,0,,,
57,6/12/2021 1:45,NA,0,,,
58,6/12/2021 2:00,NA,0,,,
59,6/12/2021 2:15,NA,0,,,
60,6/12/2021 2:30,NA,0,,,
61,6/12/2021 2:45,NA,0,,,
62,6/12/2021 3:00,NA,0,,,
63,6/12/2021 3:15,NA,0,,,
64,6/12/2021 3:30,NA,0,,,
65,6/12/2021 3:45,NA,0,,,
66,6/12/2021 4:00,NA,0,,,
67,6/12/2021 4:15,NA,0,,,
68,6/12/2021 4:30,NA,0,,,
69,6/12/2021 4:45,NA,0,,,
70,6/12/2021 5:00,NA,0,,,
71,6/12/2021 5:15,NA,0,,,
72,6/12/2021 5:30,NA,0,,,
73,6/12/2021 5:45,NA,0,,,
74,6/12/2021 6:00,NA,21.5,,,
75,6/12/2021 6:15,NA,279.9,,,
76,6/12/2021 6:30,NA,688.9,,,
77,6/12/2021 6:45,NA,1808.3,,,
78,6/12/2021 7:00,NA,2411.1,,,
79,6/12/2021 7:15,NA,5166.7,,,
80,6/12/2021 7:30,NA,8266.7,,,
81,6/12/2021 7:45,NA,5511.1,,,
82,6/12/2021 8:00,NA,12400.1,,,
83,6/12/2021 8:15,NA,14466.8,,,
84,6/12/2021 8:30,NA,10333.4,,,
85,6/12/2021 8:45,NA,19977.9,,,
86,6/12/2021 9:00,NA,31689.1,,,
87,6/12/2021 9:15,NA,26178,,,
88,6/12/2021 9:30,NA,27555.7,,,
89,6/12/2021 9:45,NA,46844.8,,,
90,6/12/2021 10:00,NA,33066.9,,,
91,6/12/2021 10:15,NA,24800.2,,,
92,6/12/2021 10:30,NA,16533.4,,,
93,6/12/2021 10:45,NA,24800.2,,,
94,6/12/2021 11:00,NA,30311.3,,,
95,6/12/2021 11:15,NA,24800.2,,,
96,6/12/2021 11:30,NA,22044.6,,,
97,6/12/2021 11:45,NA,44089.2,,,
98,6/12/2021 12:00,NA,41333.6,,,
99,6/12/2021 12:15,NA,49600.3,,,
100,6/12/2021 12:30,NA,27555.7,,,
101,6/12/2021 12:45,NA,18600.1,,,
102,6/12/2021 13:00,NA,143289.8,,,
103,6/12/2021 13:15,NA,115734.1,,,
104,6/12/2021 13:30,NA,104711.8,,,
105,6/12/2021 13:45,NA,57867,,,
106,6/12/2021 14:00,NA,176356.7,,,
107,6/12/2021 14:15,NA,52355.9,,,
108,6/12/2021 14:30,NA,176356.7,,,
109,6/12/2021 14:45,NA,187379,,,
110,6/12/2021 15:00,NA,176356.7,,,
111,6/12/2021 15:15,NA,176356.7,,,
112,6/12/2021 15:30,NA,165334.4,,,
113,6/12/2021 15:45,NA,13089,,,
114,6/12/2021 16:00,NA,132267.5,,,
115,6/12/2021 16:15,NA,41333.6,,,
116,6/12/2021 16:30,NA,34444.7,,,
117,6/12/2021 16:45,NA,46844.8,,,
118,6/12/2021 17:00,NA,38578,,,
119,6/12/2021 17:15,NA,22044.6,,,
120,6/12/2021 17:30,NA,1722.2,,,
121,6/12/2021 17:45,NA,581.3,,,
122,6/12/2021 18:00,NA,279.9,,,
123,6/12/2021 18:15,NA,43.1,,,
124,6/12/2021 18:30,NA,0,,,
125,6/12/2021 18:45,NA,0,,,
126,6/12/2021 19:00,NA,0,,,
127,6/12/2021 19:15,NA,0,,,
128,6/12/2021 19:30,NA,0,,,
129,6/12/2021 19:45,NA,0,,,
130,6/12/2021 20:00,NA,0,,,
131,6/12/2021 20:15,NA,0,,,
132,6/12/2021 20:30,NA,0,,,
133,6/12/2021 20:45,NA,0,,,
134,6/12/2021 21:00,NA,0,,,
135,6/12/2021 21:15,NA,0,,,
136,6/12/2021 21:30,NA,0,,,
137,6/12/2021 21:45,NA,0,,,
138,6/12/2021 22:00,NA,0,,,
139,6/12/2021 22:15,NA,0,,,
140,6/12/2021 22:30,NA,0,,,
141,6/12/2021 22:45,NA,0,,,
142,6/12/2021 23:00,NA,0,,,
143,6/12/2021 23:15,NA,0,,,
144,6/12/2021 23:30,NA,0,,,
145,6/12/2021 23:45,NA,0,,,
146,6/13/2021 0:00,NA,0,,,
147,6/13/2021 0:15,NA,0,,,
148,6/13/2021 0:30,NA,0,,,
149,6/13/2021 0:45,NA,0,,,
150,6/13/2021 1:00,NA,0,,,
151,6/13/2021 1:15,NA,0,,,
152,6/13/2021 1:30,NA,0,,,
153,6/13/2021 1:45,NA,0,,,
154,6/13/2021 2:00,NA,0,,,
155,6/13/2021 2:15,NA,0,,,
156,6/13/2021 2:30,NA,0,,,
157,6/13/2021 2:45,NA,0,,,
158,6/13/2021 3:00,NA,0,,,
159,6/13/2021 3:15,NA,0,,,
160,6/13/2021 3:30,NA,0,,,
161,6/13/2021 3:45,NA,0,,,
162,6/13/2021 4:00,NA,0,,,
163,6/13/2021 4:15,NA,0,,,
164,6/13/2021 4:30,NA,0,,,
165,6/13/2021 4:45,NA,0,,,
166,6/13/2021 5:00,NA,0,,,
167,6/13/2021 5:15,NA,0,,,
168,6/13/2021 5:30,NA,0,,,
169,6/13/2021 5:45,NA,0,,,
170,6/13/2021 6:00,NA,0,,,
171,6/13/2021 6:15,NA,118.4,,,
172,6/13/2021 6:30,NA,624.3,,,
173,6/13/2021 6:45,NA,1248.6,,,
174,6/13/2021 7:00,NA,2583.4,,,
175,6/13/2021 7:15,NA,3788.9,,,
176,6/13/2021 7:30,NA,5166.7,,,
177,6/13/2021 7:45,NA,6544.5,,,
178,6/13/2021 8:00,NA,6200,,,
179,6/13/2021 8:15,NA,8611.2,,,
180,6/13/2021 8:30,NA,7577.8,,,
181,6/13/2021 8:45,NA,16533.4,,,
182,6/13/2021 9:00,NA,13777.9,,,
183,6/13/2021 9:15,NA,12400.1,,,
184,6/13/2021 9:30,NA,28933.5,,,
185,6/13/2021 9:45,NA,20666.8,,,
186,6/13/2021 10:00,NA,19977.9,,,
187,6/13/2021 10:15,NA,10677.8,,,
188,6/13/2021 10:30,NA,23422.4,,,
189,6/13/2021 10:45,NA,38578,,,
190,6/13/2021 11:00,NA,26178,,,
191,6/13/2021 11:15,NA,26178,,,
192,6/13/2021 11:30,NA,31689.1,,,
193,6/13/2021 11:45,NA,52355.9,,,
194,6/13/2021 12:00,NA,79911.6,,,
195,6/13/2021 12:15,NA,79911.6,,,
196,6/13/2021 12:30,NA,154312.1,,,
197,6/13/2021 12:45,NA,38578,,,
198,6/13/2021 13:00,NA,60622.6,,,
199,6/13/2021 13:15,NA,52355.9,,,
200,6/13/2021 13:30,NA,42711.4,,,
201,6/13/2021 13:45,NA,39955.8,,,
202,6/13/2021 14:00,NA,46844.8,,,
203,6/13/2021 14:15,NA,52355.9,,,
204,6/13/2021 14:30,NA,27555.7,,,
205,6/13/2021 14:45,NA,7577.8,,,
206,6/13/2021 15:00,NA,13089,,,
207,6/13/2021 15:15,NA,22044.6,,,
208,6/13/2021 15:30,NA,11022.3,,,
209,6/13/2021 15:45,NA,7233.4,,,
210,6/13/2021 16:00,NA,6200,,,
211,6/13/2021 16:15,NA,6544.5,,,
212,6/13/2021 16:30,NA,9300.1,,,
213,6/13/2021 16:45,NA,6544.5,,,
214,6/13/2021 17:00,NA,4822.3,,,
215,6/13/2021 17:15,NA,5166.7,,,
216,6/13/2021 17:30,NA,2583.4,,,
217,6/13/2021 17:45,NA,764.2,,,
218,6/13/2021 18:00,NA,581.3,,,
219,6/13/2021 18:15,NA,43.1,,,
220,6/13/2021 18:30,NA,0,,,
221,6/13/2021 18:45,NA,0,,,
222,6/13/2021 19:00,NA,0,,,
223,6/13/2021 19:15,NA,0,,,
224,6/13/2021 19:30,NA,0,,,
225,6/13/2021 19:45,NA,0,,,
226,6/13/2021 20:00,NA,0,,,
227,6/13/2021 20:15,NA,0,,,
228,6/13/2021 20:30,NA,0,,,
229,6/13/2021 20:45,NA,0,,,
230,6/13/2021 21:00,NA,0,,,
231,6/13/2021 21:15,NA,0,,,
232,6/13/2021 21:30,NA,0,,,
233,6/13/2021 21:45,NA,0,,,
234,6/13/2021 22:00,NA,0,,,
235,6/13/2021 22:15,NA,0,,,
236,6/13/2021 22:30,NA,0,,,
237,6/13/2021 22:45,NA,0,,,
238,6/13/2021 23:00,NA,0,,,
239,6/13/2021 23:15,NA,0,,,
240,6/13/2021 23:30,NA,0,,,
241,6/13/2021 23:45,NA,0,,,
242,6/14/2021 0:00,NA,0,,,
243,6/14/2021 0:15,NA,0,,,
244,6/14/2021 0:30,NA,0,,,
245,6/14/2021 0:45,NA,0,,,
246,6/14/2021 1:00,NA,0,,,
247,6/14/2021 1:15,NA,0,,,
248,6/14/2021 1:30,NA,0,,,
249,6/14/2021 1:45,NA,0,,,
250,6/14/2021 2:00,NA,0,,,
251,6/14/2021 2:15,NA,0,,,
252,6/14/2021 2:30,NA,0,,,
253,6/14/2021 2:45,NA,0,,,
254,6/14/2021 3:00,NA,0,,,
255,6/14/2021 3:15,NA,0,,,
256,6/14/2021 3:30,NA,0,,,
257,6/14/2021 3:45,NA,0,,,
258,6/14/2021 4:00,NA,0,,,
259,6/14/2021 4:15,NA,0,,,
260,6/14/2021 4:30,NA,0,,,
261,6/14/2021 4:45,NA,0,,,
262,6/14/2021 5:00,NA,0,,,
263,6/14/2021 5:15,NA,0,,,
264,6/14/2021 5:30,NA,0,,,
265,6/14/2021 5:45,NA,0,,,
266,6/14/2021 6:00,NA,21.5,,,
267,6/14/2021 6:15,NA,150.7,,,
268,6/14/2021 6:30,NA,710.4,,,
269,6/14/2021 6:45,NA,1324,,,
270,6/14/2021 7:00,NA,4133.4,,,
271,6/14/2021 7:15,NA,6544.5,,,
272,6/14/2021 7:30,NA,10677.8,,,
273,6/14/2021 7:45,NA,11022.3,,,
274,6/14/2021 8:00,NA,10333.4,,,
275,6/14/2021 8:15,NA,14466.8,,,
276,6/14/2021 8:30,NA,24800.2,,,
277,6/14/2021 8:45,NA,18600.1,,,
278,6/14/2021 9:00,NA,28933.5,,,
279,6/14/2021 9:15,NA,24800.2,,,
280,6/14/2021 9:30,NA,176356.7,,,
281,6/14/2021 9:45,NA,28933.5,,,
282,6/14/2021 10:00,NA,46844.8,,,
283,6/14/2021 10:15,NA,39955.8,,,
284,6/14/2021 10:30,NA,159823.3,,,
285,6/14/2021 10:45,NA,74400.5,,,
286,6/14/2021 11:00,NA,231468.2,,,
287,6/14/2021 11:15,NA,231468.2,,,
288,6/14/2021 11:30,NA,253512.8,,,
289,6/14/2021 11:45,NA,231468.2,,,
290,6/14/2021 12:00,NA,44089.2,,,
291,6/14/2021 12:15,NA,46844.8,,,
292,6/14/2021 12:30,NA,42711.4,,,
293,6/14/2021 12:45,NA,19289,,,
294,6/14/2021 13:00,NA,31689.1,,,
295,6/14/2021 13:15,NA,19977.9,,,
296,6/14/2021 13:30,NA,37200.2,,,
297,6/14/2021 13:45,NA,275557.4,,,
298,6/14/2021 14:00,NA,253512.8,,,
299,6/14/2021 14:15,NA,19289,,,
300,6/14/2021 14:26,NA,Logged,Logged,,
301,6/14/2021 14:26,NA,,,Logged,Logged
