"Plot Title: luxabajo_02"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10801144, SEN S/N: 10801144, LBL: Green)","Intensity, Lux (LGR S/N: 10801144, SEN S/N: 10801144)","Coupler Attached (LGR S/N: 10801144)","Host Connected (LGR S/N: 10801144)","Stopped (LGR S/N: 10801144)","End Of File (LGR S/N: 10801144)"
1,06/18/21 12:15:00 PM,9.669,8611.2,,,,
2,06/18/21 12:30:00 PM,9.768,7577.8,,,,
3,06/18/21 12:45:00 PM,9.768,2755.6,,,,
4,06/18/21 01:00:00 PM,9.669,8611.2,,,,
5,06/18/21 01:15:00 PM,9.472,8266.7,,,,
6,06/18/21 01:30:00 PM,9.472,7577.8,,,,
7,06/18/21 01:45:00 PM,9.571,7233.4,,,,
8,06/18/21 02:00:00 PM,9.669,4650.0,,,,
9,06/18/21 02:15:00 PM,9.768,5338.9,,,,
10,06/18/21 02:30:00 PM,9.669,2927.8,,,,
11,06/18/21 02:45:00 PM,9.472,775.0,,,,
12,06/18/21 03:00:00 PM,9.275,1205.6,,,,
13,06/18/21 03:15:00 PM,9.077,2927.8,,,,
14,06/18/21 03:30:00 PM,8.978,3100.0,,,,
15,06/18/21 03:45:00 PM,8.978,6200.0,,,,
16,06/18/21 04:00:00 PM,8.978,430.6,,,,
17,06/18/21 04:15:00 PM,9.176,958.0,,,,
18,06/18/21 04:30:00 PM,9.176,1894.5,,,,
19,06/18/21 04:45:00 PM,9.176,2497.2,,,,
20,06/18/21 05:00:00 PM,9.077,2238.9,,,,
21,06/18/21 05:15:00 PM,9.077,828.8,,,,
22,06/18/21 05:30:00 PM,9.077,1377.8,,,,
23,06/18/21 05:45:00 PM,8.978,1550.0,,,,
24,06/18/21 06:00:00 PM,8.879,398.3,,,,
25,06/18/21 06:15:00 PM,8.779,21.5,,,,
26,06/18/21 06:30:00 PM,8.680,0.0,,,,
27,06/18/21 06:45:00 PM,8.680,0.0,,,,
28,06/18/21 07:00:00 PM,8.581,0.0,,,,
29,06/18/21 07:15:00 PM,8.481,0.0,,,,
30,06/18/21 07:30:00 PM,8.481,0.0,,,,
31,06/18/21 07:45:00 PM,8.382,0.0,,,,
32,06/18/21 08:00:00 PM,8.382,0.0,,,,
33,06/18/21 08:15:00 PM,8.382,0.0,,,,
34,06/18/21 08:30:00 PM,8.382,0.0,,,,
35,06/18/21 08:45:00 PM,8.282,0.0,,,,
36,06/18/21 09:00:00 PM,8.282,0.0,,,,
37,06/18/21 09:15:00 PM,8.282,0.0,,,,
38,06/18/21 09:30:00 PM,8.282,0.0,,,,
39,06/18/21 09:45:00 PM,8.182,0.0,,,,
40,06/18/21 10:00:00 PM,8.182,0.0,,,,
41,06/18/21 10:15:00 PM,8.182,0.0,,,,
42,06/18/21 10:30:00 PM,8.082,0.0,,,,
43,06/18/21 10:45:00 PM,8.082,0.0,,,,
44,06/18/21 11:00:00 PM,8.082,0.0,,,,
45,06/18/21 11:15:00 PM,8.082,0.0,,,,
46,06/18/21 11:30:00 PM,8.082,0.0,,,,
47,06/18/21 11:45:00 PM,8.082,0.0,,,,
48,06/19/21 12:00:00 AM,7.983,0.0,,,,
49,06/19/21 12:15:00 AM,7.983,0.0,,,,
50,06/19/21 12:30:00 AM,7.983,0.0,,,,
51,06/19/21 12:45:00 AM,7.983,0.0,,,,
52,06/19/21 01:00:00 AM,7.983,0.0,,,,
53,06/19/21 01:15:00 AM,7.882,0.0,,,,
54,06/19/21 01:30:00 AM,7.882,0.0,,,,
55,06/19/21 01:45:00 AM,7.882,0.0,,,,
56,06/19/21 02:00:00 AM,7.882,0.0,,,,
57,06/19/21 02:15:00 AM,7.782,0.0,,,,
58,06/19/21 02:30:00 AM,7.782,0.0,,,,
59,06/19/21 02:45:00 AM,7.782,0.0,,,,
60,06/19/21 03:00:00 AM,7.682,0.0,,,,
61,06/19/21 03:15:00 AM,7.582,0.0,,,,
62,06/19/21 03:30:00 AM,7.582,0.0,,,,
63,06/19/21 03:45:00 AM,7.582,0.0,,,,
64,06/19/21 04:00:00 AM,7.481,0.0,,,,
65,06/19/21 04:15:00 AM,7.481,0.0,,,,
66,06/19/21 04:30:00 AM,7.381,0.0,,,,
67,06/19/21 04:45:00 AM,7.280,0.0,,,,
68,06/19/21 05:00:00 AM,7.079,0.0,,,,
69,06/19/21 05:15:00 AM,6.573,0.0,,,,
70,06/19/21 05:30:00 AM,6.166,0.0,,,,
71,06/19/21 05:45:00 AM,5.962,0.0,,,,
72,06/19/21 06:00:00 AM,5.962,0.0,,,,
73,06/19/21 06:15:00 AM,5.962,21.5,,,,
74,06/19/21 06:30:00 AM,6.064,64.6,,,,
75,06/19/21 06:45:00 AM,6.064,290.6,,,,
76,06/19/21 07:00:00 AM,6.166,215.3,,,,
77,06/19/21 07:15:00 AM,6.166,269.1,,,,
78,06/19/21 07:30:00 AM,6.268,376.7,,,,
79,06/19/21 07:45:00 AM,6.268,1237.9,,,,
80,06/19/21 08:00:00 AM,6.370,3616.7,,,,
81,06/19/21 08:15:00 AM,6.370,1550.0,,,,
82,06/19/21 08:30:00 AM,6.471,710.4,,,,
83,06/19/21 08:45:00 AM,6.573,2755.6,,,,
84,06/19/21 09:00:00 AM,6.674,1636.1,,,,
85,06/19/21 09:15:00 AM,6.877,5166.7,,,,
86,06/19/21 09:30:00 AM,6.978,2927.8,,,,
87,06/19/21 09:45:00 AM,7.079,2755.6,,,,
88,06/19/21 10:00:00 AM,7.179,3100.0,,,,
89,06/19/21 10:15:00 AM,7.280,2238.9,,,,
90,06/19/21 10:30:00 AM,7.381,3616.7,,,,
91,06/19/21 10:45:00 AM,7.481,3272.2,,,,
92,06/19/21 11:00:00 AM,7.582,5511.1,,,,
93,06/19/21 11:15:00 AM,7.782,5166.7,,,,
94,06/19/21 11:30:00 AM,8.082,2152.8,,,,
95,06/19/21 11:45:00 AM,8.082,1808.3,,,,
96,06/19/21 12:00:00 PM,8.082,3961.1,,,,
97,06/19/21 12:15:00 PM,8.082,2583.4,,,,
98,06/19/21 12:30:00 PM,8.082,4822.3,,,,
99,06/19/21 12:45:00 PM,8.082,5166.7,,,,
100,06/19/21 01:00:00 PM,8.282,4994.5,,,,
101,06/19/21 01:15:00 PM,8.581,4305.6,,,,
102,06/19/21 01:30:00 PM,8.581,2152.8,,,,
103,06/19/21 01:45:00 PM,8.581,5511.1,,,,
104,06/19/21 02:00:00 PM,8.680,3444.5,,,,
105,06/19/21 02:15:00 PM,8.779,2497.2,,,,
106,06/19/21 02:30:00 PM,8.680,5166.7,,,,
107,06/19/21 02:45:00 PM,8.879,6200.0,,,,
108,06/19/21 03:00:00 PM,9.077,3272.2,,,,
