"Plot Title: LUXarriba_01"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10163226, SEN S/N: 10163226)","Intensity, Lux (LGR S/N: 10163226, SEN S/N: 10163226)","Coupler Attached (LGR S/N: 10163226)","Coupler Detached (LGR S/N: 10163226)","Host Connected (LGR S/N: 10163226)","Stopped (LGR S/N: 10163226)","End Of File (LGR S/N: 10163226)"
1,06/18/21 11:30:00 AM,13.654,1722.2,,,,,
2,06/18/21 11:45:00 AM,16.046,126756.4,,,,,
3,06/18/21 12:00:00 PM,17.189,52355.9,,,,,
4,06/18/21 12:15:00 PM,16.141,93689.5,,,,,
5,06/18/21 12:30:00 PM,10.846,63378.2,,,,,
6,06/18/21 12:45:00 PM,7.983,24800.2,,,,,
7,06/18/21 01:00:00 PM,8.978,77156.1,,,,,
8,06/18/21 01:15:00 PM,10.455,68889.3,,,,,
9,06/18/21 01:30:00 PM,11.041,57867.0,,,,,
10,06/18/21 01:45:00 PM,12.304,77156.1,,,,,
11,06/18/21 02:00:00 PM,11.431,41333.6,,,,,
12,06/18/21 02:15:00 PM,9.866,33066.9,,,,,
13,06/18/21 02:30:00 PM,7.983,26178.0,,,,,
14,06/18/21 02:45:00 PM,5.450,5166.7,,,,,
15,06/18/21 03:00:00 PM,5.037,7233.4,,,,,
16,06/18/21 03:15:00 PM,5.655,17222.3,,,,,
17,06/18/21 03:30:00 PM,6.370,34444.7,,,,,
18,06/18/21 03:45:00 PM,9.571,46844.8,,,,,
19,06/18/21 04:00:00 PM,5.860,7233.4,,,,,
20,06/18/21 04:15:00 PM,7.481,7577.8,,,,,
21,06/18/21 04:30:00 PM,6.370,11711.2,,,,,
22,06/18/21 04:45:00 PM,6.978,18600.1,,,,,
23,06/18/21 05:00:00 PM,6.978,16533.4,,,,,
24,06/18/21 05:15:00 PM,5.962,6200.0,,,,,
25,06/18/21 05:30:00 PM,5.141,10677.8,,,,,
26,06/18/21 05:45:00 PM,5.244,14466.8,,,,,
27,06/18/21 06:00:00 PM,4.727,2755.6,,,,,
28,06/18/21 06:15:00 PM,4.102,236.8,,,,,
29,06/18/21 06:30:00 PM,3.893,43.1,,,,,
30,06/18/21 06:45:00 PM,3.788,0.0,,,,,
31,06/18/21 07:00:00 PM,3.788,0.0,,,,,
32,06/18/21 07:15:00 PM,3.683,0.0,,,,,
33,06/18/21 07:30:00 PM,3.683,0.0,,,,,
34,06/18/21 07:45:00 PM,3.683,0.0,,,,,
35,06/18/21 08:00:00 PM,3.683,0.0,,,,,
36,06/18/21 08:15:00 PM,3.578,0.0,,,,,
37,06/18/21 08:30:00 PM,3.578,0.0,,,,,
38,06/18/21 08:45:00 PM,3.578,0.0,,,,,
39,06/18/21 09:00:00 PM,3.683,0.0,,,,,
40,06/18/21 09:15:00 PM,3.683,0.0,,,,,
41,06/18/21 09:30:00 PM,3.683,0.0,,,,,
42,06/18/21 09:45:00 PM,3.578,0.0,,,,,
43,06/18/21 10:00:00 PM,3.472,0.0,,,,,
44,06/18/21 10:15:00 PM,3.578,0.0,,,,,
45,06/18/21 10:30:00 PM,3.578,0.0,,,,,
46,06/18/21 10:45:00 PM,3.578,0.0,,,,,
47,06/18/21 11:00:00 PM,3.578,0.0,,,,,
48,06/18/21 11:15:00 PM,3.578,0.0,,,,,
49,06/18/21 11:30:00 PM,3.472,0.0,,,,,
50,06/18/21 11:45:00 PM,3.472,0.0,,,,,
51,06/19/21 12:00:00 AM,3.578,0.0,,,,,
52,06/19/21 12:15:00 AM,3.578,0.0,,,,,
53,06/19/21 12:30:00 AM,3.578,0.0,,,,,
54,06/19/21 12:45:00 AM,3.683,0.0,,,,,
55,06/19/21 01:00:00 AM,3.578,0.0,,,,,
56,06/19/21 01:15:00 AM,3.683,0.0,,,,,
57,06/19/21 01:30:00 AM,3.683,0.0,,,,,
58,06/19/21 01:45:00 AM,3.683,0.0,,,,,
59,06/19/21 02:00:00 AM,3.578,0.0,,,,,
60,06/19/21 02:15:00 AM,3.472,0.0,,,,,
61,06/19/21 02:30:00 AM,3.472,0.0,,,,,
62,06/19/21 02:45:00 AM,3.261,0.0,,,,,
63,06/19/21 03:00:00 AM,2.943,0.0,,,,,
64,06/19/21 03:15:00 AM,3.049,0.0,,,,,
65,06/19/21 03:30:00 AM,2.837,0.0,,,,,
66,06/19/21 03:45:00 AM,2.624,0.0,,,,,
67,06/19/21 04:00:00 AM,2.730,0.0,,,,,
68,06/19/21 04:15:00 AM,2.624,0.0,,,,,
69,06/19/21 04:30:00 AM,2.517,0.0,,,,,
70,06/19/21 04:45:00 AM,1.548,0.0,,,,,
71,06/19/21 05:00:00 AM,0.343,0.0,,,,,
72,06/19/21 05:15:00 AM,0.232,0.0,,,,,
73,06/19/21 05:30:00 AM,0.343,0.0,,,,,
74,06/19/21 05:45:00 AM,0.674,0.0,,,,,
75,06/19/21 06:00:00 AM,1.003,0.0,,,,,
76,06/19/21 06:15:00 AM,1.548,355.2,,,,,
77,06/19/21 06:30:00 AM,2.195,699.7,,,,,
78,06/19/21 06:45:00 AM,2.837,2669.5,,,,,
79,06/19/21 07:00:00 AM,3.261,2583.4,,,,,
80,06/19/21 07:15:00 AM,3.578,2325.0,,,,,
81,06/19/21 07:30:00 AM,3.893,4305.6,,,,,
82,06/19/21 07:45:00 AM,4.519,9644.5,,,,,
83,06/19/21 08:00:00 AM,5.450,41333.6,,,,,
84,06/19/21 08:15:00 AM,5.450,23422.4,,,,,
85,06/19/21 08:30:00 AM,5.037,11022.3,,,,,
86,06/19/21 08:45:00 AM,6.064,28933.5,,,,,
87,06/19/21 09:00:00 AM,6.978,27555.7,,,,,
88,06/19/21 09:15:00 AM,7.381,52355.9,,,,,
89,06/19/21 09:30:00 AM,6.573,28933.5,,,,,
90,06/19/21 09:45:00 AM,6.877,22044.6,,,,,
91,06/19/21 10:00:00 AM,7.582,41333.6,,,,,
92,06/19/21 10:15:00 AM,6.877,24800.2,,,,,
93,06/19/21 10:30:00 AM,6.775,30311.3,,,,,
94,06/19/21 10:45:00 AM,7.582,33066.9,,,,,
95,06/19/21 11:00:00 AM,8.282,44089.2,,,,,
96,06/19/21 11:15:00 AM,10.455,49600.3,,,,,
97,06/19/21 11:30:00 AM,8.382,24800.2,,,,,
98,06/19/21 11:45:00 AM,7.280,22044.6,,,,,
99,06/19/21 12:00:00 PM,7.682,39955.8,,,,,
100,06/19/21 12:15:00 PM,6.775,18600.1,,,,,
101,06/19/21 12:30:00 PM,7.582,66133.8,,,,,
102,06/19/21 12:45:00 PM,8.680,52355.9,,,,,
103,06/19/21 01:00:00 PM,10.357,49600.3,,,,,
104,06/19/21 01:15:00 PM,9.275,34444.7,,,,,
105,06/19/21 01:30:00 PM,7.582,21355.7,,,,,
106,06/19/21 01:45:00 PM,8.779,52355.9,,,,,
107,06/19/21 02:00:00 PM,8.879,30311.3,,,,,
108,06/19/21 02:15:00 PM,6.370,24800.2,,,,,
109,06/19/21 02:30:00 PM,8.879,71644.9,,,,,
110,06/19/21 02:45:00 PM,10.944,55111.5,,,,,
111,06/19/21 03:00:00 PM,8.779,41333.6,,,,,
112,06/19/21 03:15:00 PM,9.275,38578.0,,,,,
113,06/19/21 03:30:00 PM,8.082,30311.3,,,,,
114,06/19/21 03:45:00 PM,6.877,14466.8,,,,,
115,06/19/21 04:00:00 PM,8.182,28933.5,,,,,
116,06/19/21 04:15:00 PM,8.680,57867.0,,,,,
117,06/19/21 04:30:00 PM,7.882,17222.3,,,,,
118,06/19/21 04:45:00 PM,7.481,21355.7,,,,,
119,06/19/21 05:00:00 PM,6.166,13777.9,,,,,
120,06/19/21 05:15:00 PM,6.370,9300.1,,,,,
121,06/19/21 05:30:00 PM,5.141,3788.9,,,,,
122,06/19/21 05:45:00 PM,4.831,2755.6,,,,,
123,06/19/21 06:00:00 PM,4.519,2927.8,,,,,
124,06/19/21 06:15:00 PM,3.998,742.7,,,,,
125,06/19/21 06:30:00 PM,3.893,0.0,,,,,
126,06/19/21 06:45:00 PM,3.893,0.0,,,,,
127,06/19/21 07:00:00 PM,3.893,0.0,,,,,
128,06/19/21 07:15:00 PM,3.155,0.0,,,,,
129,06/19/21 07:30:00 PM,3.472,0.0,,,,,
130,06/19/21 07:45:00 PM,3.049,0.0,,,,,
131,06/19/21 08:00:00 PM,2.837,0.0,,,,,
132,06/19/21 08:15:00 PM,2.730,0.0,,,,,
133,06/19/21 08:30:00 PM,3.049,0.0,,,,,
134,06/19/21 08:45:00 PM,3.049,0.0,,,,,
135,06/19/21 09:00:00 PM,2.943,0.0,,,,,
136,06/19/21 09:15:00 PM,2.837,0.0,,,,,
137,06/19/21 09:30:00 PM,2.517,0.0,,,,,
138,06/19/21 09:45:00 PM,2.303,0.0,,,,,
139,06/19/21 10:00:00 PM,2.517,0.0,,,,,
140,06/19/21 10:15:00 PM,2.517,0.0,,,,,
141,06/19/21 10:30:00 PM,2.624,0.0,,,,,
142,06/19/21 10:45:00 PM,2.517,0.0,,,,,
143,06/19/21 11:00:00 PM,2.410,0.0,,,,,
144,06/19/21 11:15:00 PM,2.517,0.0,,,,,
145,06/19/21 11:30:00 PM,2.410,0.0,,,,,
146,06/19/21 11:45:00 PM,2.303,0.0,,,,,
147,06/20/21 12:00:00 AM,2.195,0.0,,,,,
