site,distance_m,width_cm,depth_cm,velocity_ms,presaltcond_uS,postsaltcond_uS,presalttemp_C,postsalttemp_C,finalcond_uS,finaltemp_C
GAVI,0,40,38,0.05,9.6,NA,7.9,NA,NA,NA
GAVI,5,45,32,0.23,NA,NA,NA,NA,NA,NA
GAVI,10,40,33,0.2,7.7,NA,7.9,NA,NA,NA
GAVI,15,68,60,0.07,NA,NA,NA,NA,NA,NA
GAVI,20,67,8,0.6,7.7,NA,7.9,NA,NA,NA
GAVI,25,65,14,0.35,NA,NA,NA,NA,NA,NA
GAVI,30,42,11,0.5,7.6,NA,8,NA,NA,NA
GAVI,35,44,9,0.55,NA,NA,NA,NA,NA,NA
GAVI,40,68,19,0.3,7.6,NA,8,NA,NA,NA
GAVI,45,70,3,1.3,NA,NA,NA,NA,NA,NA
GAVI,50,55,3,1,7.4,NA,8,NA,NA,NA
GAVI,55,55,17,0.37,NA,NA,NA,NA,NA,NA
GAVI,60,60,3,0.95,7.5,NA,8,NA,NA,NA
GAVI,65,50,3,1.1,NA,NA,NA,NA,NA,NA
GAVI,70,61,5,1.12,7.6,NA,8,NA,NA,NA
GAVI,75,56,7,1.5,NA,NA,NA,NA,NA,NA
GAVI,80,66,20,0.14,7.4,32.8,8,8.9,NA,NA
GAVI,85,115,62,0.09,NA,NA,NA,NA,NA,NA
GAVI,90,62,6,0.9,7.3,32.6,8,8.9,NA,NA
GAVI,95,48,18,0.22,NA,NA,NA,NA,NA,NA
GAVI,100,119,14,0.32,7.5,30.6,8.2,8.8,NA,NA
GAVI,105,73,28,0.07,NA,NA,NA,NA,NA,NA
GAVI,110,62,16,0.03,7.5,33,8.2,8.7,NA,NA
GAVI,115,42,20,0.19,NA,NA,NA,NA,NA,NA
GAVI,120,102,9,0.09,8.2,31.8,8.1,8.7,NA,NA
GAVI,125,NA,NA,NA,NA,NA,NA,NA,NA,NA
GAVI,130,NA,NA,NA,8.3,33,8.2,8.6,NA,NA
GAVI,135,NA,NA,NA,NA,NA,NA,NA,NA,NA
GAVI,140,NA,NA,NA,8.3,34,8.2,8.5,NA,NA
