Device Name:,,OM-CP-VOLT101A,,,,,,,,,
Device Description:,,Voltage Data Logger,,,,,,,,,
Serial Number:,,R37297,,,,,,,,,
Device ID:,,SynopticOld,,,,,,,,,
,,,,,,,,,,,
,,Channel 1,,,,,,,,,
Date,Time,Voltage (ppm),Tract,Description,Point,lat,lon,elev,WS,Notes,Notes_2
7/5/2021,1:01:50 PM,691,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:01:55 PM,696,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:02:00 PM,701,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:02:05 PM,701,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:02:10 PM,706,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:02:15 PM,706,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:02:20 PM,706,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:02:25 PM,711,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:02:30 PM,722,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:02:35 PM,737,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
