Serial_number:
2020433
Project ID:

Location:

Well02
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,Well02,TEMPERATURE
7/27/2021,12:30:00 pm,0,64.4633,6.493
7/27/2021,12:45:00 pm,0,64.4448,6.128
7/27/2021,01:00:00 pm,0,64.4396,6.081
7/27/2021,01:15:00 pm,0,64.4309,6.060
7/27/2021,01:30:00 pm,0,64.4192,6.053
7/27/2021,01:45:00 pm,0,64.4042,6.056
7/27/2021,02:00:00 pm,0,64.4091,6.065
7/27/2021,02:15:00 pm,0,64.4095,6.079
7/27/2021,02:30:00 pm,0,64.4017,6.099
7/27/2021,02:45:00 pm,0,64.3797,6.122
7/27/2021,03:00:00 pm,0,64.3718,6.151
7/27/2021,03:15:00 pm,0,64.3429,6.180
7/27/2021,03:30:00 pm,0,64.3420,6.211
7/27/2021,03:45:00 pm,0,64.3385,6.240
7/27/2021,04:00:00 pm,0,64.3354,6.268
7/27/2021,04:15:00 pm,0,64.3503,6.291
7/27/2021,04:30:00 pm,0,64.3561,6.315
7/27/2021,04:45:00 pm,0,64.3527,6.336
7/27/2021,05:00:00 pm,0,64.3668,6.358
7/27/2021,05:15:00 pm,0,64.3670,6.377
7/27/2021,05:30:00 pm,0,64.3719,6.395
7/27/2021,05:45:00 pm,0,64.3761,6.407
7/27/2021,06:00:00 pm,0,64.3919,6.418
7/27/2021,06:15:00 pm,0,64.4002,6.426
7/27/2021,06:30:00 pm,0,64.4134,6.434
7/27/2021,06:45:00 pm,0,64.4191,6.435
7/27/2021,07:00:00 pm,0,64.4204,6.431
7/27/2021,07:15:00 pm,0,64.4239,6.422
7/27/2021,07:30:00 pm,0,64.4252,6.407
7/27/2021,07:45:00 pm,0,64.4301,6.390
7/27/2021,08:00:00 pm,0,64.4391,6.368
7/27/2021,08:15:00 pm,0,64.4455,6.345
7/27/2021,08:30:00 pm,0,64.4524,6.322
7/27/2021,08:45:00 pm,0,64.4575,6.296
7/27/2021,09:00:00 pm,0,64.4680,6.261
7/27/2021,09:15:00 pm,0,64.4764,6.223
7/27/2021,09:30:00 pm,0,64.4722,6.184
7/27/2021,09:45:00 pm,0,64.4750,6.138
7/27/2021,10:00:00 pm,0,64.4844,6.101
7/27/2021,10:15:00 pm,0,64.4847,6.074
7/27/2021,10:30:00 pm,0,64.4876,6.053
7/27/2021,10:45:00 pm,0,64.4763,6.044
7/27/2021,11:00:00 pm,0,64.4756,5.992
7/27/2021,11:15:00 pm,0,64.4914,5.973
7/27/2021,11:30:00 pm,0,64.4893,5.952
7/27/2021,11:45:00 pm,0,64.4922,5.940
7/28/2021,12:00:00 am,0,64.4941,5.919
7/28/2021,12:15:00 am,0,64.4884,5.893
7/28/2021,12:30:00 am,0,64.4762,5.867
