Serial_number:
2020421
Project ID:

Location:

Station01
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,Station01,TEMPERATURE
10/20/2021,11:26:01 am,0,62.8059,12.494
10/20/2021,11:41:01 am,0,64.0694,9.654
10/20/2021,11:56:01 am,0,64.0625,9.516
10/20/2021,12:11:01 pm,0,64.0428,9.474
10/20/2021,12:26:01 pm,0,64.0183,9.465
10/20/2021,12:41:01 pm,0,64.0070,9.465
10/20/2021,12:56:01 pm,0,63.9916,9.464
10/20/2021,01:11:01 pm,0,63.9649,9.461
10/20/2021,01:26:01 pm,0,63.9440,9.460
10/20/2021,01:41:01 pm,0,63.9160,9.462
10/20/2021,01:56:01 pm,0,63.8846,9.463
10/20/2021,02:11:01 pm,0,63.8711,9.464
10/20/2021,02:26:01 pm,0,63.8571,9.460
10/20/2021,02:41:01 pm,0,63.8469,9.447
10/20/2021,02:56:01 pm,0,63.8363,9.427
10/20/2021,03:11:01 pm,0,63.8306,9.403
10/20/2021,03:26:01 pm,0,63.8170,9.378
10/20/2021,03:41:01 pm,0,63.8173,9.352
10/20/2021,03:56:01 pm,0,63.8084,9.329
10/20/2021,04:11:01 pm,0,63.8110,9.305
10/20/2021,04:26:01 pm,0,63.8140,9.279
10/20/2021,04:41:01 pm,0,63.8153,9.255
10/20/2021,04:56:01 pm,0,63.8232,9.232
10/20/2021,05:11:01 pm,0,63.8298,9.212
10/20/2021,05:26:01 pm,0,63.8446,9.190
10/20/2021,05:41:01 pm,0,63.8518,9.170
10/20/2021,05:56:01 pm,0,63.8611,9.156
10/20/2021,06:11:01 pm,0,63.8719,9.146
10/20/2021,06:26:01 pm,0,63.8811,9.134
10/20/2021,06:41:01 pm,0,63.8973,9.115
10/20/2021,06:56:01 pm,0,63.9191,9.089
10/20/2021,07:11:01 pm,0,63.9444,9.058
10/20/2021,07:26:01 pm,0,63.9557,9.021
10/20/2021,07:41:01 pm,0,63.9609,8.989
10/20/2021,07:56:01 pm,0,63.9791,8.975
10/20/2021,08:11:01 pm,0,63.9864,8.963
10/20/2021,08:26:01 pm,0,63.9996,8.951
10/20/2021,08:41:01 pm,0,64.0121,8.938
10/20/2021,08:56:01 pm,0,64.0219,8.927
10/20/2021,09:11:01 pm,0,64.0341,8.916
10/20/2021,09:26:01 pm,0,64.0396,8.906
10/20/2021,09:41:01 pm,0,64.0478,8.899
10/20/2021,09:56:01 pm,0,64.0620,8.894
10/20/2021,10:11:01 pm,0,64.0690,8.892
10/20/2021,10:26:01 pm,0,64.0822,8.894
10/20/2021,10:41:01 pm,0,64.0852,8.900
10/20/2021,10:56:01 pm,0,64.0799,8.902
10/20/2021,11:11:01 pm,0,64.0820,8.904
10/20/2021,11:26:01 pm,0,64.0772,8.898
10/20/2021,11:41:01 pm,0,64.0751,8.892
10/20/2021,11:56:01 pm,0,64.0652,8.887
10/21/2021,12:11:01 am,0,64.0553,8.879
10/21/2021,12:26:01 am,0,64.0519,8.870
10/21/2021,12:41:01 am,0,64.0404,8.858
10/21/2021,12:56:01 am,0,64.0323,8.844
10/21/2021,01:11:01 am,0,64.0308,8.830
10/21/2021,01:26:01 am,0,64.0243,8.817
10/21/2021,01:41:01 am,0,64.0225,8.801
10/21/2021,01:56:01 am,0,64.0130,8.781
10/21/2021,02:11:01 am,0,63.9986,8.764
10/21/2021,02:26:01 am,0,63.9953,8.752
10/21/2021,02:41:01 am,0,63.9947,8.736
10/21/2021,02:56:01 am,0,63.9963,8.722
10/21/2021,03:11:01 am,0,63.9927,8.707
10/21/2021,03:26:01 am,0,63.9998,8.690
10/21/2021,03:41:01 am,0,64.0001,8.662
10/21/2021,03:56:01 am,0,63.9997,8.633
10/21/2021,04:11:01 am,0,64.0033,8.606
10/21/2021,04:26:01 am,0,64.0054,8.584
10/21/2021,04:41:01 am,0,64.0117,8.565
10/21/2021,04:56:01 am,0,64.0211,8.546
10/21/2021,05:11:01 am,0,64.0304,8.524
10/21/2021,05:26:01 am,0,64.0397,8.499
10/21/2021,05:41:01 am,0,64.0444,8.478
10/21/2021,05:56:01 am,0,64.0584,8.462
10/21/2021,06:11:01 am,0,64.0729,8.449
10/21/2021,06:26:01 am,0,64.0828,8.432
10/21/2021,06:41:01 am,0,64.1041,8.417
10/21/2021,06:56:01 am,0,64.1144,8.402
10/21/2021,07:11:01 am,0,64.1373,8.392
10/21/2021,07:26:01 am,0,64.1525,8.386
10/21/2021,07:41:01 am,0,64.1655,8.383
10/21/2021,07:56:01 am,0,64.1775,8.382
10/21/2021,08:11:01 am,0,64.1956,8.386
10/21/2021,08:26:01 am,0,64.2073,8.392
10/21/2021,08:41:01 am,0,64.2127,8.403
10/21/2021,08:56:01 am,0,64.2198,8.421
10/21/2021,09:11:01 am,0,64.2227,8.445
10/21/2021,09:26:01 am,0,64.2205,8.474
10/21/2021,09:41:01 am,0,64.2142,8.506
10/21/2021,09:56:01 am,0,64.2191,8.540
10/21/2021,10:11:01 am,0,64.2136,8.578
10/21/2021,10:26:01 am,0,64.2175,8.620
10/21/2021,10:41:01 am,0,64.2136,8.663
10/21/2021,10:56:01 am,0,64.2011,8.709
10/21/2021,11:11:01 am,0,64.1887,8.750
10/21/2021,11:26:01 am,0,64.1721,8.784
10/21/2021,11:41:01 am,0,64.1585,8.813
10/21/2021,11:56:01 am,0,64.1559,8.834
10/21/2021,12:11:01 pm,0,64.1456,8.848
10/21/2021,12:26:01 pm,0,64.1489,8.854
10/21/2021,12:41:01 pm,0,64.1700,8.849
10/21/2021,12:56:01 pm,0,64.1625,8.842
10/21/2021,01:11:01 pm,0,64.1460,8.834
10/21/2021,01:26:01 pm,0,64.1256,8.833
10/21/2021,01:41:01 pm,0,64.1002,8.837
10/21/2021,01:56:01 pm,0,64.0856,8.848
