Site,Distance_m,Time,conductivity_uS
GAVI,120,11:00:00,8.7
GAVI,120,11:02:00,8.7
GAVI,120,11:04:00,8.7
GAVI,120,11:06:00,8.7
GAVI,120,11:08:00,8.7
GAVI,120,11:10:00,8.8
GAVI,120,11:12:00,8.9
GAVI,120,11:13:00,9.2
GAVI,120,11:13:30,9.6
GAVI,120,11:14:00,10
GAVI,120,11:14:30,10.6
GAVI,120,11:15:00,11.2
GAVI,120,11:15:30,12.4
GAVI,120,11:16:00,13.1
GAVI,120,11:16:30,14.4
GAVI,120,11:17:00,15.6
GAVI,120,11:17:30,17
GAVI,120,11:18:00,18.8
GAVI,120,11:18:30,21
GAVI,120,11:19:00,21.9
GAVI,120,11:19:30,23.7
GAVI,120,11:20:00,25.4
GAVI,120,11:20:30,27.2
GAVI,120,11:21:00,28.7
GAVI,120,11:21:30,30.6
GAVI,120,11:22:00,32.3
GAVI,120,11:22:30,33.8
GAVI,120,11:23:00,35.3
GAVI,120,11:23:30,36.7
GAVI,120,11:24:00,38.3
GAVI,120,11:24:30,39.5
GAVI,120,11:25:00,40.6
GAVI,120,11:25:30,41.9
GAVI,120,11:26:00,43.1
GAVI,120,11:26:30,43.9
GAVI,120,11:27:00,44.6
GAVI,120,11:27:30,45.3
GAVI,120,11:28:00,46
GAVI,120,11:28:30,46.4
GAVI,120,11:29:00,46.8
GAVI,120,11:29:30,47.2
GAVI,120,11:30:00,47.2
GAVI,120,11:30:30,47.3
GAVI,120,11:31:00,49.1
GAVI,120,11:48:00,52.5
GAVI,120,11:50:00,52.8
GAVI,120,11:52:00,53.1
GAVI,120,11:54:00,53.3
GAVI,120,11:56:00,53.5
GAVI,120,11:58:00,52.8
GAVI,120,11:59:00,52.6
GAVI,120,11:59:30,52.1
GAVI,120,12:00:00,51.3
GAVI,120,12:00:30,50.5
GAVI,120,12:01:00,49.4
GAVI,120,12:01:30,48.1
GAVI,120,12:02:00,47.1
GAVI,120,12:02:30,45.4
GAVI,120,12:03:00,43.6
GAVI,120,12:03:30,42.2
GAVI,120,12:04:00,40.4
GAVI,120,12:04:30,38.9
GAVI,120,12:05:00,36.9
GAVI,120,12:05:30,34.8
GAVI,120,12:06:00,33.2
GAVI,120,12:06:30,31.7
GAVI,120,12:07:00,30.1
GAVI,120,12:07:30,28.2
GAVI,120,12:08:00,26.8
GAVI,120,12:08:30,25
GAVI,120,12:09:00,24.2
GAVI,120,12:09:30,22.8
GAVI,120,12:10:00,21.4
GAVI,120,12:10:30,20.4
GAVI,120,12:11:00,19.6
GAVI,120,12:11:30,18.4
GAVI,120,12:12:00,17.8
GAVI,120,12:12:30,16.9
GAVI,120,12:13:00,16.1
GAVI,120,12:13:30,15.6
GAVI,120,12:14:00,15
GAVI,120,12:14:30,14.5
GAVI,120,12:15:00,14
GAVI,120,12:15:30,13.6
GAVI,120,12:16:00,13.1
GAVI,120,12:16:30,12.9
GAVI,120,12:17:00,12.8
GAVI,120,12:17:30,12.4
GAVI,120,12:18:00,12.2
GAVI,120,12:18:30,12
GAVI,120,12:19:00,11.9
GAVI,120,12:19:30,11.5
GAVI,120,12:20:00,11.5
GAVI,120,12:20:30,11.3
GAVI,120,12:21:00,11.2
GAVI,120,12:21:30,11.1
GAVI,120,12:22:00,10.9
GAVI,120,12:22:30,10.9
GAVI,120,12:23:00,10.8
GAVI,120,12:23:30,10.8
GAVI,120,12:24:00,10.7
GAVI,120,12:24:30,10.6
,,,
