"TOA5","Station02","CR1000","16308","CR300.Std.08.01","CPU:cr300_2soilvais.CR300","49046","Vais_stat2"
"TIMESTAMP","RECORD","Vais_stat2_Avg"
"TS","RN","mV"
"","","Avg"
"2021-07-14 09:17:00",41836,39.43
"2021-07-14 09:18:00",41837,32.75
"2021-07-14 09:19:00",41838,37.4
"2021-07-14 09:20:00",41839,34.95
"2021-07-14 09:21:00",41840,34.48
"2021-07-14 09:22:00",41841,36.84
"2021-07-14 09:23:00",41842,36.68
"2021-07-14 09:24:00",41843,36.99
"2021-07-14 09:25:00",41844,34.5
"2021-07-14 09:26:00",41845,42.73
"2021-07-14 09:27:00",41846,37.95
"2021-07-14 09:28:00",41847,33.74
"2021-07-14 09:29:00",41848,35.2
"2021-07-14 09:30:00",41849,36.24
"2021-07-14 09:31:00",41850,37.21
"2021-07-14 09:32:00",41851,40.16
"2021-07-14 09:33:00",41852,44.13
"2021-07-14 09:34:00",41853,40.65
"2021-07-14 09:35:00",41854,42.1
"2021-07-14 09:36:00",41855,43.74
"2021-07-14 09:37:00",41856,48.12
"2021-07-14 09:38:00",41857,47.33
"2021-07-14 09:39:00",41858,51.16
"2021-07-14 09:40:00",41859,52.54
"2021-07-14 09:41:00",41860,49.19
"2021-07-14 09:42:00",41861,37.03
"2021-07-14 09:43:00",41862,44.53
"2021-07-14 09:44:00",41863,49.59
"2021-07-14 09:45:00",41864,51.25
"2021-07-14 09:46:00",41865,29.24
"2021-07-14 09:47:00",41866,25.75
"2021-07-14 09:48:00",41867,26.28
"2021-07-14 09:49:00",41868,26.38
"2021-07-14 09:50:00",41869,28.86
"2021-07-14 09:51:00",41870,28.43
"2021-07-14 09:52:00",41871,27.83
"2021-07-14 09:53:00",41872,28.44
"2021-07-14 09:54:00",41873,27.86
"2021-07-14 09:55:00",41874,26.7
"2021-07-14 09:56:00",41875,29.39
"2021-07-14 09:57:00",41876,28.85
"2021-07-14 09:58:00",41877,27.3
"2021-07-14 09:59:00",41878,29.14
"2021-07-14 10:00:00",41879,30.45
"2021-07-14 10:01:00",41880,32.46
"2021-07-14 10:02:00",41881,35.96
"2021-07-14 10:03:00",41882,36.52
"2021-07-14 10:04:00",41883,36.44
"2021-07-14 10:05:00",41884,38.56
"2021-07-14 10:06:00",41885,38.62
"2021-07-14 10:07:00",41886,40.44
"2021-07-14 10:08:00",41887,39.1
"2021-07-14 10:09:00",41888,40.65
"2021-07-14 10:10:00",41889,40.97
"2021-07-14 10:11:00",41890,42.47
"2021-07-14 10:12:00",41891,40.83
